"date","rank","song","artist"
"2009-01-01",1,"Single Ladies (Put A Ring On It)","Beyonce"
"2009-01-01",2,"Live Your Life","T.I. Featuring Rihanna"
"2009-01-01",3,"Just Dance","Lady Gaga Featuring Colby O'Donis"
"2009-01-01",4,"Heartless","Kanye West"
"2009-01-01",5,"Womanizer","Britney Spears"
"2009-01-01",6,"Hot N Cold","Katy Perry"
"2009-01-01",7,"Love Story","Taylor Swift"
"2009-01-01",8,"Love Lockdown","Kanye West"
"2009-01-01",9,"Whatever You Like","T.I."
"2009-01-01",10,"If I Were A Boy","Beyonce"
"2009-01-01",11,"Circus","Britney Spears"
"2009-01-01",12,"I'm Yours","Jason Mraz"
"2009-01-01",13,"Let It Rock","Kevin Rudolf Featuring Lil Wayne"
"2009-01-01",14,"Miss Independent","Ne-Yo"
"2009-01-01",15,"Right Now (Na Na Na)","Akon"
"2009-01-01",16,"So What","P!nk"
"2009-01-01",17,"Gotta Be Somebody","Nickelback"
"2009-01-01",18,"Rehab","Rihanna"
"2009-01-01",19,"Gives You Hell","The All-American Rejects"
"2009-01-01",20,"Chicken Fried","Zac Brown Band"
"2009-01-01",21,"Mrs. Officer","Lil Wayne Featuring Bobby Valentino & Kidd Kidd"
"2009-01-01",22,"Pop Champagne","Jim Jones & Ron Browz Featuring Juelz Santana"
"2009-01-01",23,"Disturbia","Rihanna"
"2009-01-01",24,"Green Light","John Legend Featuring Andre 3000"
"2009-01-01",25,"One More Drink","Ludacris Co-Starring T-Pain"
"2009-01-01",26,"Addicted","Saving Abel"
"2009-01-01",27,"Can't Believe It","T-Pain Featuring Lil Wayne"
"2009-01-01",28,"Chopped 'N' Skrewed","T-Pain Featuring Ludacris"
"2009-01-01",29,"You Found Me","The Fray"
"2009-01-01",30,"Better In Time","Leona Lewis"
"2009-01-01",31,"Put It On Ya","Plies Featuring Chris J"
"2009-01-01",32,"I Hate This Part","The Pussycat Dolls"
"2009-01-01",33,"I'm So Paid","Akon Featuring Lil Wayne & Young Jeezy"
"2009-01-01",34,"Sober","P!nk"
