"date","rank","song","artist"
"1973-01-01",1,"You're So Vain","Carly Simon"
"1973-01-01",2,"Clair","Gilbert O'Sullivan"
"1973-01-01",3,"Me And Mrs. Jones","Billy Paul"
"1973-01-01",4,"Superstition","Stevie Wonder"
"1973-01-01",5,"Funny Face","Donna Fargo"
"1973-01-01",6,"It Never Rains In Southern California","Albert Hammond"
"1973-01-01",7,"Rockin' Pneumonia - Boogie Woogie Flu","Johnny Rivers"
"1973-01-01",8,"Your Mama Don't Dance","Kenny Loggins & Jim Messina"
"1973-01-01",9,"Superfly","Curtis Mayfield"
"1973-01-01",10,"You Ought To Be With Me","Al Green"
"1973-01-01",11,"Keeper Of The Castle","Four Tops"
"1973-01-01",12,"Living In The Past","Jethro Tull"
"1973-01-01",13,"Crocodile Rock","Elton John"
"1973-01-01",14,"I Am Woman","Helen Reddy"
"1973-01-01",15,"Don't Let Me Be Lonely Tonight","James Taylor"
"1973-01-01",16,"Something's Wrong With Me","Austin Roberts"
"1973-01-01",17,"Walk On Water","Neil Diamond"
"1973-01-01",18,"Sitting","Cat Stevens"
"1973-01-01",19,"Why Can't We Live Together","Timmy Thomas"
"1973-01-01",20,"Sweet Surrender","Bread"
"1973-01-01",21,"Pieces Of April","Three Dog Night"
"1973-01-01",22,"Hi, Hi, Hi","Wings"
"1973-01-01",23,"I Wanna Be With You","Raspberries"
"1973-01-01",24,"Been To Canaan","Carole King"
"1973-01-01",25,"Oh, Babe, What Would You Say?","Hurricane Smith"
"1973-01-01",26,"Trouble Man","Marvin Gaye"
"1973-01-01",27,"Papa Was A Rollin' Stone","The Temptations"
"1973-01-01",28,"Separate Ways","Elvis Presley"
"1973-01-01",29,"Smoke Gets In Your Eyes","Blue Haze"
"1973-01-01",30,"The World Is A Ghetto","War"
"1973-01-01",31,"Do It Again","Steely Dan"
"1973-01-01",32,"Love Jones","Brighter Side Of Darkness"
"1973-01-01",33,"I Can See Clearly Now","Johnny Nash"
"1973-01-01",34,"Dancing In The Moonlight","King Harvest"
"1973-01-01",35,"Rocky Mountain High","John Denver"
"1973-01-01",36,"If You Don't Know Me By Now","Harold Melvin And The Blue Notes"
"1973-01-01",37,"Jambalaya (On The Bayou)","The Blue Ridge Rangers"
"1973-01-01",38,"You Turn Me On, I'm A Radio","Joni Mitchell"
"1973-01-01",39,"Corner Of The Sky","Jackson 5"
"1973-01-01",40,"Reelin' & Rockin'","Chuck Berry"
"1973-01-01",41,"Daddy's Home","Jermaine Jackson"
"1973-01-01",42,"Harry Hippie","Bobby Womack & Peace"
"1973-01-01",43,"The Relay","The Who"
"1973-01-01",44,"Summer Breeze","Seals & Crofts"
"1973-01-01",45,"Long Dark Road","The Hollies"
"1973-01-01",46,"I'll Be Your Shelter (In Time Of Storm)","Luther Ingram"
"1973-01-01",47,"No","Bulldog"
