"date","rank","song","artist"
"1966-01-01",1,"The Sound Of Silence","Simon & Garfunkel"
"1966-01-01",2,"We Can Work It Out","The Beatles"
"1966-01-01",3,"I Got You (I Feel Good)","James Brown And The Famous Flames"
"1966-01-01",4,"Turn! Turn! Turn! (To Everything There Is A Season)","The Byrds"
"1966-01-01",5,"Over And Over","The Dave Clark Five"
"1966-01-01",6,"Let's Hang On!","The 4 Seasons Featuring the ""Sound of Frankie Valli"""
"1966-01-01",7,"Fever","The McCoys"
"1966-01-01",8,"Ebb Tide","The Righteous Brothers"
"1966-01-01",9,"England Swings","Roger Miller"
"1966-01-01",10,"Make The World Go Away","Eddy Arnold"
"1966-01-01",11,"Five O'Clock World","The Vogues"
"1966-01-01",12,"Flowers On The Wall","The Statler Brothers"
"1966-01-01",13,"One Has My Name (The Other Has My Heart)","Barry Young"
"1966-01-01",14,"Puppet On A String","Elvis Presley With The Jordanaires"
"1966-01-01",15,"I Can Never Go Home Anymore","The Shangri-Las"
"1966-01-01",16,"She's Just My Style","Gary Lewis And The Playboys"
"1966-01-01",17,"Don't Think Twice","The Wonder Who?"
"1966-01-01",18,"Day Tripper","The Beatles"
"1966-01-01",19,"Hang On Sloopy","Ramsey Lewis Trio"
"1966-01-01",20,"The Little Girl I Once Knew","The Beach Boys"
"1966-01-01",21,"You Didn't Have To Be So Nice","The Lovin' Spoonful"
"1966-01-01",22,"No Matter What Shape (Your Stomach's In)","The T-Bones"
"1966-01-01",23,"It's My Life","The Animals"
"1966-01-01",24,"The Duck","Jackie Lee"
"1966-01-01",25,"Spanish Eyes","Al Martino"
"1966-01-01",26,"Sunday And Me","Jay & The Americans"
"1966-01-01",27,"A Must To Avoid","Herman's Hermits"
"1966-01-01",28,"Just Like Me","Paul Revere & The Raiders Featuring Mark Lindsay"
"1966-01-01",29,"Satin Pillows","Bobby Vinton"
"1966-01-01",30,"I Hear A Symphony","The Supremes"
"1966-01-01",31,"Taste Of Honey","Herb Alpert & The Tijuana Brass"
"1966-01-01",32,"I Will","Dean Martin"
"1966-01-01",33,"Attack","The Toys"
"1966-01-01",34,"A Sweet Woman Like You","Joe Tex"
"1966-01-01",35,"I'm A Man","The Yardbirds"
"1966-01-01",36,"Thunderball","Tom Jones"
"1966-01-01",37,"You've Been Cheatin'","The Impressions"
"1966-01-01",38,"Let's Get Together","We Five"
"1966-01-01",39,"Harlem Nocturne","The Viscounts"
"1966-01-01",40,"Lies","The Knickerbockers"
"1966-01-01",41,"1-2-3","Len Barry"
"1966-01-01",42,"Apple Of My Eye","Roy Head And The Traits"
"1966-01-01",43,"Jenny Take A Ride!","Mitch Ryder And The Detroit Wheels"
"1966-01-01",44,"I've Got To Be Somebody","Billy Joe Royal"
"1966-01-01",45,"Sandy","Ronny And The Daytonas"
"1966-01-01",46,"Princess In Rags","Gene Pitney"
"1966-01-01",47,"Jealous Heart","Connie Francis"
"1966-01-01",48,"As Tears Go By","The Rolling Stones"
"1966-01-01",49,"Look Through Any Window","The Hollies"
"1966-01-01",50,"A Well Respected Man","The Kinks"
"1966-01-01",51,"Crystal Chandelier","Vic Dana"
"1966-01-01",52,"Are You There (With Another Girl)","Dionne Warwick"
"1966-01-01",53,"Seesaw","Don Covay & The Goodtimers"
"1966-01-01",54,"It's Good News Week","Hedgehoppers Anonymous"
"1966-01-01",55,"A Young Girl","Noel Harrison"
"1966-01-01",56,"Crying Time","Ray Charles"
"1966-01-01",57,"The Men In My Little Girl's Life","Mike Douglas"
"1966-01-01",58,"It Was A Very Good Year","Frank Sinatra"
"1966-01-01",59,"Second Hand Rose","Barbra Streisand"
