"date","rank","song","artist"
"1982-01-01",1,"Physical","Olivia Newton-John"
"1982-01-01",2,"Waiting For A Girl Like You","Foreigner"
"1982-01-01",3,"Let's Groove","Earth, Wind & Fire"
"1982-01-01",4,"I Can't Go For That (No Can Do)","Daryl Hall John Oates"
"1982-01-01",5,"Young Turks","Rod Stewart"
"1982-01-01",6,"Harden My Heart","Quarterflash"
"1982-01-01",7,"Why Do Fools Fall In Love","Diana Ross"
"1982-01-01",8,"Leather And Lace","Stevie Nicks With Don Henley"
"1982-01-01",9,"Don't Stop Believin'","Journey"
"1982-01-01",10,"Trouble","Lindsey Buckingham"
"1982-01-01",11,"Centerfold","The J. Geils Band"
"1982-01-01",12,"Yesterday's Songs","Neil Diamond"
"1982-01-01",13,"Comin' In And Out Of Your Life","Barbra Streisand"
"1982-01-01",14,"Turn Your Love Around","George Benson"
"1982-01-01",15,"The Sweetest Thing (I've Ever Known)","Juice Newton"
"1982-01-01",16,"Hooked On Classics","Royal Philharmonic Orchestra"
"1982-01-01",17,"Take My Heart (You Can Have It If You Want It)","Kool & The Gang"
"1982-01-01",18,"Cool Night","Paul Davis"
"1982-01-01",19,"Oh No","Commodores"
"1982-01-01",20,"Every Little Thing She Does Is Magic","The Police"
"1982-01-01",21,"Someone Could Lose A Heart Tonight","Eddie Rabbitt"
"1982-01-01",22,"Here I Am (Just When I Thought I Was Over You)","Air Supply"
"1982-01-01",23,"I Wouldn't Have Missed It For The World","Ronnie Milsap"
"1982-01-01",24,"Shake It Up","The Cars"
"1982-01-01",25,"Steal The Night","Stevie Woods"
"1982-01-01",26,"Waiting On A Friend","The Rolling Stones"
"1982-01-01",27,"Our Lips Are Sealed","Go-Go's"
"1982-01-01",28,"She's Got A Way","Billy Joel"
"1982-01-01",29,"My Girl (Gone, Gone, Gone)","Chilliwack"
"1982-01-01",30,"Come Go With Me","The Beach Boys"
"1982-01-01",31,"Under Pressure","Queen & David Bowie"
"1982-01-01",32,"You Could Have Been With Me","Sheena Easton"
"1982-01-01",33,"Leader Of The Band","Dan Fogelberg"
"1982-01-01",34,"Heart Like A Wheel","The Steve Miller Band"
"1982-01-01",35,"Take It Easy On Me","Little River Band"
"1982-01-01",36,"Castles In The Air","Don McLean"
"1982-01-01",37,"More Than Just The Two Of Us","Sneaker"
"1982-01-01",38,"Private Eyes","Daryl Hall John Oates"
"1982-01-01",39,"Start Me Up","The Rolling Stones"
"1982-01-01",40,"Love Is Alright Tonite","Rick Springfield"
"1982-01-01",41,"Working For The Weekend","Loverboy"
"1982-01-01",42,"Sweet Dreams","Air Supply"
"1982-01-01",43,"The Old Songs","Barry Manilow"
"1982-01-01",44,"Love In The First Degree","Alabama"
"1982-01-01",45,"Arthur's Theme (Best That You Can Do)","Christopher Cross"
"1982-01-01",46,"If I Were You","Lulu"
"1982-01-01",47,"Key Largo","Bertie Higgins"
"1982-01-01",48,"Let Me Love You Once","Greg Lake"
"1982-01-01",49,"No Reply At All","Genesis"
"1982-01-01",50,"Never Too Much","Luther Vandross"
"1982-01-01",51,"My Kinda Lover","Billy Squier"
"1982-01-01",52,"Wrack My Brain","Ringo Starr"
"1982-01-01",53,"Tryin' To Live My Life Without You","Bob Seger"
"1982-01-01",54,"All Our Tomorrows","Eddie Schwartz"
"1982-01-01",55,"Poor Man's Son","Survivor"
"1982-01-01",56,"Breakin' Away","Al Jarreau"
"1982-01-01",57,"The Theme From Hill Street Blues","Mike Post featuring Larry Carlton"
"1982-01-01",58,"Little Darlin'","Sheila"
"1982-01-01",59,"Falling In Love","Balance"
"1982-01-01",60,"Could It Be Love","Jennifer Warnes"
"1982-01-01",61,"Sea Of Love","Del Shannon"
"1982-01-01",62,"Living Eyes","Bee Gees"
"1982-01-01",63,"Somewhere Down The Road","Barry Manilow"
"1982-01-01",64,"Anyone Can See","Irene Cara"
"1982-01-01",65,"Wkrp In Cincinnati","Steve Carlisle"
"1982-01-01",66,"Just Once","Quincy Jones Featuring James Ingram"
"1982-01-01",67,"Feel Like A Number","Bob Seger & The Silver Bullet Band"
"1982-01-01",68,"Keeping Our Love Alive","Henry Paul Band"
"1982-01-01",69,"I've Done Everything For You","Rick Springfield"
"1982-01-01",70,"Closer To The Heart","Rush"
"1982-01-01",71,"Abacab","Genesis"
"1982-01-01",72,"Those Good Old Dreams","Carpenters"
"1982-01-01",73,"One Hundred Ways","Quincy Jones Featuring James Ingram"
"1982-01-01",74,"The Night Owls","Little River Band"
