"date","rank","song","artist"
"2004-01-01",1,"Hey Ya!","OutKast"
"2004-01-01",2,"The Way You Move","OutKast Featuring Sleepy Brown"
"2004-01-01",3,"Milkshake","Kelis"
"2004-01-01",4,"You Don't Know My Name","Alicia Keys"
"2004-01-01",5,"Stand Up","Ludacris Featuring Shawnna"
"2004-01-01",6,"Walked Outta Heaven","Jagged Edge"
"2004-01-01",7,"Suga Suga","Baby Bash Featuring Frankie J"
"2004-01-01",8,"Here Without You","3 Doors Down"
"2004-01-01",9,"Slow Jamz","Twista Featuring Kanye West & Jamie Foxx"
"2004-01-01",10,"Me, Myself And I","Beyonce"
"2004-01-01",11,"It's My Life","No Doubt"
"2004-01-01",12,"Someday","Nickelback"
"2004-01-01",13,"Baby Boy","Beyonce Featuring Sean Paul"
"2004-01-01",14,"Holidae In","Chingy Featuring Ludacris & Snoop Dogg"
"2004-01-01",15,"Damn!","YoungBloodZ Featuring Lil Jon"
"2004-01-01",16,"Step In The Name Of Love","R. Kelly"
"2004-01-01",17,"Change Clothes","JAY-Z"
"2004-01-01",18,"Get Low","Lil Jon & The East Side Boyz Featuring Ying Yang Twins"
"2004-01-01",19,"Read Your Mind","Avant"
"2004-01-01",20,"Runnin (Dying To Live)","Tupac Featuring The Notorious B.I.G."
"2004-01-01",21,"Why Don't You & I","Santana Featuring Alex Band Or Chad Kroeger"
"2004-01-01",22,"Headstrong","Trapt"
"2004-01-01",23,"White Flag","Dido"
"2004-01-01",24,"Numb","Linkin Park"
"2004-01-01",25,"Stunt 101","G Unit"
"2004-01-01",26,"Wat Da Hook Gon Be","Murphy Lee Featuring Jermaine Dupri"
"2004-01-01",27,"Gigolo","Nick Cannon Featuring R. Kelly"
"2004-01-01",28,"So Far Away","Staind"
"2004-01-01",29,"Perfect","Simple Plan"
"2004-01-01",30,"The First Cut Is The Deepest","Sheryl Crow"
"2004-01-01",31,"There Goes My Life","Kenny Chesney"
"2004-01-01",32,"Salt Shaker","Ying Yang Twins Featuring Lil Jon & The East Side Boyz"
"2004-01-01",33,"Through The Wire","Kanye West"
"2004-01-01",34,"Remember When","Alan Jackson"
"2004-01-01",35,"Bright Lights","matchbox twenty"
"2004-01-01",36,"The Voice Within","Christina Aguilera"
"2004-01-01",37,"Why Can't I?","Liz Phair"
"2004-01-01",38,"Gangsta Nation","Westside Connection Featuring Nate Dogg"
"2004-01-01",39,"You Can't Take The Honky Tonk Out Of The Girl","Brooks & Dunn"
"2004-01-01",40,"F**k It (I Don't Want You Back)","Eamon"
"2004-01-01",41,"Shake Ya Tailfeather","Nelly, P. Diddy & Murphy Lee"
"2004-01-01",42,"I Love This Bar","Toby Keith"
"2004-01-01",43,"Invisible","Clay Aiken"
"2004-01-01",44,"(There's Gotta Be) More To Life","Stacie Orrico"
"2004-01-01",45,"With You","Jessica Simpson"
"2004-01-01",46,"My Baby","Bow Wow Featuring Jagged Edge"
"2004-01-01",47,"Not Today","Mary J. Blige Featuring Eve"
"2004-01-01",48,"Harder To Breathe","Maroon 5"
"2004-01-01",49,"Unwell","matchbox twenty"
"2004-01-01",50,"Breathe","Michelle Branch"
"2004-01-01",51,"Fallen","Sarah McLachlan"
"2004-01-01",52,"Hotel","Cassidy Featuring R. Kelly"
"2004-01-01",53,"Forthenight","Musiq"
"2004-01-01",54,"American Soldier","Toby Keith"
"2004-01-01",55,"(I Hate) Everything About You","Three Days Grace"
"2004-01-01",56,"More & More","Joe"
"2004-01-01",57,"Watch The Wind Blow By","Tim McGraw"
"2004-01-01",58,"Sorry 2004","NEW"
"2004-01-01",59,"Honesty (Write Me A List)","NEW"
"2004-01-01",60,"I Wanna Do It All","Ruben Studdard"
"2004-01-01",61,"Fallen","Rodney Atkins"
"2004-01-01",62,"She's Not Just A Pretty Face","Terri Clark"
"2004-01-01",63,"Cowboys Like Us","Mya"
"2004-01-01",64,"Little Moments","Shania Twain"
"2004-01-01",65,"Badaboom","George Strait"
"2004-01-01",66,"Drinkin' Bone","Brad Paisley"
"2004-01-01",67,"Are You Gonna Be My Girl","B2K Featuring Fabolous"
"2004-01-01",68,"Hit That","Tracy Byrd"
"2004-01-01",69,"Hell Yeah","Jet"
"2004-01-01",70,"Chicks Dig It","The Offspring"
"2004-01-01",71,"Rain On Me","Montgomery Gentry"
"2004-01-01",72,"Clubbin","Chris Cagle"
"2004-01-01",73,"Away From Me","Ashanti"
"2004-01-01",74,"Splash Waterfalls","Marques Houston Featuring Joe Budden & Pied Piper"
"2004-01-01",75,"Megalomaniac","Puddle Of Mudd"
"2004-01-01",76,"Pop That Booty","NEW"
"2004-01-01",77,"Stacy's Mom","NEW"
"2004-01-01",78,"Pass That Dutch","Ludacris"
"2004-01-01",79,"Wave On Wave","NEW"
"2004-01-01",80,"Still Frame","NEW"
"2004-01-01",81,"I Melt","Incubus"
"2004-01-01",82,"I'm Still In Love With You","Marques Houston Featuring Jermaine ""JD"" Dupri"
"2004-01-01",83,"Me Against The Music","Fountains Of Wayne"
"2004-01-01",84,"Love You More","Missy Elliott"
"2004-01-01",85,"Gangsta Girl","Pat Green"
"2004-01-01",86,"Walking In Memphis","Trapt"
"2004-01-01",87,"Weak And Powerless","Rascal Flatts"
"2004-01-01",88,"Tough Little Boys","NEW"
"2004-01-01",89,"In My Life","NEW"
"2004-01-01",90,"Another Postcard (Chimps)","Sean Paul Featuring Sasha"
"2004-01-01",91,"Alone","Britney Spears Featuring Madonna"
"2004-01-01",92,"You","Ginuwine"
"2004-01-01",93,"Shake That Monkey","Big Tymers Featuring R. Kelly"
"2004-01-01",94,"Bigger Than My Body","Lonestar"
"2004-01-01",95,"Long Black Train","A Perfect Circle"
"2004-01-01",96,"Neva Eva","Gary Allan"
"2004-01-01",97,"Heaven","NEW"
"2004-01-01",98,"Knock Knock","NEW"
"2004-01-01",99,"Freek-A-Leek","Juvenile Featuring Mannie Fresh"
"2004-01-01",100,"One More Chance","Barenaked Ladies"
"2004-01-08",1,"Hey Ya!","OutKast"
"2004-01-08",2,"The Way You Move","OutKast Featuring Sleepy Brown"
"2004-01-08",3,"Milkshake","Kelis"
"2004-01-08",4,"You Don't Know My Name","Alicia Keys"
"2004-01-08",5,"Stand Up","Ludacris Featuring Shawnna"
"2004-01-08",6,"Walked Outta Heaven","Jagged Edge"
"2004-01-08",7,"Suga Suga","Baby Bash Featuring Frankie J"
"2004-01-08",8,"Here Without You","3 Doors Down"
"2004-01-08",9,"Slow Jamz","Twista Featuring Kanye West & Jamie Foxx"
"2004-01-08",10,"Me, Myself And I","Beyonce"
"2004-01-08",11,"It's My Life","No Doubt"
"2004-01-08",12,"Someday","Nickelback"
"2004-01-08",13,"Get Low","Lil Jon & The East Side Boyz Featuring Ying Yang Twins"
"2004-01-08",14,"Baby Boy","Beyonce Featuring Sean Paul"
"2004-01-08",15,"Damn!","YoungBloodZ Featuring Lil Jon"
"2004-01-08",16,"Holidae In","Chingy Featuring Ludacris & Snoop Dogg"
"2004-01-08",17,"Change Clothes","JAY-Z"
"2004-01-08",18,"Read Your Mind","Avant"
"2004-01-08",19,"Step In The Name Of Love","R. Kelly"
"2004-01-08",20,"Runnin (Dying To Live)","Tupac Featuring The Notorious B.I.G."
"2004-01-08",21,"Numb","Linkin Park"
"2004-01-08",22,"White Flag","Dido"
"2004-01-08",23,"Why Don't You & I","Santana Featuring Alex Band Or Chad Kroeger"
"2004-01-08",24,"Gigolo","Nick Cannon Featuring R. Kelly"
"2004-01-08",25,"Headstrong","Trapt"
"2004-01-08",26,"Salt Shaker","Ying Yang Twins Featuring Lil Jon & The East Side Boyz"
"2004-01-08",27,"Stunt 101","G Unit"
"2004-01-08",28,"Wat Da Hook Gon Be","Murphy Lee Featuring Jermaine Dupri"
"2004-01-08",29,"The First Cut Is The Deepest","Sheryl Crow"
"2004-01-08",30,"So Far Away","Staind"
"2004-01-08",31,"Through The Wire","Kanye West"
"2004-01-08",32,"Perfect","Simple Plan"
"2004-01-08",33,"The Voice Within","Christina Aguilera"
"2004-01-08",34,"There Goes My Life","Kenny Chesney"
"2004-01-08",35,"Remember When","Alan Jackson"
"2004-01-08",36,"Bright Lights","matchbox twenty"
"2004-01-08",37,"Unwell","matchbox twenty"
"2004-01-08",38,"Gangsta Nation","Westside Connection Featuring Nate Dogg"
"2004-01-08",39,"F**k It (I Don't Want You Back)","Eamon"
"2004-01-08",40,"Shake Ya Tailfeather","Nelly, P. Diddy & Murphy Lee"
"2004-01-08",41,"Not Today","Mary J. Blige Featuring Eve"
"2004-01-08",42,"My Baby","Bow Wow Featuring Jagged Edge"
"2004-01-08",43,"Why Can't I?","Liz Phair"
"2004-01-08",44,"Invisible","Clay Aiken"
"2004-01-08",45,"With You","Jessica Simpson"
"2004-01-08",46,"Hotel","Cassidy Featuring R. Kelly"
"2004-01-08",47,"Fallen","Sarah McLachlan"
"2004-01-08",48,"You Can't Take The Honky Tonk Out Of The Girl","Brooks & Dunn"
"2004-01-08",49,"Harder To Breathe","Maroon 5"
"2004-01-08",50,"Sorry 2004","Ruben Studdard"
"2004-01-08",51,"Fallen","Mya"
"2004-01-08",52,"(There's Gotta Be) More To Life","Stacie Orrico"
"2004-01-08",53,"Yeah!","NEW"
"2004-01-08",54,"Breathe","NEW"
"2004-01-08",55,"(I Hate) Everything About You","Usher Featuring Lil Jon & Ludacris"
"2004-01-08",56,"I Love This Bar","Michelle Branch"
"2004-01-08",57,"More & More","Three Days Grace"
"2004-01-08",58,"American Soldier","Toby Keith"
