"date","rank","song","artist"
"1981-01-01",1,"(Just Like) Starting Over","John Lennon"
"1981-01-01",2,"More Than I Can Say","Leo Sayer"
"1981-01-01",3,"Love On The Rocks","Neil Diamond"
"1981-01-01",4,"Lady","Kenny Rogers"
"1981-01-01",5,"Hungry Heart","Bruce Springsteen"
"1981-01-01",6,"Every Woman In The World","Air Supply"
"1981-01-01",7,"Guilty","Barbra Streisand & Barry Gibb"
"1981-01-01",8,"The Tide Is High","Blondie"
"1981-01-01",9,"Hit Me With Your Best Shot","Pat Benatar"
"1981-01-01",10,"Tell It Like It Is","Heart"
"1981-01-01",11,"Passion","Rod Stewart"
"1981-01-01",12,"De Do Do Do, De Da Da Da","The Police"
"1981-01-01",13,"Master Blaster (Jammin')","Stevie Wonder"
"1981-01-01",14,"Another One Bites The Dust","Queen"
"1981-01-01",15,"It's My Turn","Diana Ross"
"1981-01-01",16,"I Made It Through The Rain","Barry Manilow"
"1981-01-01",17,"Celebration","Kool & The Gang"
"1981-01-01",18,"Everybody's Got To Learn Sometime","The Korgis"
"1981-01-01",19,"I Love A Rainy Night","Eddie Rabbitt"
"1981-01-01",20,"Hey Nineteen","Steely Dan"
"1981-01-01",21,"Time Is Time","Andy Gibb"
"1981-01-01",22,"Woman In Love","Barbra Streisand"
"1981-01-01",23,"Suddenly","Olivia Newton-John And Cliff Richard"
"1981-01-01",24,"I Believe In You","Don Williams"
"1981-01-01",25,"You've Lost That Lovin' Feeling","Daryl Hall John Oates"
"1981-01-01",26,"One Step Closer","The Doobie Brothers"
"1981-01-01",27,"Whip It","Devo"
"1981-01-01",28,"Giving It Up For Your Love","Delbert McClinton"
"1981-01-01",29,"Together","Tierra"
"1981-01-01",30,"Miss Sun","Boz Scaggs"
"1981-01-01",31,"Never Be The Same","Christopher Cross"
"1981-01-01",32,"Theme From The Dukes Of Hazzard (Good Ol' Boys)","Waylon"
"1981-01-01",33,"9 To 5","Dolly Parton"
"1981-01-01",34,"I'm Coming Out","Diana Ross"
"1981-01-01",35,"Girls Can Get It","Dr. Hook"
"1981-01-01",36,"The Winner Takes It All","ABBA"
"1981-01-01",37,"Same Old Lang Syne","Dan Fogelberg"
"1981-01-01",38,"Sequel","Harry Chapin"
"1981-01-01",39,"Keep On Loving You","REO Speedwagon"
"1981-01-01",40,"Killin' Time","Fred Knoblock & Susan Anton"
"1981-01-01",41,"Cold Love","Donna Summer"
"1981-01-01",42,"Turn And Walk Away","The Babys"
"1981-01-01",43,"He Can't Love You","Michael Stanley Band"
"1981-01-01",44,"Need Your Loving Tonight","Queen"
"1981-01-01",45,"My Mother's Eyes","Bette Midler"
"1981-01-01",46,"Shine On","L.T.D."
"1981-01-01",47,"Gotta Have More Love","Climax Blues Band"
"1981-01-01",48,"You","Earth, Wind & Fire"
"1981-01-01",49,"I Need Your Lovin'","Teena Marie"
"1981-01-01",50,"Smoky Mountain Rain","Ronnie Milsap"
"1981-01-01",51,"Heartbreak Hotel","The Jacksons"
"1981-01-01",52,"Love T.K.O.","Teddy Pendergrass"
"1981-01-01",53,"Teacher Teacher","Rockpile"
"1981-01-01",54,"Games People Play","The Alan Parsons Project"
"1981-01-01",55,"Seven Bridges Road","Eagles"
"1981-01-01",56,"I Ain't Gonna Stand For It","Stevie Wonder"
"1981-01-01",57,"This Time","John Cougar"
"1981-01-01",58,"Dreaming","Cliff Richard"
"1981-01-01",59,"Deep Inside My Heart","Randy Meisner"
"1981-01-01",60,"The Wanderer","Donna Summer"
"1981-01-01",61,"Fool That I Am","Rita Coolidge"
"1981-01-01",62,"Breakfast In America","Supertramp"
"1981-01-01",63,"He's So Shy","The Pointer Sisters"
"1981-01-01",64,"Who's Making Love","Blues Brothers"
"1981-01-01",65,"A Little In Love","Cliff Richard"
"1981-01-01",66,"Never Knew Love Like This Before","Stephanie Mills"
"1981-01-01",67,"The Horizontal Bop","Bob Seger"
"1981-01-01",68,"Could I Be Dreaming","The Pointer Sisters"
"1981-01-01",69,"What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)","The Star Wars Intergalactic Droid Choir & Chorale"
"1981-01-01",70,"Ah! Leah!","Donnie Iris"
"1981-01-01",71,"Back In Black","AC/DC"
"1981-01-01",72,"Fashion","David Bowie"
"1981-01-01",73,"Set The Night On Fire","Oak"
"1981-01-01",74,"Easy Love","Dionne Warwick"
"1981-01-01",75,"Turning Japanese","The Vapors"
"1981-01-01",76,"Without Your Love","Roger Daltrey"
"1981-01-01",77,"Upside Down","Diana Ross"
"1981-01-01",78,"Lovely One","The Jacksons"
"1981-01-01",79,"Full Of Fire","Shalamar"
"1981-01-01",80,"Skateaway","Dire Straits"
"1981-01-01",81,"United Together","Aretha Franklin"
"1981-01-01",82,"Merry Christmas In The NFL","Willis ""The Guard"" & Vigorish"
"1981-01-01",83,"(Ghost) Riders In The Sky","Outlaws"
"1981-01-01",84,"Switchin' To Glide/This Beat Goes On","The Kings"
"1981-01-01",85,"Let Me Be Your Angel","Stacy Lattisaw"
"1981-01-01",86,"Stop This Game","Cheap Trick"
"1981-01-01",87,"On The Road Again","Willie Nelson"
"1981-01-01",88,"Don't Want No-Body","J.D. Drews"
"1981-01-01",89,"Gypsy Spirit","Pendulum"
"1981-01-01",90,"Got To Rock On","Kansas"
"1981-01-01",91,"Spend The Night In Love","The 4 Seasons"
"1981-01-01",92,"Trickle Trickle","The Manhattan Transfer"
"1981-01-01",93,"One-Trick Pony","Paul Simon"
"1981-01-01",94,"Remote Control","The Reddings"
"1981-01-01",95,"I Can't Stop The Feelin'","Pure Prairie League"
"1981-01-01",96,"Once A Night","Jackie English"
"1981-01-01",97,"Help Me!","Marcy Levy & Robin Gibb"
"1981-01-01",98,"I'm Happy That Love Has Found You","Jimmy Hall"
"1981-01-01",99,"Out Here On My Own","Irene Cara"
"1981-01-01",100,"Jesse","Carly Simon"
"1981-01-08",1,"(Just Like) Starting Over","John Lennon"
"1981-01-08",2,"Love On The Rocks","Neil Diamond"
"1981-01-08",3,"Guilty","Barbra Streisand & Barry Gibb"
"1981-01-08",4,"The Tide Is High","Blondie"
"1981-01-08",5,"Hungry Heart","Bruce Springsteen"
"1981-01-08",6,"Every Woman In The World","Air Supply"
"1981-01-08",7,"Passion","Rod Stewart"
"1981-01-08",8,"Tell It Like It Is","Heart"
"1981-01-08",9,"Lady","Kenny Rogers"
"1981-01-08",10,"More Than I Can Say","Leo Sayer"
"1981-01-08",11,"De Do Do Do, De Da Da Da","The Police"
"1981-01-08",12,"Hit Me With Your Best Shot","Pat Benatar"
"1981-01-08",13,"It's My Turn","Diana Ross"
"1981-01-08",14,"I Made It Through The Rain","Barry Manilow"
"1981-01-08",15,"I Love A Rainy Night","Eddie Rabbitt"
"1981-01-08",16,"Celebration","Kool & The Gang"
"1981-01-08",17,"Hey Nineteen","Steely Dan"
"1981-01-08",18,"Master Blaster (Jammin')","Stevie Wonder"
"1981-01-08",19,"Time Is Time","Andy Gibb"
"1981-01-08",20,"Another One Bites The Dust","Queen"
"1981-01-08",21,"Suddenly","Olivia Newton-John And Cliff Richard"
"1981-01-08",22,"Giving It Up For Your Love","Delbert McClinton"
"1981-01-08",23,"Everybody's Got To Learn Sometime","The Korgis"
"1981-01-08",24,"One Step Closer","The Doobie Brothers"
"1981-01-08",25,"Miss Sun","Boz Scaggs"
"1981-01-08",26,"9 To 5","Dolly Parton"
"1981-01-08",27,"Together","Tierra"
"1981-01-08",28,"Woman In Love","Barbra Streisand"
"1981-01-08",29,"You've Lost That Lovin' Feeling","Daryl Hall John Oates"
"1981-01-08",30,"The Winner Takes It All","ABBA"
"1981-01-08",31,"Same Old Lang Syne","Dan Fogelberg"
"1981-01-08",32,"I Believe In You","Don Williams"
"1981-01-08",33,"Whip It","Devo"
"1981-01-08",34,"Keep On Loving You","REO Speedwagon"
"1981-01-08",35,"Seven Bridges Road","Eagles"
"1981-01-08",36,"Never Be The Same","Christopher Cross"
"1981-01-08",37,"Cold Love","Donna Summer"
"1981-01-08",38,"Killin' Time","Fred Knoblock & Susan Anton"
"1981-01-08",39,"He Can't Love You","Michael Stanley Band"
"1981-01-08",40,"Heartbreak Hotel","The Jacksons"
"1981-01-08",41,"My Mother's Eyes","Bette Midler"
"1981-01-08",42,"Theme From The Dukes Of Hazzard (Good Ol' Boys)","Waylon"
"1981-01-08",43,"I Need Your Lovin'","Teena Marie"
"1981-01-08",44,"Need Your Loving Tonight","Queen"
"1981-01-08",45,"Shine On","L.T.D."
"1981-01-08",46,"Smoky Mountain Rain","Ronnie Milsap"
"1981-01-08",47,"Love T.K.O.","Teddy Pendergrass"
"1981-01-08",48,"Games People Play","The Alan Parsons Project"
"1981-01-08",49,"I Ain't Gonna Stand For It","Stevie Wonder"
"1981-01-08",50,"I'm Coming Out","Diana Ross"
"1981-01-08",51,"Teacher Teacher","Rockpile"
"1981-01-08",52,"Who's Making Love","Blues Brothers"
"1981-01-08",53,"A Little In Love","Cliff Richard"
"1981-01-08",54,"Girls Can Get It","Dr. Hook"
"1981-01-08",55,"Sequel","Harry Chapin"
"1981-01-08",56,"Turn And Walk Away","The Babys"
"1981-01-08",57,"You","Earth, Wind & Fire"
"1981-01-08",58,"Fool That I Am","Rita Coolidge"
"1981-01-08",59,"Gotta Have More Love","Climax Blues Band"
"1981-01-08",60,"The Wanderer","Donna Summer"
"1981-01-08",61,"Ah! Leah!","Donnie Iris"
"1981-01-08",62,"Breakfast In America","Supertramp"
"1981-01-08",63,"Back In Black","AC/DC"
"1981-01-08",64,"This Time","John Cougar"
"1981-01-08",65,"Dreaming","Cliff Richard"
"1981-01-08",66,"Deep Inside My Heart","Randy Meisner"
"1981-01-08",67,"United Together","Aretha Franklin"
"1981-01-08",68,"Full Of Fire","Shalamar"
"1981-01-08",69,"What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)","The Star Wars Intergalactic Droid Choir & Chorale"
"1981-01-08",70,"Fashion","David Bowie"
"1981-01-08",71,"Set The Night On Fire","Oak"
"1981-01-08",72,"Skateaway","Dire Straits"
"1981-01-08",73,"(Ghost) Riders In The Sky","Outlaws"
"1981-01-08",74,"He's So Shy","The Pointer Sisters"
"1981-01-08",75,"Turning Japanese","The Vapors"
"1981-01-08",76,"Never Knew Love Like This Before","Stephanie Mills"
"1981-01-08",77,"The Horizontal Bop","Bob Seger"
"1981-01-08",78,"Lovely One","The Jacksons"
"1981-01-08",79,"Easy Love","Dionne Warwick"
"1981-01-08",80,"Got To Rock On","Kansas"
"1981-01-08",81,"Could I Be Dreaming","The Pointer Sisters"
"1981-01-08",82,"Merry Christmas In The NFL","Willis ""The Guard"" & Vigorish"
"1981-01-08",83,"Without Your Love","Roger Daltrey"
"1981-01-08",84,"Don't Want No-Body","J.D. Drews"
"1981-01-08",85,"Upside Down","Diana Ross"
"1981-01-08",86,"Toccata","NEW"
"1981-01-08",87,"Switchin' To Glide/This Beat Goes On","NEW"
"1981-01-08",88,"Fly Away","Sky (Arista)"
"1981-01-08",89,"Gypsy Spirit","The Kings"
"1981-01-08",90,"Stop This Game","NEW"
"1981-01-08",91,"Spend The Night In Love","NEW"
"1981-01-08",92,"Let Me Be Your Angel","Peter Allen"
"1981-01-08",93,"Remote Control","Pendulum"
"1981-01-08",94,"Once A Night","Cheap Trick"
"1981-01-08",95,"I Can't Stop The Feelin'","The 4 Seasons"
"1981-01-08",96,"On The Road Again","Stacy Lattisaw"
"1981-01-08",97,"Trickle Trickle","The Reddings"
"1981-01-08",98,"Help Me!","Jackie English"
"1981-01-08",99,"I'm Happy That Love Has Found You","Pure Prairie League"
"1981-01-08",100,"Out Here On My Own","Willie Nelson"
"1981-01-15",1,"(Just Like) Starting Over","John Lennon"
"1981-01-15",2,"Love On The Rocks","Neil Diamond"
"1981-01-15",3,"Guilty","Barbra Streisand & Barry Gibb"
"1981-01-15",4,"The Tide Is High","Blondie"
"1981-01-15",5,"Hungry Heart","Bruce Springsteen"
"1981-01-15",6,"Every Woman In The World","Air Supply"
"1981-01-15",7,"Passion","Rod Stewart"
"1981-01-15",8,"Tell It Like It Is","Heart"
"1981-01-15",9,"Lady","Kenny Rogers"
"1981-01-15",10,"De Do Do Do, De Da Da Da","The Police"
"1981-01-15",11,"It's My Turn","Diana Ross"
"1981-01-15",12,"I Love A Rainy Night","Eddie Rabbitt"
"1981-01-15",13,"I Made It Through The Rain","Barry Manilow"
"1981-01-15",14,"Celebration","Kool & The Gang"
"1981-01-15",15,"Hey Nineteen","Steely Dan"
"1981-01-15",16,"Hit Me With Your Best Shot","Pat Benatar"
"1981-01-15",17,"More Than I Can Say","Leo Sayer"
"1981-01-15",18,"Time Is Time","Andy Gibb"
"1981-01-15",19,"Giving It Up For Your Love","Delbert McClinton"
"1981-01-15",20,"Suddenly","Olivia Newton-John And Cliff Richard"
"1981-01-15",21,"Miss Sun","Boz Scaggs"
"1981-01-15",22,"9 To 5","Dolly Parton"
"1981-01-15",23,"Together","Tierra"
"1981-01-15",24,"One Step Closer","The Doobie Brothers"
"1981-01-15",25,"The Winner Takes It All","ABBA"
"1981-01-15",26,"Same Old Lang Syne","Dan Fogelberg"
"1981-01-15",27,"Master Blaster (Jammin')","Stevie Wonder"
"1981-01-15",28,"Keep On Loving You","REO Speedwagon"
"1981-01-15",29,"Seven Bridges Road","Eagles"
"1981-01-15",30,"Another One Bites The Dust","Queen"
"1981-01-15",31,"Woman In Love","Barbra Streisand"
"1981-01-15",32,"I Ain't Gonna Stand For It","Stevie Wonder"
"1981-01-15",33,"Cold Love","Donna Summer"
"1981-01-15",34,"Killin' Time","Fred Knoblock & Susan Anton"
"1981-01-15",35,"Heartbreak Hotel","The Jacksons"
"1981-01-15",36,"Woman","NEW"
"1981-01-15",37,"He Can't Love You","NEW"
"1981-01-15",38,"Everybody's Got To Learn Sometime","John Lennon"
"1981-01-15",39,"My Mother's Eyes","Michael Stanley Band"
"1981-01-15",40,"I Need Your Lovin'","The Korgis"
"1981-01-15",41,"Shine On","Bette Midler"
"1981-01-15",42,"Smoky Mountain Rain","Teena Marie"
"1981-01-15",43,"A Little In Love","L.T.D."
"1981-01-15",44,"Games People Play","Ronnie Milsap"
"1981-01-15",45,"Love T.K.O.","Cliff Richard"
"1981-01-15",46,"Who's Making Love","The Alan Parsons Project"
"1981-01-15",47,"You've Lost That Lovin' Feeling","Teddy Pendergrass"
"1981-01-15",48,"Whip It","Blues Brothers"
"1981-01-15",49,"I Believe In You","Daryl Hall John Oates"
"1981-01-15",50,"Never Be The Same","Devo"
"1981-01-15",51,"Fool That I Am","Don Williams"
