"date","rank","song","artist"
"1990-01-01",1,"Another Day In Paradise","Phil Collins"
"1990-01-01",2,"Rhythm Nation","Janet Jackson"
"1990-01-01",3,"Don't Know Much","Linda Ronstadt (Featuring Aaron Neville)"
"1990-01-01",4,"Pump Up The Jam","Technotronic Featuring Felly"
"1990-01-01",5,"With Every Beat Of My Heart","Taylor Dayne"
"1990-01-01",6,"How Am I Supposed To Live Without You","Michael Bolton"
"1990-01-01",7,"This One's For The Children","New Kids On The Block"
"1990-01-01",8,"Just Like Jesse James","Cher"
"1990-01-01",9,"We Didn't Start The Fire","Billy Joel"
"1990-01-01",10,"Everything","Jody Watley"
"1990-01-01",11,"Back To Life","Soul II Soul"
"1990-01-01",12,"Swing The Mood","Jive Bunny & The Mastermixers"
"1990-01-01",13,"Just Between You And Me","Lou Gramm"
"1990-01-01",14,"Free Fallin'","Tom Petty"
"1990-01-01",15,"Love Song","Tesla"
"1990-01-01",16,"Downtown Train","Rod Stewart"
"1990-01-01",17,"When The Night Comes","Joe Cocker"
"1990-01-01",18,"Two To Make It Right","Seduction"
"1990-01-01",19,"Living In Sin","Bon Jovi"
"1990-01-01",20,"Oh Father","Madonna"
"1990-01-01",21,"Blame It On The Rain","Milli Vanilli"
"1990-01-01",22,"I Remember You","Skid Row"
"1990-01-01",23,"Rock And A Hard Place","The Rolling Stones"
"1990-01-01",24,"Janie's Got A Gun","Aerosmith"
"1990-01-01",25,"I'll Be Good To You","Quincy Jones Featuring Ray Charles & Chaka Khan"
"1990-01-01",26,"Tender Lover","Babyface"
"1990-01-01",27,"Peace In Our Time","Eddie Money"
"1990-01-01",28,"Love Shack","The B-52s"
"1990-01-01",29,"What Kind Of Man Would I Be?","Chicago"
"1990-01-01",30,"Don't Close Your Eyes","KIX"
"1990-01-01",31,"Tell Me Why","Expose"
"1990-01-01",32,"Opposites Attract","Paula Abdul (Duet With The Wild Pair)"
"1990-01-01",33,"(It's Just) The Way That You Love Me","Paula Abdul"
"1990-01-01",34,"Was It Nothing At All","Michael Damian"
"1990-01-01",35,"Principal's Office","Young M.C."
"1990-01-01",36,"Bust A Move","Young M.C."
"1990-01-01",37,"Kickstart My Heart","Motley Crue"
"1990-01-01",38,"When I See You Smile","Bad English"
"1990-01-01",39,"Steamy Windows","Tina Turner"
"1990-01-01",40,"Dangerous","Roxette"
"1990-01-01",41,"I Want You","Shana"
"1990-01-01",42,"Don't Make Me Over","Sybil"
"1990-01-01",43,"Nothin' To Hide","Poco"
"1990-01-01",44,"Here We Are","Gloria Estefan"
"1990-01-01",45,"We Can't Go Wrong","The Cover Girls"
"1990-01-01",46,"Fool For Your Loving","Whitesnake"
"1990-01-01",47,"The Last Worthless Evening","Don Henley"
