"date","rank","song","artist"
"1962-01-01",1,"The Lion Sleeps Tonight","The Tokens"
"1962-01-01",2,"The Twist","Chubby Checker"
"1962-01-01",3,"Run To Him","Bobby Vee"
"1962-01-01",4,"Peppermint Twist - Part I","Joey Dee & the Starliters"
"1962-01-01",5,"Can't Help Falling In Love","Elvis Presley With The Jordanaires"
"1962-01-01",6,"Happy Birthday, Sweet Sixteen","Neil Sedaka"
"1962-01-01",7,"Goodbye Cruel World","James Darren"
"1962-01-01",8,"Walk On By","Leroy Van Dyke"
"1962-01-01",9,"When I Fall In Love","The Lettermen"
"1962-01-01",10,"Unchain My Heart","Ray Charles and his Orchestra"
"1962-01-01",11,"When The Boy In Your Arms (Is The Boy In Your Heart)","Connie Francis"
"1962-01-01",12,"White Christmas (1947)","Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra"
"1962-01-01",13,"Please Mr. Postman","The Marvelettes"
"1962-01-01",14,"'Til","The Angels"
"1962-01-01",15,"I Know (You Don't Love Me No More)","Barbara George"
"1962-01-01",16,"I Don't Know Why","Linda Scott"
"1962-01-01",17,"Let There Be Drums","Sandy Nelson"
"1962-01-01",18,"Revenge","Brook Benton"
"1962-01-01",19,"Moon River","Henry Mancini And His Orchestra"
"1962-01-01",20,"There's No Other (Like My Baby)","The Crystals"
"1962-01-01",21,"Jingle Bell Rock","Bobby Rydell/Chubby Checker"
"1962-01-01",22,"The Little Drummer Boy","The Harry Simeone Chorale"
"1962-01-01",23,"Rock-A-Hula Baby","Elvis Presley With The Jordanaires"
"1962-01-01",24,"Town Without Pity","Gene Pitney"
"1962-01-01",25,"Gypsy Woman","The Impressions"
"1962-01-01",26,"Baby's First Christmas","Connie Francis"
"1962-01-01",27,"Moon River","Jerry Butler"
"1962-01-01",28,"A Little Bitty Tear","Burl Ives"
"1962-01-01",29,"If You Gotta Make A Fool Of Somebody","James Ray"
"1962-01-01",30,"The Wanderer","Dion"
"1962-01-01",31,"Funny How Time Slips Away","Jimmy Elledge"
"1962-01-01",32,"Cotton Fields","The Highwaymen"
"1962-01-01",33,"Jambalaya (On The Bayou)","Fats Domino"
"1962-01-01",34,"Baby It's You","The Shirelles"
"1962-01-01",35,"Your Ma Said You Cried In Your Sleep Last Night","Kenny Dino"
"1962-01-01",36,"Tonight","Ferrante & Teicher"
"1962-01-01",37,"Johnny Will","Pat Boone"
"1962-01-01",38,"Hey! Little Girl","Del Shannon"
"1962-01-01",39,"The Chipmunk Song (Christmas Don't Be Late)","David Seville And The Chipmunks"
"1962-01-01",40,"Big Bad John","Jimmy Dean"
"1962-01-01",41,"Jingle Bell Rock","Bobby Helms"
"1962-01-01",42,"Poor Fool","Ike & Tina Turner"
"1962-01-01",43,"Well, I Told You","The Chantels"
