"date","rank","song","artist"
"2017-01-01",1,"Starboy","The Weeknd Featuring Daft Punk"
"2017-01-01",2,"Black Beatles","Rae Sremmurd Featuring Gucci Mane"
"2017-01-01",3,"Closer","The Chainsmokers Featuring Halsey"
"2017-01-01",4,"24K Magic","Bruno Mars"
"2017-01-01",5,"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr & Zayion McCall"
"2017-01-01",6,"Side To Side","Ariana Grande Featuring Nicki Minaj"
"2017-01-01",7,"Let Me Love You","DJ Snake Featuring Justin Bieber"
"2017-01-01",8,"Don't Wanna Know","Maroon 5 Featuring Kendrick Lamar"
"2017-01-01",9,"Bad Things","Machine Gun Kelly x Camila Cabello"
"2017-01-01",10,"Fake Love","Drake"
"2017-01-01",11,"Caroline","Amine"
"2017-01-01",12,"Heathens","Twenty One Pilots"
"2017-01-01",13,"Bad And Boujee","Migos Featuring Lil Uzi Vert"
"2017-01-01",14,"Scars To Your Beautiful","Alessia Cara"
"2017-01-01",15,"Broccoli","D.R.A.M. Featuring Lil Yachty"
"2017-01-01",16,"All I Want For Christmas Is You","Mariah Carey"
"2017-01-01",17,"Starving","Hailee Steinfeld & Grey Featuring Zedd"
"2017-01-01",18,"I Don't Wanna Live Forever (Fifty Shades Darker)","Zayn / Taylor Swift"
"2017-01-01",19,"OOOUUU","Young M.A"
"2017-01-01",20,"Love On The Brain","Rihanna"
"2017-01-01",21,"Bounce Back","Big Sean"
"2017-01-01",22,"The Greatest","Sia Featuring Kendrick Lamar"
"2017-01-01",23,"Hallelujah","Pentatonix"
"2017-01-01",24,"All Time Low","Jon Bellion"
"2017-01-01",25,"I Feel It Coming","The Weeknd Featuring Daft Punk"
"2017-01-01",26,"Treat You Better","Shawn Mendes"
"2017-01-01",27,"Rockin' Around The Christmas Tree","Brenda Lee"
"2017-01-01",28,"Mercy","Shawn Mendes"
"2017-01-01",29,"Jingle Bell Rock","Bobby Helms"
"2017-01-01",30,"In The Name Of Love","Martin Garrix & Bebe Rexha"
"2017-01-01",31,"I Hate U I Love U","gnash Featuring Olivia O'Brien"
"2017-01-01",32,"Can't Stop The Feeling!","Justin Timberlake"
"2017-01-01",33,"Blue Ain't Your Color","Keith Urban"
"2017-01-01",34,"Don't Let Me Down","The Chainsmokers Featuring Daya"
"2017-01-01",35,"Deja Vu","J. Cole"
"2017-01-01",36,"Cheap Thrills","Sia Featuring Sean Paul"
"2017-01-01",37,"This Town","Niall Horan"
"2017-01-01",38,"Cold Water","Major Lazer Featuring Justin Bieber & MO"
"2017-01-01",39,"Chill Bill","Rob $tone Featuring J. Davi$ & Spooks"
"2017-01-01",40,"Love Me Now","John Legend"
"2017-01-01",41,"Both","NEW"
"2017-01-01",42,"Unsteady","NEW"
"2017-01-01",43,"X","Gucci Mane Featuring Drake"
"2017-01-01",44,"Feliz Navidad","X Ambassadors"
"2017-01-01",45,"Mary, Did You Know?","21 Savage & Metro Boomin Featuring Future"
"2017-01-01",46,"A Holly Jolly Christmas","NEW"
"2017-01-01",47,"The Christmas Song (Merry Christmas To You)","NEW"
"2017-01-01",48,"It's The Most Wonderful Time Of The Year","Jose Feliciano"
"2017-01-01",49,"Party Monster","RE- ENTRY"
"2017-01-01",50,"Last Christmas","RE- ENTRY"
"2017-01-01",51,"Water Under The Bridge","Pentatonix"
"2017-01-01",52,"You Was Right","NEW"
"2017-01-01",53,"No Heart","NEW"
"2017-01-01",54,"Neighbors","Burl Ives"
"2017-01-01",55,"Used To This","RE- ENTRY"
"2017-01-01",56,"How Far I'll Go","RE- ENTRY"
"2017-01-01",57,"Do You Mind","Nat ""King"" Cole"
"2017-01-01",58,"Party","NEW"
"2017-01-01",59,"Immortal","NEW"
"2017-01-01",60,"May We All","Andy Williams"
"2017-01-01",61,"Say You Won't Let Go","The Weeknd"
"2017-01-01",62,"Wanna Be That Song","NEW"
"2017-01-01",63,"Too Much Sauce","NEW"
"2017-01-01",64,"Better Man","Wham!"
"2017-01-01",65,"Chantaje","Adele"
"2017-01-01",66,"Dirty Laundry","Lil Uzi Vert"
"2017-01-01",67,"1 Night","21 Savage & Metro Boomin"
"2017-01-01",68,"Redbone","J. Cole"
"2017-01-01",69,"Sneakin'","Future Featuring Drake"
"2017-01-01",70,"Million Reasons","Auli'i Cravalho"
"2017-01-01",71,"A Guy With A Girl","DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross"
"2017-01-01",72,"Just Hold On","NEW"
"2017-01-01",73,"Song For Another Time","NEW"
"2017-01-01",74,"Pick Up The Phone","Chris Brown Featuring Usher & Gucci Mane"
"2017-01-01",75,"Make Me (Cry)","J. Cole"
"2017-01-01",76,"Star Of The Show","Florida Georgia Line Featuring Tim McGraw"
"2017-01-01",77,"HandClap","James Arthur"
"2017-01-01",78,"How I'll Always Be","Brett Eldredge"
"2017-01-01",79,"Rockabye","DJ ESCO Featuring Future & Lil Uzi Vert"
"2017-01-01",80,"Alone","Little Big Town"
"2017-01-01",81,"How Far I'll Go","Shakira Featuring Maluma"
"2017-01-01",82,"All We Know","Carrie Underwood"
"2017-01-01",83,"Change","Lil Yachty"
"2017-01-01",84,"Dirt On My Boots","Childish Gambino"
"2017-01-01",85,"Selfish","Drake Featuring 21 Savage"
"2017-01-01",86,"You're Welcome","Lady Gaga"
"2017-01-01",87,"Fresh Eyes","Blake Shelton"
"2017-01-01",88,"Sleep Without You","Steve Aoki & Louis Tomlinson"
"2017-01-01",89,"She's Mine, Pt. 1","Old Dominion"
"2017-01-01",90,"Ville Mentality","Young Thug And Travis Scott Featuring Quavo"
"2017-01-01",91,"OTW","RE- ENTRY"
"2017-01-01",92,"Red Opps","RE- ENTRY"
"2017-01-01",93,"For Whom The Bell Tolls","Noah Cyrus Featuring Labrinth"
"2017-01-01",94,"Six Feet Under","Thomas Rhett"
"2017-01-01",95,"Reminder","Fitz And The Tantrums"
"2017-01-01",96,"Play That Song","Tim McGraw"
"2017-01-01",97,"Sidewalks","Clean Bandit Featuring Sean Paul & Anne-Marie"
"2017-01-01",98,"Foldin Clothes","Marshmello"
"2017-01-01",99,"Swang","Alessia Cara"
"2017-01-01",100,"Versace On The Floor","The Chainsmokers Featuring Phoebe Ryan"
"2017-01-08",1,"Black Beatles","Rae Sremmurd Featuring Gucci Mane"
"2017-01-08",2,"Bad And Boujee","Migos Featuring Lil Uzi Vert"
"2017-01-08",3,"Starboy","The Weeknd Featuring Daft Punk"
"2017-01-08",4,"Closer","The Chainsmokers Featuring Halsey"
"2017-01-08",5,"24K Magic","Bruno Mars"
"2017-01-08",6,"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr & Zayion McCall"
"2017-01-08",7,"Side To Side","Ariana Grande Featuring Nicki Minaj"
"2017-01-08",8,"Let Me Love You","DJ Snake Featuring Justin Bieber"
