"date","rank","song","artist"
"1969-01-01",1,"I Heard It Through The Grapevine","Marvin Gaye"
"1969-01-01",2,"For Once In My Life","Stevie Wonder"
"1969-01-01",3,"I'm Gonna Make You Love Me","Diana Ross And The Supremes & The Temptations"
"1969-01-01",4,"Soulful Strut","Young-Holt Unlimited"
"1969-01-01",5,"Wichita Lineman","Glen Campbell"
"1969-01-01",6,"Cloud Nine","The Temptations"
"1969-01-01",7,"Love Child","Diana Ross & The Supremes"
"1969-01-01",8,"Stormy","Classics IV Featuring Dennis Yost"
"1969-01-01",9,"Who's Making Love","Johnnie Taylor"
"1969-01-01",10,"Hooked On A Feeling","B.J. Thomas"
"1969-01-01",11,"I Love How You Love Me","Bobby Vinton"
"1969-01-01",12,"Cinnamon","Derek"
"1969-01-01",13,"Too Weak To Fight","Clarence Carter"
"1969-01-01",14,"Lo Mucho Que Te Quiero (The More I Love You)","Rene & Rene"
"1969-01-01",15,"Going Up The Country","Canned Heat"
"1969-01-01",16,"Abraham, Martin And John","Dion"
"1969-01-01",17,"Crimson And Clover","Tommy James And The Shondells"
"1969-01-01",18,"Son-Of-A Preacher Man","Dusty Springfield"
"1969-01-01",19,"Bring It On Home To Me","Eddie Floyd"
"1969-01-01",20,"See Saw","Aretha Franklin"
"1969-01-01",21,"Papa's Got A Brand New Bag","Otis Redding"
"1969-01-01",22,"Both Sides Now","Judy Collins"
"1969-01-01",23,"Hey Jude","The Beatles"
"1969-01-01",24,"Magic Carpet Ride","Steppenwolf"
"1969-01-01",25,"This Is My Country","The Impressions"
"1969-01-01",26,"If I Can Dream","Elvis Presley"
"1969-01-01",27,"Everyday People","Sly & The Family Stone"
"1969-01-01",28,"Hey Jude","Wilson Pickett"
"1969-01-01",29,"Can I Change My Mind","Tyrone Davis"
"1969-01-01",30,"Scarborough Fair","Sergio Mendes & Brasil '66"
"1969-01-01",31,"My Song","Aretha Franklin"
"1969-01-01",32,"A Ray Of Hope","The Rascals"
"1969-01-01",33,"Stand By Your Man","Tammy Wynette"
"1969-01-01",34,"Hang 'Em High","Booker T. & The MG's"
"1969-01-01",35,"There's Gonna Be A Showdown","Archie Bell & The Drells"
"1969-01-01",36,"Chewy Chewy","Ohio Express"
"1969-01-01",37,"Touch Me","The Doors"
"1969-01-01",38,"Worst That Could Happen","Brooklyn Bridge"
"1969-01-01",39,"Baby Let's Wait","The Royal Guardsmen"
"1969-01-01",40,"I Started A Joke","Bee Gees"
"1969-01-01",41,"Battle Hymn Of The Republic","Andy Williams with the St. Charles Borromeo Choir"
"1969-01-01",42,"Bella Linda","The Grass Roots"
"1969-01-01",43,"Are You Happy","Jerry Butler"
"1969-01-01",44,"Ready Or Not Here I Come (Can't Hide From Love)","The Delfonics"
"1969-01-01",45,"Little Arrows","Leapy Lee"
"1969-01-01",46,"My Favorite Things","Herb Alpert & The Tijuana Brass"
"1969-01-01",47,"I've Gotta Be Me","Sammy Davis Jr."
"1969-01-01",48,"Malinda","Bobby Taylor & The Vancouvers"
"1969-01-01",49,"People","The Tymes"
"1969-01-01",50,"I Can't Turn You Loose","The Chambers Brothers"
"1969-01-01",51,"The Beginning Of My End","The Unifics"
"1969-01-01",52,"Put Your Head On My Shoulder","The Lettermen"
"1969-01-01",53,"Baby, Baby Don't Cry","NEW"
"1969-01-01",54,"California Dreamin'","NEW"
"1969-01-01",55,"The Girl Most Likely","Smokey Robinson & The Miracles"
"1969-01-01",56,"Crosstown Traffic","Bobby Womack"
"1969-01-01",57,"California Soul","Jeannie C. Riley"
"1969-01-01",58,"Rockin' In The Same Old Boat","The Jimi Hendrix Experience"
"1969-01-01",59,"Soul Sister, Brown Sugar","The 5th Dimension"
"1969-01-01",60,"Daddy Sang Bass","Bobby Bland"
"1969-01-01",61,"Bluebirds Over The Mountain","Sam & Dave"
"1969-01-01",62,"Shame, Shame","Johnny Cash"
"1969-01-01",63,"Isn't It Lonely Together","The Beach Boys"
"1969-01-01",64,"I Put A Spell On You","Magic Lanterns"
"1969-01-01",65,"Ramblin' Gamblin' Man","O.C. Smith"
"1969-01-01",66,"Does Anybody Know I'm Here","Creedence Clearwater Revival"
"1969-01-01",67,"Just Ain't No Love","Bob Seger System"
"1969-01-01",68,"A Minute Of Your Time","The Dells"
"1969-01-01",69,"American Boys","Barbara Acklin"
"1969-01-01",70,"Season Of The Witch, Pt. 1","Tom Jones"
"1969-01-01",71,"White Houses","Petula Clark"
"1969-01-01",72,"You Got Soul","Vanilla Fudge"
"1969-01-01",73,"Rainbow Ride","Eric Burdon & The Animals"
"1969-01-01",74,"Condition Red","Johnny Nash"
"1969-01-01",75,"Not On The Outside","Andy Kim"
"1969-01-01",76,"Chitty Chitty Bang Bang","The Goodees"
"1969-01-01",77,"Electric Stories","The Moments"
"1969-01-01",78,"Feelin' So Good (S.k.o.o.b.y-D.o.o)","Paul Mauriat"
"1969-01-01",79,"This Magic Moment","The 4 Seasons Featuring the ""Sound of Frankie Valli"""
"1969-01-01",80,"Vance","The Archies"
"1969-01-01",81,"I Forgot To Be Your Lover","Jay & The Americans"
"1969-01-01",82,"Rain In My Heart","Roger Miller"
"1969-01-01",83,"Shout! - Part 1","NEW"
"1969-01-01",84,"Build Me Up Buttercup","NEW"
"1969-01-01",85,"Sweet Cream Ladies, Forward March","William Bell"
"1969-01-01",86,"Tit For Tat (Ain't No Taking Back)","NEW"
"1969-01-01",87,"Kay","NEW"
"1969-01-01",88,"Ob-La-Di, Ob-La-Da","Frank Sinatra"
"1969-01-01",89,"She's A Lady","Chambers Brothers"
"1969-01-01",90,"You Showed Me","NEW"
"1969-01-01",91,"Eloise","NEW"
"1969-01-01",92,"If It Wasn't For Bad Luck","The Foundations"
"1969-01-01",93,"You've Got The Power","The Box Tops"
"1969-01-01",94,"Looking Back","James Brown"
"1969-01-01",95,"The Thought Of Loving You","John Wesley Ryles, I"
"1969-01-01",96,"Things I'd Like To Say","NEW"
"1969-01-01",97,"I Can't Help It (If I'm Still In Love With You)","NEW"
"1969-01-01",98,"I'm Into Lookin' For Someone To Love Me","Arthur Conley"
"1969-01-01",99,"Ain't Got No; I Got Life","NEW"
"1969-01-01",100,"Goodnight My Love","NEW"
"1969-01-08",1,"I Heard It Through The Grapevine","Marvin Gaye"
"1969-01-08",2,"I'm Gonna Make You Love Me","Diana Ross And The Supremes & The Temptations"
"1969-01-08",3,"Wichita Lineman","Glen Campbell"
"1969-01-08",4,"Soulful Strut","Young-Holt Unlimited"
"1969-01-08",5,"Hooked On A Feeling","B.J. Thomas"
"1969-01-08",6,"Cloud Nine","The Temptations"
