"date","rank","song","artist"
"1997-01-01",1,"Un-Break My Heart","Toni Braxton"
"1997-01-01",2,"I Believe I Can Fly (From ""Space Jam"")","R. Kelly"
"1997-01-01",3,"Don't Let Go (Love)","En Vogue"
"1997-01-01",4,"No Diggity","BLACKstreet (Featuring Dr. Dre)"
"1997-01-01",5,"Nobody","Keith Sweat Featuring Athena Cage"
"1997-01-01",6,"I Believe In You And Me (From ""The Preacher's Wife"")","Whitney Houston"
"1997-01-01",7,"Mouth","Merril Bainbridge"
"1997-01-01",8,"I'm Still In Love With You","New Edition"
"1997-01-01",9,"I Finally Found Someone (From ""The Mirror Has Two Faces"")","Barbra Streisand & Bryan Adams"
"1997-01-01",10,"Macarena (Bayside Boys Mix)","Los Del Rio"
"1997-01-01",11,"It's All Coming Back To Me Now","Celine Dion"
"1997-01-01",12,"Pony","Ginuwine"
"1997-01-01",13,"Fly Like An Eagle (From ""Space Jam"")","Seal"
"1997-01-01",14,"Last Night (From ""The Nutty Professor"")","Az Yet"
"1997-01-01",15,"When You Love A Woman","Journey"
"1997-01-01",16,"If It Makes You Happy","Sheryl Crow"
"1997-01-01",17,"Where Do You Go","No Mercy"
"1997-01-01",18,"What Kind Of Man Would I Be","Mint Condition"
"1997-01-01",19,"No Time","Lil' Kim Featuring Puff Daddy"
"1997-01-01",20,"I Love You Always Forever","Donna Lewis"
"1997-01-01",21,"This Is For The Lover In You","Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels"
"1997-01-01",22,"Falling","Montell Jordan"
"1997-01-01",23,"Street Dreams","Nas"
"1997-01-01",24,"You Must Love Me (From ""Evita"")","Madonna"
"1997-01-01",25,"Twisted","Keith Sweat"
"1997-01-01",26,"Cold Rock A Party","MC Lyte"
"1997-01-01",27,"Tell Me (From ""Eddie"")","Dru Hill"
"1997-01-01",28,"Foolish Games/You Were Meant For Me","Jewel"
"1997-01-01",29,"Change The World","Eric Clapton"
"1997-01-01",30,"This Is Your Night","Amber"
"1997-01-01",31,"Ooh Aah... Just A Little Bit","Gina G"
"1997-01-01",32,"You're Makin' Me High/Let It Flow","Toni Braxton"
"1997-01-01",33,"Come See Me","dc Talk"
"1997-01-01",34,"Between You And Me","OutKast"
"1997-01-01",35,"Steelo","Dishwalla"
"1997-01-01",36,"ATLiens","Nate Dogg Featuring Snoop Doggy Dogg"
