"date","rank","song","artist"
"1989-01-01",1,"Every Rose Has Its Thorn","Poison"
"1989-01-01",2,"My Prerogative","Bobby Brown"
"1989-01-01",3,"Two Hearts","Phil Collins"
"1989-01-01",4,"Giving You The Best That I Got","Anita Baker"
"1989-01-01",5,"In Your Room","The Bangles"
"1989-01-01",6,"Don't Rush Me","Taylor Dayne"
"1989-01-01",7,"Waiting For A Star To Fall","Boy Meets Girl"
"1989-01-01",8,"Look Away","Chicago"
"1989-01-01",9,"Armageddon It","Def Leppard"
"1989-01-01",10,"Smooth Criminal","Michael Jackson"
"1989-01-01",11,"I Remember Holding You","Boys Club"
"1989-01-01",12,"Put A Little Love In Your Heart","Annie Lennox & Al Green"
"1989-01-01",13,"Silhouette","Kenny G"
"1989-01-01",14,"Welcome To The Jungle","Guns N' Roses"
"1989-01-01",15,"The Way You Love Me","Karyn White"
"1989-01-01",16,"When I'm With You","Sheriff"
"1989-01-01",17,"Born To Be My Baby","Bon Jovi"
"1989-01-01",18,"All This Time","Tiffany"
"1989-01-01",19,"When The Children Cry","White Lion"
"1989-01-01",20,"Walk On Water","Eddie Money"
"1989-01-01",21,"Baby, I Love Your Way/Freebird Medley","Will To Power"
"1989-01-01",22,"Little Liar","Joan Jett & The Blackhearts"
"1989-01-01",23,"Holding On","Steve Winwood"
"1989-01-01",24,"How Can I Fall?","Breathe"
"1989-01-01",25,"Wild World","Maxi Priest"
"1989-01-01",26,"I Wanna Have Some Fun","Samantha Fox"
"1989-01-01",27,"I Don't Want Your Love","Duran Duran"
"1989-01-01",28,"Straight Up","Paula Abdul"
"1989-01-01",29,"The Promise","When In Rome"
"1989-01-01",30,"The Lover In Me","Sheena Easton"
"1989-01-01",31,"Wild Thing","Tone-Loc"
"1989-01-01",32,"Finish What Ya Started","Van Halen"
"1989-01-01",33,"Ghost Town","Cheap Trick"
"1989-01-01",34,"Walking Away","Information Society"
"1989-01-01",35,"Thanks For My Child","Cheryl Pepsii Riley"
"1989-01-01",36,"Early In The Morning","Robert Palmer"
"1989-01-01",37,"Spy In The House Of Love","Was (Not Was)"
"1989-01-01",38,"Kiss","The Art Of Noise Featuring Tom Jones"
"1989-01-01",39,"Back On Holiday","Robbie Nevil"
"1989-01-01",40,"She Wants To Dance With Me","Rick Astley"
"1989-01-01",41,"What I Am","Edie Brickell & New Bohemians"
"1989-01-01",42,"Angel Of Harlem","The Boys"
"1989-01-01",43,"Dial My Heart","The Beach Boys"
"1989-01-01",44,"Kokomo (From""Cocktail"" )","New Kids On The Block"
"1989-01-01",45,"You Got It (The Right Stuff)","The Escape Club"
"1989-01-01",46,"Wild, Wild West","Erasure"
"1989-01-01",47,"A Little Respect","Tracy Chapman"
"1989-01-01",48,"Baby Can I Hold You","The Escape Club"
"1989-01-01",49,"Desire","Bon Jovi"
"1989-01-01",50,"Shake For The Sheik","Fleetwood Mac"
"1989-01-01",51,"Bad Medicine","Ann Wilson & Robin Zander"
"1989-01-01",52,"As Long As You Follow","Rod Stewart"
"1989-01-01",53,"Surrender To Me (From ""Tequila Sunrise"")","Kylie Minogue"
"1989-01-01",54,"My Heart Can't Tell You No","Kylie Minogue"
"1989-01-01",55,"It's No Secret","Cinderella"
"1989-01-01",56,"The Loco-Motion","Eighth Wonder"
"1989-01-01",57,"Don't Know What You Got (Till It's Gone)","Ivan Neville"
"1989-01-01",58,"Cross My Heart","Phil Collins"
"1989-01-01",59,"Not Just Another Girl","Basia"
"1989-01-01",60,"Groovy Kind Of Love","Duran Duran"
"1989-01-01",61,"New Day For You","Traveling Wilburys"
"1989-01-01",62,"All She Wants Is","Judson Spence"
"1989-01-01",63,"Handle With Care","George Michael"
"1989-01-01",64,"Yeah, Yeah, Yeah","Alphaville"
"1989-01-01",65,"Kissing A Fool","Michelle Shocked"
"1989-01-01",66,"Forever Young","Tommy Conwell And The Young Rumblers"
"1989-01-01",67,"Anchorage","UB40"
"1989-01-01",68,"If We Never Meet Again","Vixen"
"1989-01-01",69,"Red Red Wine","Kon Kan"
"1989-01-01",70,"Edge Of A Broken Heart","The Georgia Satellites"
"1989-01-01",71,"I Beg Your Pardon","Bobby McFerrin"
"1989-01-01",72,"Hippy Hippy Shake (From ""Cocktail"")","Siouxsie & The Banshees"
"1989-01-01",73,"Don't Worry, Be Happy (From ""Cocktail"")","Tracie Spencer"
"1989-01-01",74,"Peek-A-Boo","Starship"
"1989-01-01",75,"Symptoms Of True Love","Randy Newman"
"1989-01-01",76,"Wild Again (From ""Cocktail"")","Sir Mix-A-Lot"
"1989-01-01",77,"It's Money That Matters","NEW"
"1989-01-01",78,"Posse On Broadway","NEW"
"1989-01-01",79,"The Living Years","Mike + The Mechanics"
"1989-01-01",80,"Doctorin' The Tardis","The Timelords"
"1989-01-01",81,"Another Lover","Giant Steps"
"1989-01-01",82,"Girls Ain't Nothing But Trouble","D.J. Jazzy Jeff & The Fresh Prince"
"1989-01-01",83,"Girl You Know It's True","NEW"
"1989-01-01",84,"More Than You Know","NEW"
"1989-01-01",85,"Forever Young","Milli Vanilli"
"1989-01-01",86,"Perfect","Martika"
"1989-01-01",87,"Killing Me Softly","Rod Stewart"
"1989-01-01",88,"Nobody's Perfect","Fairground Attraction"
"1989-01-01",89,"Domino Dancing","Al B. Sure!"
"1989-01-01",90,"Don't Be Cruel","Mike + The Mechanics"
"1989-01-01",91,"The Great Commandment","Pet Shop Boys"
"1989-01-01",92,"Roni","Bobby Brown"
"1989-01-01",93,"Boy, I've Been Told","Camouflage"
"1989-01-01",94,"Love Bites","NEW"
"1989-01-01",95,"Never Tear Us Apart","NEW"
"1989-01-01",96,"Way Cool Jr.","Bobby Brown"
"1989-01-01",97,"I Wanna Be Loved","SaFire"
"1989-01-01",98,"Dreamin'","Def Leppard"
"1989-01-01",99,"Till I Loved You","INXS"
"1989-01-01",100,"Is It Love","NEW"
"1989-01-08",1,"My Prerogative","Bobby Brown"
"1989-01-08",2,"Two Hearts","Phil Collins"
"1989-01-08",3,"Every Rose Has Its Thorn","Poison"
"1989-01-08",4,"Don't Rush Me","Taylor Dayne"
"1989-01-08",5,"Armageddon It","Def Leppard"
"1989-01-08",6,"In Your Room","The Bangles"
"1989-01-08",7,"Smooth Criminal","Michael Jackson"
"1989-01-08",8,"I Remember Holding You","Boys Club"
"1989-01-08",9,"Put A Little Love In Your Heart","Annie Lennox & Al Green"
"1989-01-08",10,"The Way You Love Me","Karyn White"
"1989-01-08",11,"Waiting For A Star To Fall","Boy Meets Girl"
"1989-01-08",12,"When I'm With You","Sheriff"
"1989-01-08",13,"Born To Be My Baby","Bon Jovi"
"1989-01-08",14,"When The Children Cry","White Lion"
"1989-01-08",15,"Silhouette","Kenny G"
"1989-01-08",16,"Giving You The Best That I Got","Anita Baker"
"1989-01-08",17,"All This Time","Tiffany"
"1989-01-08",18,"Look Away","Chicago"
"1989-01-08",19,"Holding On","Steve Winwood"
"1989-01-08",20,"Little Liar","Joan Jett & The Blackhearts"
"1989-01-08",21,"Straight Up","Paula Abdul"
"1989-01-08",22,"Wild Thing","Tone-Loc"
"1989-01-08",23,"I Wanna Have Some Fun","Samantha Fox"
"1989-01-08",24,"The Lover In Me","Sheena Easton"
"1989-01-08",25,"Welcome To The Jungle","Guns N' Roses"
"1989-01-08",26,"Wild World","Maxi Priest"
"1989-01-08",27,"Walk On Water","Eddie Money"
"1989-01-08",28,"Walking Away","Information Society"
"1989-01-08",29,"Baby, I Love Your Way/Freebird Medley","Will To Power"
"1989-01-08",30,"She Wants To Dance With Me","Rick Astley"
"1989-01-08",31,"Kiss","The Art Of Noise Featuring Tom Jones"
"1989-01-08",32,"What I Am","Edie Brickell & New Bohemians"
"1989-01-08",33,"Angel Of Harlem","Breathe"
"1989-01-08",34,"How Can I Fall?","The Boys"
"1989-01-08",35,"Dial My Heart","When In Rome"
"1989-01-08",36,"The Promise","New Kids On The Block"
"1989-01-08",37,"You Got It (The Right Stuff)","Robbie Nevil"
"1989-01-08",38,"Back On Holiday","Cheap Trick"
"1989-01-08",39,"Ghost Town","Duran Duran"
"1989-01-08",40,"I Don't Want Your Love","Van Halen"
"1989-01-08",41,"Finish What Ya Started","Erasure"
"1989-01-08",42,"A Little Respect","Cheryl Pepsii Riley"
"1989-01-08",43,"Thanks For My Child","Robert Palmer"
"1989-01-08",44,"Early In The Morning","The Escape Club"
