"date","rank","song","artist"
"1970-01-01",1,"Raindrops Keep Fallin' On My Head","B.J. Thomas"
"1970-01-01",2,"Leaving On A Jet Plane","Peter, Paul & Mary"
"1970-01-01",3,"Someday We'll Be Together","Diana Ross & The Supremes"
"1970-01-01",4,"Down On The Corner/Fortunate Son","Creedence Clearwater Revival"
"1970-01-01",5,"Na Na Hey Hey Kiss Him Goodbye","Steam"
"1970-01-01",6,"Whole Lotta Love","Led Zeppelin"
"1970-01-01",7,"I Want You Back","Jackson 5"
"1970-01-01",8,"Venus","The Shocking Blue"
"1970-01-01",9,"Holly Holy","Neil Diamond"
"1970-01-01",10,"La La La (If I Had You)","Bobby Sherman"
"1970-01-01",11,"Midnight Cowboy","Ferrante & Teicher"
"1970-01-01",12,"Come Together/Something","The Beatles"
"1970-01-01",13,"Jam Up Jelly Tight","Tommy Roe"
"1970-01-01",14,"Eli's Coming","Three Dog Night"
"1970-01-01",15,"Don't Cry Daddy/Rubberneckin'","Elvis Presley"
"1970-01-01",16,"Take A Letter Maria","R.B. Greaves"
"1970-01-01",17,"Jingle Jangle","The Archies"
"1970-01-01",18,"Early In The Morning","Vanity Fare"
"1970-01-01",19,"Backfield In Motion","Mel And Tim"
"1970-01-01",20,"And When I Die","Blood, Sweat & Tears"
"1970-01-01",21,"These Eyes","Jr. Walker & The All Stars"
"1970-01-01",22,"Evil Woman Don't Play Your Games With Me","CROW"
"1970-01-01",23,"Yester-Me, Yester-You, Yesterday","Stevie Wonder"
"1970-01-01",24,"Friendship Train","Gladys Knight And The Pips"
"1970-01-01",25,"Up On Cripple Creek","The Band"
"1970-01-01",26,"Smile A Little Smile For Me","The Flying Machine"
"1970-01-01",27,"A Brand New Me","Dusty Springfield"
"1970-01-01",28,"She","Tommy James And The Shondells"
"1970-01-01",29,"Without Love (There Is Nothing)","Tom Jones"
"1970-01-01",30,"Baby, I'm For Real","The Originals"
"1970-01-01",31,"Ain't It Funky Now (Part 1)","James Brown"
"1970-01-01",32,"Wedding Bell Blues","The 5th Dimension"
"1970-01-01",33,"Cold Turkey","Plastic Ono Band"
"1970-01-01",34,"Cherry Hill Park","Billy Joe Royal"
"1970-01-01",35,"Winter World Of Love","Engelbert Humperdinck"
"1970-01-01",36,"Heaven Knows","The Grass Roots"
"1970-01-01",37,"Wonderful World, Beautiful People","Jimmy Cliff"
"1970-01-01",38,"She Belongs To Me","Rick Nelson"
"1970-01-01",39,"Point It Out","Smokey Robinson & The Miracles"
"1970-01-01",40,"I'll Never Fall In Love Again","Dionne Warwick"
"1970-01-01",41,"Okie From Muskogee","Merle Haggard And The Strangers"
"1970-01-01",42,"Cupid","Johnny Nash"
"1970-01-01",43,"Arizona","Mark Lindsay"
"1970-01-01",44,"Fancy","Bobbie Gentry"
"1970-01-01",45,"Walkin' In The Rain","Jay & The Americans"
"1970-01-01",46,"She Came In Through The Bathroom Window","Joe Cocker"
"1970-01-01",47,"Don't Let Love Hang You Up","Jerry Butler"
"1970-01-01",48,"Don't Let Him Take Your Love From Me","Four Tops"
"1970-01-01",49,"Sunday Mornin'","Oliver"
"1970-01-01",50,"Let's Work Together (Part 1)","Wilbert Harrison"
"1970-01-01",51,"Baby Take Me In Your Arms","Jefferson"
"1970-01-01",52,"What You Gave Me","Marvin Gaye & Tammi Terrell"
"1970-01-01",53,"No Time","The Guess Who"
"1970-01-01",54,"Walk A Mile In My Shoes","NEW"
"1970-01-01",55,"When Julie Comes Around","NEW"
"1970-01-01",56,"Let A Man Come In And Do The Popcorn (Part Two)","Joe South and The Believers"
"1970-01-01",57,"Hey There Lonely Girl","The Cuff Links"
"1970-01-01",58,"Tonight I'll Say A Prayer","James Brown"
"1970-01-01",59,"Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star","Eddie Holman"
"1970-01-01",60,"I'll Hold Out My Hand","Eydie Gorme"
"1970-01-01",61,"One Tin Soldier","NEW"
"1970-01-01",62,"I'm So Glad I Fell For You","NEW"
"1970-01-01",63,"Kozmic Blues","Sly & The Family Stone"
"1970-01-01",64,"Monster","The Clique"
"1970-01-01",65,"You Got To Pay The Price","The Original Caste"
"1970-01-01",66,"Traces/Memories Medley","David Ruffin"
"1970-01-01",67,"Love Bones","Janis Joplin"
"1970-01-01",68,"She Lets Her Hair Down (Early In The Morning)","Steppenwolf"
"1970-01-01",69,"Turn! Turn! Turn!/To Everything There Is A Season","Gloria Taylor"
"1970-01-01",70,"Can't Take My Eyes Off You","The Lettermen"
