"date","rank","song","artist"
"1985-01-01",1,"Like A Virgin","Madonna"
"1985-01-01",2,"The Wild Boys","Duran Duran"
"1985-01-01",3,"Sea Of Love","The Honeydrippers"
"1985-01-01",4,"Cool It Now","New Edition"
"1985-01-01",5,"We Belong","Pat Benatar"
"1985-01-01",6,"All I Need","Jack Wagner"
"1985-01-01",7,"Out Of Touch","Daryl Hall John Oates"
"1985-01-01",8,"Run To You","Bryan Adams"
"1985-01-01",9,"You're The Inspiration","Chicago"
"1985-01-01",10,"Valotte","Julian Lennon"
"1985-01-01",11,"Born In The USA","Bruce Springsteen"
"1985-01-01",12,"I Feel For You","Chaka Khan"
"1985-01-01",13,"Do What You Do","Jermaine Jackson"
"1985-01-01",14,"I Want To Know What Love Is","Foreigner"
"1985-01-01",15,"No More Lonely Nights","Paul McCartney"
"1985-01-01",16,"Easy Lover","Philip Bailey With Phil Collins"
"1985-01-01",17,"Understanding","Bob Seger"
"1985-01-01",18,"Jamie","Ray Parker Jr."
"1985-01-01",19,"The Boys Of Summer","Don Henley"
"1985-01-01",20,"Do They Know It's Christmas?","Band Aid"
"1985-01-01",21,"All Through The Night","Cyndi Lauper"
"1985-01-01",22,"I Can't Hold Back","Survivor"
"1985-01-01",23,"Careless Whisper","Wham! Featuring George Michael"
"1985-01-01",24,"Centipede","Rebbie Jackson"
"1985-01-01",25,"I Would Die 4 U","Prince And The Revolution"
"1985-01-01",26,"Lover Boy","Billy Ocean"
"1985-01-01",27,"Wake Me Up Before You Go-Go","Wham!"
"1985-01-01",28,"Hello Again","The Cars"
"1985-01-01",29,"Bruce","Rick Springfield"
"1985-01-01",30,"Penny Lover","Lionel Richie"
"1985-01-01",31,"Love Light In Flight","Stevie Wonder"
"1985-01-01",32,"Neutron Dance","The Pointer Sisters"
"1985-01-01",33,"Tender Years","John Cafferty & The Beaver Brown Band"
"1985-01-01",34,"The Belle Of St. Mark","Sheila E."
"1985-01-01",35,"Method Of Modern Love","Daryl Hall John Oates"
"1985-01-01",36,"Solid","Ashford & Simpson"
"1985-01-01",37,"Foolish Heart","Steve Perry"
"1985-01-01",38,"Call To The Heart","Giuffria"
"1985-01-01",39,"Jungle Love","The Time"
"1985-01-01",40,"Misled","Kool & The Gang"
"1985-01-01",41,"In Neon","Elton John"
"1985-01-01",42,"Strut","Sheena Easton"
"1985-01-01",43,"Operator","Midnight Star"
"1985-01-01",44,"(Pride) In The Name Of Love","Culture Club"
"1985-01-01",45,"Mistake No. 3","General Public"
"1985-01-01",46,"Tenderness","Cyndi Lauper"
"1985-01-01",47,"Money Changes Everything","Glenn Frey"
"1985-01-01",48,"The Heat Is On","Sheena Easton"
"1985-01-01",49,"Sugar Walls","John Fogerty"
"1985-01-01",50,"The Old Man Down The Road","Toto"
