"date","rank","song","artist"
"2006-01-01",1,"Don't Forget About Us","Mariah Carey"
"2006-01-01",2,"Run It!","Chris Brown"
"2006-01-01",3,"Grillz","Nelly Featuring Paul Wall, Ali & Gipp"
"2006-01-01",4,"Laffy Taffy","D4L"
"2006-01-01",5,"Photograph","Nickelback"
"2006-01-01",6,"Stickwitu","The Pussycat Dolls"
"2006-01-01",7,"Check On It","Beyonce Featuring Slim Thug"
"2006-01-01",8,"Gold Digger","Kanye West Featuring Jamie Foxx"
"2006-01-01",9,"There It Go! (The Whistle Song)","Juelz Santana"
"2006-01-01",10,"My Humps","The Black Eyed Peas"
"2006-01-01",11,"Because Of You","Kelly Clarkson"
"2006-01-01",12,"Be Without You","Mary J. Blige"
"2006-01-01",13,"One Wish","Ray J"
"2006-01-01",14,"Soul Survivor","Young Jeezy Featuring Akon"
"2006-01-01",15,"Dance, Dance","Fall Out Boy"
"2006-01-01",16,"I Think They Like Me","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
"2006-01-01",17,"Sugar, We're Goin' Down","Fall Out Boy"
"2006-01-01",18,"Stay Fly","Three 6 Mafia Featuring Young Buck & Eightball & MJG"
"2006-01-01",19,"When I'm Gone","Eminem"
"2006-01-01",20,"I'm Sprung","T-Pain"
"2006-01-01",21,"Dirty Little Secret","The All-American Rejects"
"2006-01-01",22,"We Be Burnin'","Sean Paul"
"2006-01-01",23,"Hung Up","Madonna"
"2006-01-01",24,"You're Beautiful","James Blunt"
"2006-01-01",25,"So Sick","Ne-Yo"
"2006-01-01",26,"Unpredictable","Jamie Foxx Featuring Ludacris"
"2006-01-01",27,"Here We Go","Trina Featuring Kelly Rowland"
"2006-01-01",28,"Luxurious","Gwen Stefani"
"2006-01-01",29,"Beverly Hills","Weezer"
"2006-01-01",30,"You And Me","Lifehouse"
"2006-01-01",31,"Wake Me Up When September Ends","Green Day"
"2006-01-01",32,"Feel Good Inc","Gorillaz"
"2006-01-01",33,"Jesus, Take The Wheel","Carrie Underwood"
"2006-01-01",34,"Honky Tonk Badonkadonk","Trace Adkins"
"2006-01-01",35,"Heard 'Em Say","Kanye West Featuring Adam Levine"
"2006-01-01",36,"If It's Lovin' That You Want","Rihanna"
"2006-01-01",37,"Don't Cha","The Pussycat Dolls Featuring Busta Rhymes"
"2006-01-01",38,"Fireman","Lil Wayne"
"2006-01-01",39,"Kryptonite (I'm On It)","Purple Ribbon All-Stars"
"2006-01-01",40,"Unwritten","Natasha Bedingfield"
"2006-01-01",41,"Turn It Up","Chamillionaire Featuring Lil' Flip"
"2006-01-01",42,"Shake It Off","Mariah Carey"
"2006-01-01",43,"Georgia","Ludacris & Field Mob Featuring Jamie Foxx"
"2006-01-01",44,"We Belong Together","Mariah Carey"
"2006-01-01",45,"Must Be Doin' Somethin' Right","Billy Currington"
"2006-01-01",46,"Nasty Girl","The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm"
"2006-01-01",47,"I Should Have Cheated","Keyshia Cole"
"2006-01-01",48,"Better Days","Goo Goo Dolls"
"2006-01-01",49,"Come A Little Closer","Dierks Bentley"
"2006-01-01",50,"Tequila Makes Her Clothes Fall Off","Joe Nichols"
"2006-01-01",51,"Window Shopper","50 Cent"
"2006-01-01",52,"Girl Tonite","Twista Featuring Trey Songz"
"2006-01-01",53,"Everytime We Touch","Cascada"
"2006-01-01",54,"Shake That","Eminem Featuring Nate Dogg"
"2006-01-01",55,"Unbreakable","Alicia Keys"
"2006-01-01",56,"L.O.V.E.","Ashlee Simpson"
"2006-01-01",57,"Boondocks","Little Big Town"
"2006-01-01",58,"Like We Never Loved At All","Faith Hill"
"2006-01-01",59,"She Let Herself Go","George Strait"
"2006-01-01",60,"Hypnotize","System Of A Down"
"2006-01-01",61,"Pump It","The Black Eyed Peas"
"2006-01-01",62,"Perfect Situation","Weezer"
"2006-01-01",63,"Soul Meets Body","Death Cab For Cutie"
"2006-01-01",64,"Shake","Ying Yang Twins Featuring Pitbull"
"2006-01-01",65,"When I Get Where I'm Going","Brad Paisley Featuring Dolly Parton"
"2006-01-01",66,"Who You'd Be Today","Kenny Chesney"
"2006-01-01",67,"Touch It","Busta Rhymes"
"2006-01-01",68,"Fresh Azimiz","Bow Wow Featuring J-Kwon & Jermaine Dupri"
"2006-01-01",69,"Rodeo","Juvenile"
"2006-01-01",70,"Bat Country","Avenged Sevenfold"
"2006-01-01",71,"Yo (Excuse Me Miss)","Chris Brown"
"2006-01-01",72,"Rompe","Daddy Yankee"
"2006-01-01",73,"I'm N Luv (Wit A Stripper)","T-Pain Featuring Mike Jones"
"2006-01-01",74,"Twisted Transistor","Korn"
"2006-01-01",75,"Boyfriend","Ashlee Simpson"
"2006-01-01",76,"Have A Nice Day","Bon Jovi"
"2006-01-01",77,"Gotta Go","Trey Songz"
"2006-01-01",78,"DOA","Foo Fighters"
"2006-01-01",79,"Miss Me Baby","Chris Cagle"
"2006-01-01",80,"Don't Bother","Shakira"
"2006-01-01",81,"Better Life","Keith Urban"
"2006-01-01",82,"Save Me","Shinedown"
"2006-01-01",83,"Remedy","Seether"
"2006-01-01",84,"Good Ride Cowboy","Garth Brooks"
"2006-01-01",85,"Just Might (Make Me Believe)","Sugarland"
"2006-01-01",86,"Kerosene","Miranda Lambert"
"2006-01-01",87,"Looking For You","Kirk Franklin"
"2006-01-01",88,"More Than Words","Frankie J"
"2006-01-01",89,"Seasons Of Love","Cast Of Rent"
"2006-01-01",90,"Tonight I Wanna Cry","Keith Urban"
"2006-01-01",91,"Believe","Brooks & Dunn"
"2006-01-01",92,"Who I Am Hates Who I've Been","NEW"
"2006-01-01",93,"Presidential","NEW"
"2006-01-01",94,"Hit The Floor","Relient K"
"2006-01-01",95,"My Old Friend","YoungBloodZ"
"2006-01-01",96,"Rakata","Twista Featuring Pitbull"
"2006-01-01",97,"Dare","Tim McGraw"
"2006-01-01",98,"Skin (Sarabeth)","Wisin & Yandel"
"2006-01-01",99,"My Hood","NEW"
"2006-01-01",100,"Your Man","NEW"
"2006-01-08",1,"Laffy Taffy","D4L"
"2006-01-08",2,"Run It!","Chris Brown"
"2006-01-08",3,"Photograph","Nickelback"
"2006-01-08",4,"Gold Digger","Kanye West Featuring Jamie Foxx"
"2006-01-08",5,"Grillz","Nelly Featuring Paul Wall, Ali & Gipp"
"2006-01-08",6,"My Humps","The Black Eyed Peas"
"2006-01-08",7,"Don't Forget About Us","Mariah Carey"
"2006-01-08",8,"Stickwitu","The Pussycat Dolls"
"2006-01-08",9,"Dance, Dance","Fall Out Boy"
"2006-01-08",10,"Check On It","Beyonce Featuring Slim Thug"
"2006-01-08",11,"Dirty Little Secret","The All-American Rejects"
"2006-01-08",12,"There It Go! (The Whistle Song)","Juelz Santana"
"2006-01-08",13,"Sugar, We're Goin' Down","Fall Out Boy"
"2006-01-08",14,"Soul Survivor","Young Jeezy Featuring Akon"
"2006-01-08",15,"Beverly Hills","Weezer"
"2006-01-08",16,"Because Of You","Kelly Clarkson"
"2006-01-08",17,"When I'm Gone","Eminem"
