"date","rank","song","artist"
"2000-01-01",1,"Smooth","Santana Featuring Rob Thomas"
"2000-01-01",2,"Back At One","Brian McKnight"
"2000-01-01",3,"I Wanna Love You Forever","Jessica Simpson"
"2000-01-01",4,"My Love Is Your Love","Whitney Houston"
"2000-01-01",5,"I Knew I Loved You","Savage Garden"
"2000-01-01",6,"I Need To Know","Marc Anthony"
"2000-01-01",7,"Hot Boyz","Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip"
"2000-01-01",8,"U Know What's Up","Donell Jones"
"2000-01-01",9,"Bring It All To Me","Blaque"
"2000-01-01",10,"Girl On TV","LFO"
"2000-01-01",11,"What A Girl Wants","Christina Aguilera"
"2000-01-01",12,"24/7","Kevon Edmonds"
"2000-01-01",13,"Blue (Da Ba Dee)","Eiffel 65"
"2000-01-01",14,"Then The Morning Comes","Smash Mouth"
"2000-01-01",15,"He Can't Love U","Jagged Edge"
"2000-01-01",16,"Waiting For Tonight","Jennifer Lopez"
"2000-01-01",17,"That's The Way It Is","Celine Dion"
"2000-01-01",18,"The Christmas Song (Chestnuts Roasting On An Open Fire)","Christina Aguilera"
"2000-01-01",19,"Dancin'","Guy"
"2000-01-01",20,"Steal My Sunshine","Len"
"2000-01-01",21,"Get It On Tonite","Montell Jordan"
"2000-01-01",22,"Learn To Fly","Foo Fighters"
"2000-01-01",23,"Big Deal","LeAnn Rimes"
"2000-01-01",24,"Meet Virginia","Train"
"2000-01-01",25,"Unpretty","TLC"
"2000-01-01",26,"Breathe","Faith Hill"
"2000-01-01",27,"Back That Thang Up","Juvenile Featuring Mannie Fresh & Lil' Wayne"
"2000-01-01",28,"4, 5, 6","Sole Featuring JT Money & Kandi"
"2000-01-01",29,"Stay The Night","IMx"
"2000-01-01",30,"Don't Say You Love Me","M2M"
"2000-01-01",31,"Where My Girls At?","Lou Bega"
"2000-01-01",32,"Mambo No. 5 (A Little Bit Of...)","Counting Crows"
"2000-01-01",33,"Hanginaround","Filter"
"2000-01-01",34,"Take A Picture","Ideal"
"2000-01-01",35,"Get Gone","Sugar Ray"
"2000-01-01",36,"Someday","Brad Paisley"
"2000-01-01",37,"He Didn't Have To Be","Ol' Dirty Bastard Featuring Kelis"
"2000-01-01",38,"Got Your Money","Ricky Martin"
"2000-01-01",39,"Shake Your Bon-Bon","Mint Condition"
"2000-01-01",40,"If You Love Me","Goo Goo Dolls"
"2000-01-01",41,"Black Balloon","Enrique Iglesias"
"2000-01-01",42,"Rhythm Divine","Mariah Carey Featuring Joe & 98 Degrees"
"2000-01-01",43,"Thank God I Found You","Puff Daddy Featuring R. Kelly"
"2000-01-01",44,"Satisfy You","Lonestar"
"2000-01-01",45,"Amazed","Reba"
"2000-01-01",46,"What Do You Say","Ice Cube Featuring Mack 10 & Ms. Toi"
"2000-01-01",47,"You Can Do It","Dixie Chicks"
"2000-01-01",48,"Cowboy Take Me Away","Clint Black"
"2000-01-01",49,"When I Said I Do","Tim McGraw"
"2000-01-01",50,"My Best Friend","Sisqo Featuring Make It Hot"
"2000-01-01",51,"Got To Get It","blink-182"
"2000-01-01",52,"All The Small Things","NEW"
"2000-01-01",53,"This Gift","NEW"
"2000-01-01",54,"Auld Lang Syne","98 Degrees"
"2000-01-01",55,"Angels","Kenny G"
"2000-01-01",56,"Say My Name","Robbie Williams"
"2000-01-01",57,"Pop A Top","Destiny's Child"
"2000-01-01",58,"Caught Out There","Alan Jackson"
"2000-01-01",59,"15 Minutes","Kelis"
"2000-01-01",60,"Heartbreaker","Marc Nelson"
"2000-01-01",61,"Higher","Mariah Carey Featuring Jay-Z"
"2000-01-01",62,"Bling Bling","Creed"
"2000-01-01",63,"Will 2K","B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne"
"2000-01-01",64,"Deep Inside","Will Smith Featuring K-Ci"
"2000-01-01",65,"All Things Considered","Mary J. Blige"
"2000-01-01",66,"I Love You","Yankee Grey"
"2000-01-01",67,"Sexual (Li Da Di)","Martina McBride"
"2000-01-01",68,"None Of Ur Friends Business","Amber"
"2000-01-01",69,"Deck The Halls","Ginuwine"
"2000-01-01",70,"Left & Right","SHeDAISY"
"2000-01-01",71,"Smile","D'Angelo Featuring Method Man And Redman"
"2000-01-01",72,"The Great Beyond","Lonestar"
"2000-01-01",73,"Bug A Boo","R.E.M."
"2000-01-01",74,"Show Me The Meaning Of Being Lonely","Destiny's Child"
"2000-01-01",75,"We Can't Be Friends","NEW"
"2000-01-01",76,"(You Drive Me) Crazy","NEW"
"2000-01-01",77,"One Night Stand","Backstreet Boys"
"2000-01-01",78,"N 2 Gether Now","Deborah Cox With R.L."
"2000-01-01",79,"No More Rain (In This Cloud)","Britney Spears"
"2000-01-01",80,"Home To You","J-Shin Featuring LaTocha Scott"
"2000-01-01",81,"The Chemicals Between Us","Limp Bizkit Featuring Method Man"
"2000-01-01",82,"Tha Block Is Hot","Angie Stone"
"2000-01-01",83,"Guerrilla Radio","John Michael Montgomery"
"2000-01-01",84,"Live, Laugh, Love","Bush"
"2000-01-01",85,"Notorious B.I.G.","Lil' Wayne Featuring Juvenile & B.G."
