"date","rank","song","artist"
"1961-01-01",1,"Are You Lonesome To-night?","Elvis Presley With The Jordanaires"
"1961-01-01",2,"Wonderland By Night","Bert Kaempfert And His Orchestra"
"1961-01-01",3,"Last Date","Floyd Cramer"
"1961-01-01",4,"Exodus","Ferrante & Teicher"
"1961-01-01",5,"A Thousand Stars","Kathy Young With The Innocents"
"1961-01-01",6,"North To Alaska","Johnny Horton"
"1961-01-01",7,"Many Tears Ago","Connie Francis"
"1961-01-01",8,"You're Sixteen","Johnny Burnette"
"1961-01-01",9,"Angel Baby","Rosie And The Originals"
"1961-01-01",10,"Corinna, Corinna","Ray Peterson"
"1961-01-01",11,"Rubber Ball","Bobby Vee"
"1961-01-01",12,"Sailor (Your Home Is The Sea)","Lolita"
"1961-01-01",13,"He Will Break Your Heart","Jerry Butler"
"1961-01-01",14,"Will You Love Me Tomorrow","The Shirelles"
"1961-01-01",15,"Lonely Teenager","Dion"
"1961-01-01",16,"Wonderland By Night","Louis Prima"
"1961-01-01",17,"Perfidia","The Ventures"
"1961-01-01",18,"Rockin' Around The Christmas Tree","Brenda Lee"
"1961-01-01",19,"Wonderland By Night","Anita Bryant"
"1961-01-01",20,"Sway","Bobby Rydell"
"1961-01-01",21,"Poetry In Motion","Johnny Tillotson"
"1961-01-01",22,"Calcutta","Lawrence Welk And His Orchestra"
"1961-01-01",23,"Wings Of A Dove","Ferlin Husky"
"1961-01-01",24,"New Orleans","U.S. Bonds"
"1961-01-01",25,"My Girl Josephine","Fats Domino"
"1961-01-01",26,"Blue Tango","Bill Black's Combo"
"1961-01-01",27,"Baby Oh Baby","The Shells"
"1961-01-01",28,"Ruby","Ray Charles"
"1961-01-01",29,"The Little Drummer Boy","The Harry Simeone Chorale"
"1961-01-01",30,"Fools Rush In (Where Angels Fear To Tread)","Brook Benton"
"1961-01-01",31,"Alone At Last","Jackie Wilson"
"1961-01-01",32,"Shop Around","The Miracles (featuring Bill ""Smokey"" Robinson)"
"1961-01-01",33,"I Gotta Know","Elvis Presley With The Jordanaires"
"1961-01-01",34,"Doll House","Donnie Brooks"
"1961-01-01",35,"Stay","Maurice Williams & The Zodiacs"
"1961-01-01",36,"Sad Mood","Sam Cooke"
"1961-01-01",37,"I Count The Tears","The Drifters"
"1961-01-01",38,"Calendar Girl","Neil Sedaka"
"1961-01-01",39,"Ballad Of The Alamo","Marty Robbins"
"1961-01-01",40,"I'm Hurtin'","Roy Orbison"
"1961-01-01",41,"I'll Save The Last Dance For You","Damita Jo"
"1961-01-01",42,"You Are The Only One","Ricky Nelson"
"1961-01-01",43,"Gonzo","James Booker"
"1961-01-01",44,"Gee Whiz","The Innocents"
"1961-01-01",45,"The Hucklebuck","Chubby Checker"
"1961-01-01",46,"Bumble Bee","LaVern Baker"
"1961-01-01",47,"Dance By The Light Of The Moon","The Olympics"
"1961-01-01",48,"Am I Losing You","Jim Reeves"
"1961-01-01",49,"Twistin' Bells","Santo & Johnny"
"1961-01-01",50,"Once In Awhile","The Chimes"
"1961-01-01",51,"Christmas Auld Lang Syne","Bobby Darin"
"1961-01-01",52,"Let's Go, Let's Go, Let's Go","Hank Ballard And The Midnighters"
"1961-01-01",53,"Like Strangers","The Everly Brothers"
"1961-01-01",54,"A Perfect Love","Frankie Avalon"
"1961-01-01",55,"Last Date","Lawrence Welk And His Orchestra"
"1961-01-01",56,"The Puppet Song","Frankie Avalon"
"1961-01-01",57,"My Last Date (With You)","Skeeter Davis"
"1961-01-01",58,"The Magnificent Seven","Al Caiola And His Orchestra"
"1961-01-01",59,"Main Theme from Exodus (Ari's Theme)","Mantovani & His Orch."
"1961-01-01",60,"Lovey Dovey","Buddy Knox"
"1961-01-01",61,"There She Goes","Jerry Wallace"
"1961-01-01",62,"The Hoochi Coochi Coo","Hank Ballard And The Midnighters"
"1961-01-01",63,"Your Other Love","The Flamingos"
"1961-01-01",64,"How To Handle A Woman","Johnny Mathis"
"1961-01-01",65,"Ol' Mac Donald","Frank Sinatra"
"1961-01-01",66,"(Let's Do) The Hully Gully Twist","Bill Doggett"
"1961-01-01",67,"Save The Last Dance For Me","The Drifters"
"1961-01-01",68,"You Don't Want My Love","Andy Williams"
"1961-01-01",69,"My Last Date (With You)","Joni James"
"1961-01-01",70,"Cherry Pink And Apple Blossom White","Jerry Murad's Harmonicats"
"1961-01-01",71,"Happy Days","Marv Johnson"
"1961-01-01",72,"C'est Si Bon (It's So Good)","NEW"
"1961-01-01",73,"Walk Slow","NEW"
"1961-01-01",74,"Pepe","Conway Twitty"
"1961-01-01",75,"Mister Livingston","Little Willie John"
"1961-01-01",76,"We Have Love","Duane Eddy His Twangy Guitar And The Rebels"
"1961-01-01",77,"Angel On My Shoulder","Larry Verne"
"1961-01-01",78,"Spoonful","Dinah Washington"
"1961-01-01",79,"Utopia","Shelby Flint"
"1961-01-01",80,"Make Someone Happy","Etta & Harvey"
"1961-01-01",81,"Milk Cow Blues","Frank Gari"
"1961-01-01",82,"I Idolize You","Perry Como"
"1961-01-01",83,"Emotions","NEW"
"1961-01-01",84,"What Would I Do","NEW"
"1961-01-01",85,"Yes, I'm Lonesome Tonight","Ricky Nelson"
"1961-01-01",86,"Spanish Harlem","Ike & Tina Turner"
"1961-01-01",87,"Oh, How I Miss You Tonight","NEW"
"1961-01-01",88,"There's A Moon Out Tonight","NEW"
"1961-01-01",89,"Wabash Blues","Brenda Lee"
"1961-01-01",90,"First Taste Of Love","NEW"
"1961-01-01",91,"If I Knew","NEW"
"1961-01-01",92,"All In My Mind","Mickey & Sylvia"
"1961-01-01",93,"Talk To Me Baby","NEW"
"1961-01-01",94,"Don't Believe Him, Donna","NEW"
"1961-01-01",95,"Don't Read The Letter","Thelma Carpenter"
"1961-01-01",96,"I Don't Want Nobody (To Have My Love But You)","NEW"
"1961-01-01",97,"Oh Lonesome Me","NEW"
"1961-01-01",98,"Yes, I'm Lonesome Tonight","Ben E. King"
"1961-01-01",99,"Sugar Bee","Jeanne Black"
"1961-01-01",100,"This Is My Story","NEW"
"1961-01-08",1,"Wonderland By Night","Bert Kaempfert And His Orchestra"
"1961-01-08",2,"Are You Lonesome To-night?","Elvis Presley With The Jordanaires"
"1961-01-08",3,"Exodus","Ferrante & Teicher"
"1961-01-08",4,"Last Date","Floyd Cramer"
"1961-01-08",5,"Will You Love Me Tomorrow","The Shirelles"
"1961-01-08",6,"Rubber Ball","Bobby Vee"
"1961-01-08",7,"Angel Baby","Rosie And The Originals"
"1961-01-08",8,"North To Alaska","Johnny Horton"
"1961-01-08",9,"Corinna, Corinna","Ray Peterson"
"1961-01-08",10,"You're Sixteen","Johnny Burnette"
"1961-01-08",11,"A Thousand Stars","Kathy Young With The Innocents"
"1961-01-08",12,"Many Tears Ago","Connie Francis"
"1961-01-08",13,"Calcutta","Lawrence Welk And His Orchestra"
"1961-01-08",14,"He Will Break Your Heart","Jerry Butler"
"1961-01-08",15,"Wonderland By Night","Louis Prima"
"1961-01-08",16,"Sailor (Your Home Is The Sea)","Lolita"
"1961-01-08",17,"Lonely Teenager","Dion"
"1961-01-08",18,"Wonderland By Night","Anita Bryant"
"1961-01-08",19,"Shop Around","The Miracles (featuring Bill ""Smokey"" Robinson)"
"1961-01-08",20,"Wings Of A Dove","Ferlin Husky"
"1961-01-08",21,"Blue Tango","Bill Black's Combo"
"1961-01-08",22,"Baby Oh Baby","The Shells"
"1961-01-08",23,"Calendar Girl","Neil Sedaka"
"1961-01-08",24,"Perfidia","The Ventures"
"1961-01-08",25,"You Are The Only One","Ricky Nelson"
"1961-01-08",26,"Sway","Bobby Rydell"
"1961-01-08",27,"I'm Hurtin'","Roy Orbison"
"1961-01-08",28,"Ruby","Ray Charles"
"1961-01-08",29,"My Girl Josephine","Fats Domino"
"1961-01-08",30,"I Count The Tears","The Drifters"
"1961-01-08",31,"Poetry In Motion","Johnny Tillotson"
"1961-01-08",32,"I Gotta Know","Elvis Presley With The Jordanaires"
"1961-01-08",33,"New Orleans","U.S. Bonds"
"1961-01-08",34,"Gee Whiz","The Innocents"
"1961-01-08",35,"Stay","Maurice Williams & The Zodiacs"
"1961-01-08",36,"Lovey Dovey","Buddy Knox"
"1961-01-08",37,"Doll House","Donnie Brooks"
"1961-01-08",38,"Sad Mood","Sam Cooke"
"1961-01-08",39,"Alone At Last","Jackie Wilson"
"1961-01-08",40,"There She Goes","Jerry Wallace"
