"date","rank","song","artist"
"2024-01-01",1,"Rockin' Around The Christmas Tree","Brenda Lee"
"2024-01-01",2,"All I Want For Christmas Is You","Mariah Carey"
"2024-01-01",3,"Jingle Bell Rock","Bobby Helms"
"2024-01-01",4,"Last Christmas","Wham!"
"2024-01-01",5,"A Holly Jolly Christmas","Burl Ives"
"2024-01-01",6,"It's The Most Wonderful Time Of The Year","Andy Williams"
"2024-01-01",7,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin"
"2024-01-01",8,"Feliz Navidad","Jose Feliciano"
"2024-01-01",9,"Lovin On Me","Jack Harlow"
"2024-01-01",10,"Sleigh Ride","The Ronettes"
"2024-01-01",11,"Santa Tell Me","Ariana Grande"
"2024-01-01",12,"The Christmas Song (Merry Christmas To You)","Nat ""King"" Cole"
"2024-01-01",13,"Underneath The Tree","Kelly Clarkson"
"2024-01-01",14,"White Christmas (1947)","Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra"
"2024-01-01",15,"Christmas (Baby Please Come Home)","Darlene Love"
"2024-01-01",16,"Jingle Bells","Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins"
"2024-01-01",17,"Deck The Halls","Nat King Cole"
"2024-01-01",18,"Blue Christmas","Elvis Presley"
"2024-01-01",19,"Cruel Summer","Taylor Swift"
"2024-01-01",20,"Santa Baby","Eartha Kitt With Henri Rene And His Orchestra"
"2024-01-01",21,"Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry"
"2024-01-01",22,"Run Rudolph Run","Chuck Berry"
"2024-01-01",23,"It's Beginning To Look A Lot Like Christmas","Michael Buble"
"2024-01-01",24,"Greedy","Tate McRae"
"2024-01-01",25,"Little Saint Nick","The Beach Boys"
"2024-01-01",26,"Wonderful Christmastime","Paul McCartney"
"2024-01-01",27,"It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra"
"2024-01-01",28,"Please Come Home For Christmas","Eagles"
"2024-01-01",29,"Paint The Town Red","Doja Cat"
"2024-01-01",30,"Santa Claus Is Comin' To Town","Jackson 5"
"2024-01-01",31,"I Remember Everything","Zach Bryan Featuring Kacey Musgraves"
"2024-01-01",32,"Water","Tyla"
"2024-01-01",33,"You're A Mean One, Mr. Grinch","Thurl Ravenscroft"
"2024-01-01",34,"This Christmas","Donny Hathaway"
"2024-01-01",35,"Agora Hills","Doja Cat"
"2024-01-01",36,"Last Night","Morgan Wallen"
"2024-01-01",37,"Mistletoe","RE- ENTRY"
"2024-01-01",38,"Happy Holiday / The Holiday Season","RE- ENTRY"
"2024-01-01",39,"Christmastime Is Here","Justin Bieber"
"2024-01-01",40,"Like It's Christmas","Andy Williams"
"2024-01-01",41,"Have Yourself A Merry Little Christmas","RE- ENTRY"
"2024-01-01",42,"Happy Xmas (War Is Over)","RE- ENTRY"
"2024-01-01",43,"I Saw Mommy Kissing Santa Claus","Vince Guaraldi Trio"
"2024-01-01",44,"Thinkin' Bout Me","Jonas Brothers"
"2024-01-01",45,"Rudolph The Red-Nosed Reindeer","RE- ENTRY"
"2024-01-01",46,"Merry Christmas","RE- ENTRY"
"2024-01-01",47,"Fast Car","Michael Buble"
"2024-01-01",48,"Lose Control","John & Yoko/The Plastic Ono Band With The Harlem Community Choir"
"2024-01-01",49,"Is It Over Now? (Taylor's Version) [From The Vault]","NEW"
"2024-01-01",50,"(There's No Place Like) Home For The Holidays (1954)","NEW"
"2024-01-01",51,"Lil Boo Thang","Jackson 5"
"2024-01-01",52,"Rich Baby Daddy","Morgan Wallen"
"2024-01-01",53,"FTCU","Gene Autry & The Pinafores"
"2024-01-01",54,"Stick Season","RE- ENTRY"
"2024-01-01",55,"Everybody","RE- ENTRY"
"2024-01-01",56,"White Horse","Ed Sheeran & Elton John"
"2024-01-01",57,"First Person Shooter","Luke Combs"
"2024-01-01",58,"Used To Be Young","Teddy Swims"
"2024-01-01",59,"Houdini","Taylor Swift"
"2024-01-01",60,"Good Good","NEW"
"2024-01-01",61,"World On Fire","NEW"
"2024-01-01",62,"La Diabla","Perry Como With Mitchell Ayers And His Orchestra"
"2024-01-01",63,"Pretty Little Poison","Paul Russell"
"2024-01-01",64,"On My Mama","Drake Featuring Sexyy Red & SZA"
"2024-01-01",65,"My Love Mine All Mine","Nicki Minaj"
"2024-01-01",66,"Exes","Noah Kahan"
"2024-01-01",67,"Surround Sound","Nicki Minaj Featuring Lil Uzi Vert"
"2024-01-01",68,"Monaco","Chris Stapleton"
"2024-01-01",69,"Strangers","Drake Featuring J. Cole"
"2024-01-01",70,"You Broke My Heart","Miley Cyrus"
"2024-01-01",71,"Get Him Back!","Dua Lipa"
"2024-01-01",72,"IDGAF","Usher, Summer Walker & 21 Savage"
"2024-01-01",73,"Harley Quinn","Nate Smith"
"2024-01-01",74,"Wild Ones","Xavi"
"2024-01-01",75,"Bellakeo","Warren Zeiders"
"2024-01-01",76,"Truck Bed","Victoria Monet"
"2024-01-01",77,"Save Me The Trouble","Mitski"
"2024-01-01",78,"Jingle Bells","Tate McRae"
"2024-01-01",79,"La Victima","JID Featuring 21 Savage & Baby Tate"
"2024-01-01",80,"Where The Wild Things Are","Bad Bunny"
"2024-01-01",81,"Qlona","Kenya Grace"
"2024-01-01",82,"You're Losing Me (From The Vault)","Drake"
"2024-01-01",83,"500lbs","Olivia Rodrigo"
"2024-01-01",84,"The Painter","Drake Featuring Yeat"
"2024-01-01",85,"Never Lose Me","Fuerza Regida & Marshmello"
"2024-01-01",86,"Burn It Down","Jessie Murph & Jelly Roll"
"2024-01-01",87,"Winter Wonderland","Peso Pluma & Anitta"
"2024-01-01",88,"Segun Quien","HARDY"
