"date","rank","song","artist"
"2014-01-01",1,"The Monster","Eminem Featuring Rihanna"
"2014-01-01",2,"Timber","Pitbull Featuring Ke$ha"
"2014-01-01",3,"Counting Stars","OneRepublic"
"2014-01-01",4,"Say Something","A Great Big World & Christina Aguilera"
"2014-01-01",5,"Royals","Lorde"
"2014-01-01",6,"Demons","Imagine Dragons"
"2014-01-01",7,"Let Her Go","Passenger"
"2014-01-01",8,"Wake Me Up!","Avicii"
"2014-01-01",9,"Wrecking Ball","Miley Cyrus"
"2014-01-01",10,"Story Of My Life","One Direction"
"2014-01-01",11,"Roar","Katy Perry"
"2014-01-01",12,"Drunk In Love","NEW"
"2014-01-01",13,"Hold On, We're Going Home","NEW"
"2014-01-01",14,"Dark Horse","Beyonce Featuring Jay Z"
"2014-01-01",15,"Burn","Drake Featuring Majid Jordan"
"2014-01-01",16,"Do What U Want","Katy Perry Featuring Juicy J"
"2014-01-01",17,"Sweater Weather","Ellie Goulding"
"2014-01-01",18,"Team","Lady Gaga Featuring R. Kelly"
"2014-01-01",19,"White Walls","The Neighbourhood"
"2014-01-01",20,"23","Lorde"
"2014-01-01",21,"Pompeii","Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis"
"2014-01-01",22,"Stay The Night","Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
"2014-01-01",23,"Unconditionally","Bastille"
"2014-01-01",24,"My Hitta","Zedd Featuring Hayley Williams"
"2014-01-01",25,"Applause","Katy Perry"
"2014-01-01",26,"All I Want For Christmas Is You","YG Featuring Jeezy & Rich Homie Quan"
"2014-01-01",27,"Blurred Lines","Lady Gaga"
"2014-01-01",28,"Holy Grail","Mariah Carey"
"2014-01-01",29,"Show Me","Robin Thicke Featuring T.I. + Pharrell"
"2014-01-01",30,"Stay","Jay Z Featuring Justin Timberlake"
"2014-01-01",31,"Radioactive","Kid Ink Featuring Chris Brown"
"2014-01-01",32,"Love More","Florida Georgia Line"
"2014-01-01",33,"Gas Pedal","Imagine Dragons"
"2014-01-01",34,"Drink A Beer","Chris Brown Featuring Nicki Minaj"
"2014-01-01",35,"Brave","Sage The Gemini Featuring IamSu!"
"2014-01-01",36,"It Won't Stop","Luke Bryan"
"2014-01-01",37,"All Me","Sara Bareilles"
"2014-01-01",38,"Rap God","Sevyn Streeter Featuring Chris Brown"
"2014-01-01",39,"Sail","Drake Featuring 2 Chainz & Big Sean"
"2014-01-01",40,"Whatever She's Got","Eminem"
"2014-01-01",41,"Marry Me","AWOLNATION"
"2014-01-01",42,"Safe And Sound","David Nail"
"2014-01-01",43,"Drunk Last Night","Jason Derulo"
"2014-01-01",44,"Best Day Of My Life","Capital Cities"
"2014-01-01",45,"The Christmas Song (Merry Christmas To You)","Eli Young Band"
"2014-01-01",46,"Wasting All These Tears","American Authors"
"2014-01-01",47,"Carolina","RE- ENTRY"
"2014-01-01",48,"Who You Love","RE- ENTRY"
"2014-01-01",49,"Replay","Nat ""King"" Cole"
"2014-01-01",50,"Rockin' Around The Christmas Tree","Cassadee Pope"
"2014-01-01",51,"I Have Nothing","Parmalee"
