"date","rank","song","artist"
"2016-01-01",1,"Hello","Adele"
"2016-01-01",2,"Sorry","Justin Bieber"
"2016-01-01",3,"Hotline Bling","Drake"
"2016-01-01",4,"Love Yourself","Justin Bieber"
"2016-01-01",5,"What Do You Mean?","Justin Bieber"
"2016-01-01",6,"Same Old Love","Selena Gomez"
"2016-01-01",7,"The Hills","The Weeknd"
"2016-01-01",8,"Here","Alessia Cara"
"2016-01-01",9,"Stitches","Shawn Mendes"
"2016-01-01",10,"Like I'm Gonna Lose You","Meghan Trainor Featuring John Legend"
"2016-01-01",11,"679","Fetty Wap Featuring Remy Boyz"
"2016-01-01",12,"In The Night","The Weeknd"
"2016-01-01",13,"Jumpman","Drake & Future"
"2016-01-01",14,"On My Mind","Ellie Goulding"
"2016-01-01",15,"Can't Feel My Face","The Weeknd"
"2016-01-01",16,"Antidote","Travis Scott"
"2016-01-01",17,"Ex's & Oh's","Elle King"
"2016-01-01",18,"All I Want For Christmas Is You","Mariah Carey"
"2016-01-01",19,"Stressed Out","Twenty One Pilots"
"2016-01-01",20,"Don't","Bryson Tiller"
"2016-01-01",21,"Die A Happy Man","Thomas Rhett"
"2016-01-01",22,"White Iverson","Post Malone"
"2016-01-01",23,"Wildest Dreams","Taylor Swift"
"2016-01-01",24,"Mary Did You Know","NEW"
"2016-01-01",25,"Lean On","NEW"
"2016-01-01",26,"Roses","Jordan Smith"
"2016-01-01",27,"Watch Me","Major Lazer X DJ Snake Featuring MO"
"2016-01-01",28,"Say It","The Chainsmokers Featuring Rozes"
"2016-01-01",29,"Burning House","Silento"
"2016-01-01",30,"Confident","Tory Lanez"
"2016-01-01",31,"Trap Queen","Cam"
"2016-01-01",32,"Perfect","Demi Lovato"
"2016-01-01",33,"Focus","Fetty Wap"
"2016-01-01",34,"Break Up In A Small Town","One Direction"
"2016-01-01",35,"Where Ya At","Ariana Grande"
"2016-01-01",36,"No Role Modelz","Sam Hunt"
"2016-01-01",37,"Locked Away","Future Featuring Drake"
"2016-01-01",38,"Rockin' Around The Christmas Tree","J. Cole"
"2016-01-01",39,"Where Are U Now","R. City Featuring Adam Levine"
"2016-01-01",40,"Me, Myself & I","Brenda Lee"
"2016-01-01",41,"Hide Away","Skrillex & Diplo With Justin Bieber"
"2016-01-01",42,"See You Again","G-Eazy x Bebe Rexha"
"2016-01-01",43,"Good For You","Daya"
"2016-01-01",44,"Adventure Of A Lifetime","Wiz Khalifa Featuring Charlie Puth"
"2016-01-01",45,"Again","Selena Gomez Featuring A$AP Rocky"
"2016-01-01",46,"I Know What You Did Last Summer","Coldplay"
"2016-01-01",47,"Cake By The Ocean","Fetty Wap"
"2016-01-01",48,"Exchange","Shawn Mendes & Camila Cabello"
"2016-01-01",49,"Cheerleader","DNCE"
"2016-01-01",50,"Drag Me Down","Bryson Tiller"
"2016-01-01",51,"My House","OMI"
"2016-01-01",52,"Hit The Quan","One Direction"
"2016-01-01",53,"Back Up","Flo Rida"
"2016-01-01",54,"WTF (Where They From)","iLoveMemphis"
"2016-01-01",55,"When We Were Young","DeJ Loaf Featuring Big Sean"
"2016-01-01",56,"Burning House","Missy Elliott Featuring Pharrell Williams"
"2016-01-01",57,"Down In The DM","Adele"
"2016-01-01",58,"Stay A Little Longer","NEW"
"2016-01-01",59,"I'll Show You","NEW"
"2016-01-01",60,"One Call Away","Emily Ann Roberts"
"2016-01-01",61,"Home Alone Tonight","Yo Gotti Featuring Nicki Minaj"
"2016-01-01",62,"Hands To Myself","Brothers Osborne"
"2016-01-01",63,"Gonna","Justin Bieber"
"2016-01-01",64,"Back To Sleep","Charlie Puth"
"2016-01-01",65,"The Fix","Luke Bryan Featuring Karen Fairchild"
"2016-01-01",66,"Gonna Know We Were Here","Selena Gomez"
"2016-01-01",67,"Used To Love You","Blake Shelton"
"2016-01-01",68,"Do It Like Me","NEW"
"2016-01-01",69,"You Should Be Here","NEW"
"2016-01-01",70,"Big Rings","Chris Brown"
"2016-01-01",71,"I Got The Boy","Nelly Featuring Jeremih"
"2016-01-01",72,"Climb Every Mountain","Jason Aldean"
"2016-01-01",73,"I Love This Life","Gwen Stefani"
"2016-01-01",74,"Back To Back","DLOW"
"2016-01-01",75,"Lay It All On Me","NEW"
