"date","rank","song","artist"
"1986-01-01",1,"Say You, Say Me","Lionel Richie"
"1986-01-01",2,"Party All The Time","Eddie Murphy"
"1986-01-01",3,"Alive & Kicking","Simple Minds"
"1986-01-01",4,"That's What Friends Are For","Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder"
"1986-01-01",5,"I Miss You","Klymaxx"
"1986-01-01",6,"Small Town","John Mellencamp"
"1986-01-01",7,"Broken Wings","Mr. Mister"
"1986-01-01",8,"Separate Lives","Phil Collins and Marilyn Martin"
"1986-01-01",9,"Tonight She Comes","The Cars"
"1986-01-01",10,"Election Day","Arcadia"
"1986-01-01",11,"Talk To Me","Stevie Nicks"
"1986-01-01",12,"Sleeping Bag","ZZ Top"
"1986-01-01",13,"Walk Of Life","Dire Straits"
"1986-01-01",14,"Perfect Way","Scritti Politti"
"1986-01-01",15,"Burning Heart","Survivor"
"1986-01-01",16,"My Hometown","Bruce Springsteen"
"1986-01-01",17,"Love Is The Seventh Wave","Sting"
"1986-01-01",18,"Emergency","Kool & The Gang"
"1986-01-01",19,"It's Only Love","Bryan Adams/Tina Turner"
"1986-01-01",20,"I'm Your Man","Wham!"
"1986-01-01",21,"Conga","Miami Sound Machine"
"1986-01-01",22,"Go Home","Stevie Wonder"
"1986-01-01",23,"You're A Friend Of Mine","Clarence Clemons & Jackson Browne"
"1986-01-01",24,"Spies Like Us","Paul McCartney"
"1986-01-01",25,"Never","Heart"
"1986-01-01",26,"We Built This City","Starship"
"1986-01-01",27,"Goodbye","Night Ranger"
"1986-01-01",28,"Everybody Dance","Ta Mara & The Seen"
"1986-01-01",29,"Object Of My Desire","Starpoint"
"1986-01-01",30,"Sidewalk Talk","Jellybean Featuring Catherine Buchanan"
"1986-01-01",31,"When The Going Gets Tough, The Tough Get Going","Billy Ocean"
"1986-01-01",32,"Sex As A Weapon","Pat Benatar"
"1986-01-01",33,"Face The Face","Pete Townshend"
"1986-01-01",34,"Who's Zoomin' Who","Aretha Franklin"
"1986-01-01",35,"Wrap Her Up","Elton John"
"1986-01-01",36,"How Will I Know","Whitney Houston"
"1986-01-01",37,"A Love Bizarre","Sheila E."
"1986-01-01",38,"The Sweetest Taboo","Sade"
"1986-01-01",39,"Everything In My Heart","Corey Hart"
"1986-01-01",40,"Lay Your Hands On Me","Thompson Twins"
"1986-01-01",41,"Sun City","Artists United Against Apartheid"
"1986-01-01",42,"Sisters Are Doin' It For Themselves","Eurythmics & Aretha Franklin"
"1986-01-01",43,"The Sun Always Shines on T.V.","a-ha"
"1986-01-01",44,"Living In America","James Brown"
"1986-01-01",45,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")","Baltimora"
"1986-01-01",46,"Life In A Northern Town","The Dream Academy"
"1986-01-01",47,"You Belong To The City","Glenn Frey"
"1986-01-01",48,"The Big Money","Rush"
"1986-01-01",49,"Do It For Love","Sheena Easton"
"1986-01-01",50,"Kyrie","Mr. Mister"
"1986-01-01",51,"To Live And Die In L.A.","Wang Chung"
"1986-01-01",52,"Silent Running (On Dangerous Ground)","Mike + The Mechanics"
"1986-01-01",53,"Go","Asia"
"1986-01-01",54,"Digital Display","Ready For The World"
"1986-01-01",55,"Count Me Out","New Edition"
"1986-01-01",56,"Leader Of The Pack","Twisted Sister"
"1986-01-01",57,"Everything Must Change","Paul Young"
"1986-01-01",58,"Part-Time Lover","Stevie Wonder"
"1986-01-01",59,"Too Young","Jack Wagner"
"1986-01-01",60,"You Are My Lady","Freddie Jackson"
"1986-01-01",61,"Miami Vice Theme","Jan Hammer"
"1986-01-01",62,"He'll Never Love You (Like I Do)","Freddie Jackson"
"1986-01-01",63,"Somewhere","Barbra Streisand"
"1986-01-01",64,"One Vision","Queen"
"1986-01-01",65,"Sara","Starship"
"1986-01-01",66,"Day By Day","Hooters"
"1986-01-01",67,"Caravan Of Love","Isley, Jasper, Isley"
"1986-01-01",68,"Love Theme From St. Elmo's Fire (Instrumental)","David Foster"
"1986-01-01",69,"Head Over Heels","Tears For Fears"
"1986-01-01",70,"Can You Feel The Beat","Lisa Lisa And Cult Jam With Full Force"
"1986-01-01",71,"Everyday","James Taylor"
"1986-01-01",72,"Morning Desire","Kenny Rogers"
"1986-01-01",73,"One Of The Living","Tina Turner"
"1986-01-01",74,"Beat's So Lonely","Charlie Sexton"
"1986-01-01",75,"Running Up That Hill (A Deal With God)","Kate Bush"
"1986-01-01",76,"The Heart Is Not So Smart","El DeBarge With DeBarge"
"1986-01-01",77,"Secret","Orchestral Manoeuvres In The Dark"
"1986-01-01",78,"Own The Night","Chaka Khan"
"1986-01-01",79,"Be Near Me","ABC"
"1986-01-01",80,"Secret Lovers","Atlantic Starr"
"1986-01-01",81,"I Knew The Bride (When She Use To Rock And Roll)","Nick Lowe And His Cowboy Outfit"
"1986-01-01",82,"Don't Say No Tonight","Eugene Wilde"
"1986-01-01",83,"Small Town Girl","John Cafferty & The Beaver Brown Band"
"1986-01-01",84,"Dangerous","Loverboy"
"1986-01-01",85,"Let's Go All The Way","Sly Fox"
"1986-01-01",86,"Stacy","Fortune"
"1986-01-01",87,"Baby Talk","Alisha"
"1986-01-01",88,"Good Friends","Joni Mitchell"
"1986-01-01",89,"Let Me Down Easy","Roger Daltrey"
"1986-01-01",90,"Tears Are Falling","KISS"
"1986-01-01",91,"Strength","The Alarm"
"1986-01-01",92,"Saving All My Love For You","Whitney Houston"
"1986-01-01",93,"Lovin' Every Minute Of It","Loverboy"
"1986-01-01",94,"And She Was","Talking Heads"
"1986-01-01",95,"Freedom","The Pointer Sisters"
"1986-01-01",96,"Soul Kiss","Olivia Newton-John"
"1986-01-01",97,"Take On Me","a-ha"
"1986-01-01",98,"Fortress Around Your Heart","Sting"
"1986-01-01",99,"Girls Are More Fun","Ray Parker Jr."
"1986-01-01",100,"Lonely Ol' Night","John Mellencamp"
"1986-01-08",1,"Say You, Say Me","Lionel Richie"
"1986-01-08",2,"Party All The Time","Eddie Murphy"
"1986-01-08",3,"That's What Friends Are For","Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder"
"1986-01-08",4,"Alive & Kicking","Simple Minds"
"1986-01-08",5,"I Miss You","Klymaxx"
"1986-01-08",6,"Small Town","John Mellencamp"
"1986-01-08",7,"Tonight She Comes","The Cars"
"1986-01-08",8,"Talk To Me","Stevie Nicks"
"1986-01-08",9,"Broken Wings","Mr. Mister"
"1986-01-08",10,"Walk Of Life","Dire Straits"
"1986-01-08",11,"Separate Lives","Phil Collins and Marilyn Martin"
"1986-01-08",12,"Burning Heart","Survivor"
"1986-01-08",13,"My Hometown","Bruce Springsteen"
"1986-01-08",14,"I'm Your Man","Wham!"
"1986-01-08",15,"Election Day","Arcadia"
"1986-01-08",16,"It's Only Love","Bryan Adams/Tina Turner"
"1986-01-08",17,"Love Is The Seventh Wave","Sting"
"1986-01-08",18,"Go Home","Stevie Wonder"
"1986-01-08",19,"Spies Like Us","Paul McCartney"
"1986-01-08",20,"Conga","Miami Sound Machine"
"1986-01-08",21,"Sleeping Bag","ZZ Top"
"1986-01-08",22,"You're A Friend Of Mine","Clarence Clemons & Jackson Browne"
"1986-01-08",23,"Perfect Way","Scritti Politti"
"1986-01-08",24,"Emergency","Kool & The Gang"
"1986-01-08",25,"Goodbye","Night Ranger"
"1986-01-08",26,"When The Going Gets Tough, The Tough Get Going","Billy Ocean"
"1986-01-08",27,"Everybody Dance","Ta Mara & The Seen"
"1986-01-08",28,"Sidewalk Talk","Jellybean Featuring Catherine Buchanan"
"1986-01-08",29,"Sex As A Weapon","Pat Benatar"
"1986-01-08",30,"Face The Face","Pete Townshend"
"1986-01-08",31,"How Will I Know","Whitney Houston"
"1986-01-08",32,"Object Of My Desire","Starpoint"
"1986-01-08",33,"The Sweetest Taboo","Sade"
"1986-01-08",34,"A Love Bizarre","Sheila E."
"1986-01-08",35,"Everything In My Heart","Corey Hart"
"1986-01-08",36,"Living In America","James Brown"
"1986-01-08",37,"The Sun Always Shines on T.V.","a-ha"
"1986-01-08",38,"Life In A Northern Town","The Dream Academy"
"1986-01-08",39,"Kyrie","Mr. Mister"
"1986-01-08",40,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")","Baltimora"
"1986-01-08",41,"Never","Heart"
"1986-01-08",42,"We Built This City","Starship"
"1986-01-08",43,"Wrap Her Up","Elton John"
"1986-01-08",44,"Silent Running (On Dangerous Ground)","Mike + The Mechanics"
"1986-01-08",45,"The Big Money","Rush"
