"date","rank","song","artist"
"1963-01-01",1,"Telstar","The Tornadoes"
"1963-01-01",2,"Go Away Little Girl","Steve Lawrence"
"1963-01-01",3,"Limbo Rock","Chubby Checker"
"1963-01-01",4,"Bobby's Girl","Marcie Blane"
"1963-01-01",5,"Big Girls Don't Cry","The 4 Seasons"
"1963-01-01",6,"Hotel Happiness","Brook Benton"
"1963-01-01",7,"Pepino The Italian Mouse","Lou Monte"
"1963-01-01",8,"Return To Sender","Elvis Presley With The Jordanaires"
"1963-01-01",9,"Zip-A-Dee Doo-Dah","Bob B. Soxx And The Blue Jeans"
"1963-01-01",10,"Tell Him","The Exciters"
"1963-01-01",11,"My Dad","Paul Petersen"
"1963-01-01",12,"You Are My Sunshine","Ray Charles"
"1963-01-01",13,"Release Me","Esther Phillips ""Little Esther"""
"1963-01-01",14,"The Night Has A Thousand Eyes","Bobby Vee"
"1963-01-01",15,"Two Lovers","Mary Wells"
"1963-01-01",16,"The Lonely Bull (El Solo Torro)","Herb Alpert And Tijuana Brass"
"1963-01-01",17,"Dear Lonely Hearts","Nat King Cole"
"1963-01-01",18,"Chains","The Cookies"
"1963-01-01",19,"Keep Your Hands Off My Baby","Little Eva"
"1963-01-01",20,"It's Up To You","Rick Nelson"
"1963-01-01",21,"Don't Hang Up","The Orlons"
"1963-01-01",22,"Up On The Roof","The Drifters"
"1963-01-01",23,"Wiggle Wobble","Les Cooper and the Soul Rockers"
"1963-01-01",24,"Love Came To Me","Dion"
"1963-01-01",25,"I Saw Linda Yesterday","Dickey Lee"
"1963-01-01",26,"Everybody Loves A Lover","The Shirelles"
"1963-01-01",27,"Ruby Ann","Marty Robbins"
"1963-01-01",28,"Shutters And Boards","Jerry Wallace"
"1963-01-01",29,"Half Heaven - Half Heartache","Gene Pitney"
"1963-01-01",30,"Monsters' Holiday","Bobby ""Boris"" Pickett And The Crypt-Kickers"
"1963-01-01",31,"Ride!","Dee Dee Sharp"
"1963-01-01",32,"Don't Make Me Over","Dionne Warwick"
"1963-01-01",33,"(Dance With The) Guitar Man","Duane Eddy and the Rebelettes"
"1963-01-01",34,"Trouble Is My Middle Name","Bobby Vinton"
"1963-01-01",35,"Loop De Loop","Johnny Thunder"
"1963-01-01",36,"Your Cheating Heart","Ray Charles"
"1963-01-01",37,"See See Rider","LaVern Baker"
"1963-01-01",38,"Rumors","Johnny Crawford"
"1963-01-01",39,"I'm Gonna' Be Warm This Winter","Connie Francis"
"1963-01-01",40,"Let's Go (pony)","The Routers"
"1963-01-01",41,"Desafinado","Stan Getz / Charlie Byrd"
"1963-01-01",42,"Remember Then","The Earls"
"1963-01-01",43,"Let's Kiss And Make Up","Bobby Vinton"
"1963-01-01",44,"Some Kinda Fun","Chris Montez"
"1963-01-01",45,"Comin' Home Baby","Mel Torme"
"1963-01-01",46,"You've Really Got A Hold On Me","The Miracles"
"1963-01-01",47,"The Love Of A Boy","Timi Yuro"
"1963-01-01",48,"My Coloring Book","Kitty Kallen"
"1963-01-01",49,"Ten Little Indians","The Beach Boys"
"1963-01-01",50,"The Push And Kick","Mark Valentino"
"1963-01-01",51,"Coney Island Baby","The Excellents"
