"date","rank","song","artist"
"1965-01-01",1,"I Feel Fine","The Beatles"
"1965-01-01",2,"Come See About Me","The Supremes"
"1965-01-01",3,"Mr. Lonely","Bobby Vinton"
"1965-01-01",4,"She's A Woman","The Beatles"
"1965-01-01",5,"Love Potion Number Nine","The Searchers"
"1965-01-01",6,"Goin' Out Of My Head","Little Anthony And The Imperials"
"1965-01-01",7,"She's Not There","The Zombies"
"1965-01-01",8,"Amen","The Impressions"
"1965-01-01",9,"The Jerk","The Larks"
"1965-01-01",10,"The Wedding","Julie Rogers"
"1965-01-01",11,"Ringo","Lorne Greene"
"1965-01-01",12,"Downtown","Petula Clark"
"1965-01-01",13,"Sha La La","Manfred Mann"
"1965-01-01",14,"You've Lost That Lovin' Feelin'","The Righteous Brothers"
"1965-01-01",15,"Keep Searchin' (We'll Follow The Sun)","Del Shannon"
"1965-01-01",16,"My Love, Forgive Me (Amore, Scusami)","Robert Goulet"
"1965-01-01",17,"Any Way You Want It","The Dave Clark Five"
"1965-01-01",18,"Willow Weep For Me","Chad & Jeremy"
"1965-01-01",19,"How Sweet It Is To Be Loved By You","Marvin Gaye"
"1965-01-01",20,"Time Is On My Side","The Rolling Stones"
"1965-01-01",21,"I'm Into Something Good","Herman's Hermits"
"1965-01-01",22,"Dance, Dance, Dance","The Beach Boys"
"1965-01-01",23,"Leader Of The Laundromat","The Detergents"
"1965-01-01",24,"Oh No Not My Baby","Maxine Brown"
"1965-01-01",25,"Thou Shalt Not Steal","Dick and DeeDee"
"1965-01-01",26,"As Tears Go By","Marianne Faithfull"
"1965-01-01",27,"Dear Heart","Andy Williams"
"1965-01-01",28,"Too Many Fish In The Sea","The Marvelettes"
"1965-01-01",29,"Mountain Of Love","Johnny Rivers"
"1965-01-01",30,"Saturday Night At The Movies","The Drifters"
"1965-01-01",31,"Don't Forget I Still Love You","Bobbi Martin"
"1965-01-01",32,"I'm Gonna Be Strong","Gene Pitney"
"1965-01-01",33,"Dear Heart","Jack Jones"
"1965-01-01",34,"One More Time","The Ray Charles Singers"
"1965-01-01",35,"She Understands Me","Johnny Tillotson"
"1965-01-01",36,"Walking In The Rain","The Ronettes"
"1965-01-01",37,"Walk Away","Matt Monro"
"1965-01-01",38,"Wild One","Martha & The Vandellas"
"1965-01-01",39,"Do-Wacka-Do","Roger Miller"
"1965-01-01",40,"Hold What You've Got","Joe Tex"
"1965-01-01",41,"I'll Be There","Gerry And The Pacemakers"
"1965-01-01",42,"Smile","Betty Everett & Jerry Butler"
"1965-01-01",43,"Roses Are Red My Love","The ""You Know Who"" Group!"
"1965-01-01",44,"You Really Got Me","The Kinks"
"1965-01-01",45,"Promised Land","Chuck Berry"
"1965-01-01",46,"What Now","Gene Chandler"
"1965-01-01",47,"You're Nobody Till Somebody Loves You","Dean Martin"
"1965-01-01",48,"Boom Boom","The Animals"
"1965-01-01",49,"Hawaii Tattoo","The Waikikis"
"1965-01-01",50,"The Name Game","Shirley Ellis"
"1965-01-01",51,"The 81","Candy & The Kisses"
"1965-01-01",52,"(There's) Always Something There To Remind Me","Sandie Shaw"
"1965-01-01",53,"Since I Don't Have You","Chuck Jackson"
"1965-01-01",54,"All Day And All Of The Night","The Kinks"
"1965-01-01",55,"Seven Letters","Ben E. King"
"1965-01-01",56,"I'm Gonna Love You Too","The Hullaballoos"
"1965-01-01",57,"Give Him A Great Big Kiss","The Shangri-Las"
"1965-01-01",58,"Makin' Whoopee","Ray Charles"
"1965-01-01",59,"Lovin' Place","Gale Garnett"
"1965-01-01",60,"Run, Run, Run","The Gestures"
"1965-01-01",61,"I Can't Stop","The Honeycombs"
"1965-01-01",62,"Let's Lock The Door (And Throw Away The Key)","Jay & The Americans"
"1965-01-01",63,"Come On Do The Jerk","The Miracles"
"1965-01-01",64,"Sometimes I Wonder","Major Lance"
"1965-01-01",65,"Getting Mighty Crowded","Betty Everett"
"1965-01-01",66,"Have You Looked Into Your Heart","Jerry Vale"
"1965-01-01",67,"Do It Right","Brook Benton"
"1965-01-01",68,"Somewhere In Your Heart","Frank Sinatra"
"1965-01-01",69,"He's My Guy","Irma Thomas"
"1965-01-01",70,"I Found A Love Oh What A Love","Jo Ann & Troy"
"1965-01-01",71,"Look Of Love","Lesley Gore"
