"date","rank","song","artist"
"2010-01-01",1,"TiK ToK","Ke$ha"
"2010-01-01",2,"Empire State Of Mind","Jay-Z + Alicia Keys"
"2010-01-01",3,"Bad Romance","Lady Gaga"
"2010-01-01",4,"Replay","Iyaz"
"2010-01-01",5,"Fireflies","Owl City"
"2010-01-01",6,"Sexy Chick","David Guetta Featuring Akon"
"2010-01-01",7,"Whatcha Say","Jason Derulo"
"2010-01-01",8,"Down","Jay Sean Featuring Lil Wayne"
"2010-01-01",9,"Meet Me Halfway","The Black Eyed Peas"
"2010-01-01",10,"3","Britney Spears"
"2010-01-01",11,"Hard","Rihanna Featuring Jeezy"
"2010-01-01",12,"BedRock","Young Money Featuring Lloyd"
"2010-01-01",13,"How Low","Ludacris"
"2010-01-01",14,"Do You Remember","Jay Sean Featuring Sean Paul & Lil Jon"
"2010-01-01",15,"Paparazzi","Lady Gaga"
"2010-01-01",16,"Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"2010-01-01",17,"Sweet Dreams","Beyonce"
"2010-01-01",18,"Already Gone","Kelly Clarkson"
"2010-01-01",19,"Party In The U.S.A.","Miley Cyrus"
"2010-01-01",20,"I Gotta Feeling","The Black Eyed Peas"
"2010-01-01",21,"Need You Now","Lady Antebellum"
"2010-01-01",22,"You Belong With Me","Taylor Swift"
"2010-01-01",23,"Two Is Better Than One","Boys Like Girls Featuring Taylor Swift"
"2010-01-01",24,"I Can Transform Ya","Chris Brown Featuring Lil Wayne & Swizz Beatz"
"2010-01-01",25,"Use Somebody","Kings Of Leon"
"2010-01-01",26,"Money To Blow","Birdman Featuring Lil Wayne & Drake"
"2010-01-01",27,"Try Sleeping With A Broken Heart","Alicia Keys"
"2010-01-01",28,"Evacuate The Dancefloor","Cascada"
"2010-01-01",29,"Hell Breaks Loose","NEW"
"2010-01-01",30,"Fifteen","NEW"
"2010-01-01",31,"Tie Me Down","Eminem Featuring Dr. Dre"
"2010-01-01",32,"Hey, Soul Sister","Taylor Swift"
"2010-01-01",33,"Live Like We're Dying","New Boyz Featuring Ray J"
"2010-01-01",34,"Say Aah","Train"
"2010-01-01",35,"Gangsta Luv","Kris Allen"
"2010-01-01",36,"Baby By Me","Trey Songz Featuring Fabolous"
"2010-01-01",37,"Run This Town","Snoop Dogg Featuring The-Dream"
"2010-01-01",38,"Telephone","50 Cent Featuring Ne-Yo"
"2010-01-01",39,"Cowboy Casanova","Jay-Z, Rihanna & Kanye West"
"2010-01-01",40,"Give It Up To Me","Lady Gaga Featuring Beyonce"
"2010-01-01",41,"According To You","Carrie Underwood"
"2010-01-01",42,"I Invented Sex","Shakira Featuring Lil Wayne"
"2010-01-01",43,"Do I","Orianthi"
"2010-01-01",44,"Fallin' For You","Trey Songz Featuring Drake"
"2010-01-01",45,"Consider Me Gone","Luke Bryan"
"2010-01-01",46,"If You Only Knew","Colbie Caillat"
"2010-01-01",47,"One Time","Reba"
"2010-01-01",48,"The Truth","Shinedown"
"2010-01-01",49,"It Kills Me","Justin Bieber"
"2010-01-01",50,"Southern Voice","Jason Aldean"
"2010-01-01",51,"Spotlight","Melanie Fiona"
"2010-01-01",52,"White Liar","Tim McGraw"
"2010-01-01",53,"Russian Roulette","Gucci Mane Featuring Usher"
"2010-01-01",54,"Smile","Miranda Lambert"
"2010-01-01",55,"Empire State Of Mind (Part II) Broken Down","Rihanna"
"2010-01-01",56,"Uprising","Uncle Kracker"
"2010-01-01",57,"I Wanna Make You Close Your Eyes","NEW"
"2010-01-01",58,"Life After You","NEW"
"2010-01-01",59,"Carry Out","Alicia Keys"
"2010-01-01",60,"One Less Lonely Girl","Muse"
"2010-01-01",61,"Papers","Dierks Bentley"
"2010-01-01",62,"Never Gonna Be Alone","Daughtry"
"2010-01-01",63,"Red Light","Timbaland Featuring Justin Timberlake"
"2010-01-01",64,"Why Don't We Just Dance","Justin Bieber"
"2010-01-01",65,"I Am","Usher"
"2010-01-01",66,"History In The Making","Nickelback"
"2010-01-01",67,"Elevator","David Nail"
"2010-01-01",68,"Crawl","Josh Turner"
"2010-01-01",69,"Shut It Down","Mary J. Blige"
"2010-01-01",70,"In My Head","Darius Rucker"
"2010-01-01",71,"Haven't Met You Yet","NEW"
"2010-01-01",72,"Whataya Want From Me","NEW"
"2010-01-01",73,"Eight Second Ride","Eminem"
"2010-01-01",74,"Someday","Chris Brown"
"2010-01-01",75,"I Wanna Rock","Pitbull Featuring Akon"
"2010-01-01",76,"Bonfire","Jason Derulo"
"2010-01-01",77,"Wasted","Michael Buble"
"2010-01-01",78,"All The Right Moves","NEW"
"2010-01-01",79,"Sex Therapy","NEW"
"2010-01-01",80,"Body Language","Adam Lambert"
"2010-01-01",81,"I Will Not Bow","Jake Owen"
"2010-01-01",82,"Break","Rob Thomas"
"2010-01-01",83,"Bad Habits","Snoop Dogg"
"2010-01-01",84,"On Fire","Craig Morgan"
"2010-01-01",85,"Heartbreak Warfare","Gucci Mane Featuring Plies Or OJ Da Juiceman"
"2010-01-01",86,"American Saturday Night","OneRepublic"
"2010-01-01",87,"That's How Country Boys Roll","NEW"
"2010-01-01",88,"Cryin' For Me (Wayman's Song)","NEW"
