"date","rank","song","artist"
"1959-01-01",1,"The Chipmunk Song","The Chipmunks With David Seville"
"1959-01-01",2,"Smoke Gets In Your Eyes","The Platters"
"1959-01-01",3,"To Know Him, Is To Love Him","The Teddy Bears"
"1959-01-01",4,"Problems","The Everly Brothers"
"1959-01-01",5,"One Night","Elvis Presley"
"1959-01-01",6,"My Happiness","Connie Francis"
"1959-01-01",7,"Tom Dooley","The Kingston Trio"
"1959-01-01",8,"A Lover's Question","Clyde McPhatter"
"1959-01-01",9,"Gotta Travel On","Billy Grammer"
"1959-01-01",10,"Whole Lotta Loving","Fats Domino"
"1959-01-01",11,"Lonesome Town","Ricky Nelson"
"1959-01-01",12,"Beep Beep","The Playmates"
"1959-01-01",13,"Bimbombey","Jimmie Rodgers"
"1959-01-01",14,"I Got Stung","Elvis Presley"
"1959-01-01",15,"Donna","Ritchie Valens"
"1959-01-01",16,"The Little Drummer Boy","The Harry Simeone Chorale"
"1959-01-01",17,"Queen Of The Hop","Bobby Darin"
"1959-01-01",18,"16 Candles","The Crests"
"1959-01-01",19,"It's Only Make Believe","Conway Twitty"
"1959-01-01",20,"Lonely Teardrops","Jackie Wilson"
"1959-01-01",21,"The Diary","Neil Sedaka"
"1959-01-01",22,"Manhattan Spiritual","Reg Owen & His Orchestra"
"1959-01-01",23,"Goodbye Baby","Jack Scott"
"1959-01-01",24,"Love Is All We Need","Tommy Edwards"
"1959-01-01",25,"I'll Wait For You","Frankie Avalon"
"1959-01-01",26,"Cannonball","Duane Eddy His Twangy Guitar And The Rebels"
"1959-01-01",27,"Lucky Ladybug","Billy & Lillie"
"1959-01-01",28,"Philadelphia U.S.A.","The Nu Tornados"
"1959-01-01",29,"The Teen Commandments","Paul Anka-Geo. Hamilton IV-Johnny Nash"
"1959-01-01",30,"That Old Black Magic","Louis Prima And Keely Smith"
"1959-01-01",31,"Love You Most Of All","Sam Cooke"
"1959-01-01",32,"Poor Boy","The Royaltones"
"1959-01-01",33,"The All American Boy","Bill Parsons"
"1959-01-01",34,"I Got A Feeling","Ricky Nelson"
"1959-01-01",35,"C'mon Everybody","Eddie Cochran"
"1959-01-01",36,"Stagger Lee","Lloyd Price"
"1959-01-01",37,"(All of a Sudden) My Heart Sings","Paul Anka"
"1959-01-01",38,"I Cried A Tear","LaVern Baker"
"1959-01-01",39,"The World Outside","The Four Coins"
"1959-01-01",40,"Don't Pity Me","Dion & The Belmonts"
"1959-01-01",41,"Peek-A-Boo","The Cadillacs"
"1959-01-01",42,"Topsy II","Cozy Cole"
"1959-01-01",43,"It's All In The Game","Tommy Edwards"
"1959-01-01",44,"Turvy II","Cozy Cole"
"1959-01-01",45,"Jingle Bell Rock","Bobby Helms"
"1959-01-01",46,"The Wedding","June Valli"
"1959-01-01",47,"¿Dònde Està Santa Claus? (Where Is Santa Claus?)","Augie Rios"
"1959-01-01",48,"The Hawaiian Wedding Song (Ke Kali Nei Au)","Andy Williams"
"1959-01-01",49,"The End","Earl Grant"
"1959-01-01",50,"Rocka-Conga","The Applejacks"
"1959-01-01",51,"It's Just About Time","Johnny Cash And The Tennessee Two"
"1959-01-01",52,"Big Bopper's Wedding","Big Bopper"
"1959-01-01",53,"Green Chri$tma$","Stan Freberg"
"1959-01-01",54,"Nobody But You","Dee Clark"
"1959-01-01",55,"Chantilly Lace","Big Bopper"
"1959-01-01",56,"Pledging My Love","Roy Hamilton"
"1959-01-01",57,"Try Me","James Brown And The Famous Flames"
"1959-01-01",58,"Teasin'","Quaker City Boys"
"1959-01-01",59,"Blue Hawaii","Billy Vaughn And His Orchestra"
"1959-01-01",60,"Red River Rose","The Ames Brothers"
"1959-01-01",61,"Wiggle, Wiggle","The Accents"
"1959-01-01",62,"Hideaway","The Four Esquires"
"1959-01-01",63,"Walking Along","The Diamonds"
"1959-01-01",64,"Need You","Donnie Owens"
"1959-01-01",65,"A Letter To An Angel","Jimmy Clanton"
"1959-01-01",66,"The Mocking Bird","The Four Lads"
"1959-01-01",67,"Dreamy Eyes","Johnny Tillotson"
"1959-01-01",68,"Tea For Two Cha Cha","The Tommy Dorsey Orchestra"
"1959-01-01",69,"The Bluebird, The Buzzard & The Oriole","Bobby Day"
"1959-01-01",70,"Come Prima","Tony Dallara"
"1959-01-01",71,"Don't You Know Yockomo","RE- ENTRY"
"1959-01-01",72,"Sweet Little Rock And Roller","RE- ENTRY"
"1959-01-01",73,"You Are Beautiful","Huey ""piano"" Smith With His Clowns"
"1959-01-01",74,"Sing Sing Sing","Chuck Berry"
"1959-01-01",75,"The Fool And The Angel","NEW"
"1959-01-01",76,"Come Prima (Koma Preema)","NEW"
"1959-01-01",77,"(I Wanna) Dance With The Teacher","Johnny Mathis"
"1959-01-01",78,"Peter Gunn","Bernie Lowe Orchestra"
"1959-01-01",79,"I Talk To The Trees","Bobby Helms"
"1959-01-01",80,"La Bamba","Polly Bergen"
"1959-01-01",81,"Yellow Bird","RE- ENTRY"
"1959-01-01",82,"Let's Love","RE- ENTRY"
"1959-01-01",83,"The Girl On Page 44","The Olympics"
"1959-01-01",84,"May You Always","NEW"
"1959-01-01",85,"Pretty Girls Everywhere","NEW"
"1959-01-01",86,"The Little Space Girl","Ray Anthony and His Orchestra"
"1959-01-01",87,"Pussy Cat","NEW"
"1959-01-01",88,"The One Rose (That's Left In My Heart)","NEW"
"1959-01-01",89,"Teach Me Tonight Cha Cha","Edmundo Ros and His Orchestra"
"1959-01-01",90,"Mr. Success","Ritchie Valens"
"1959-01-01",91,"I'll Remember Tonight","NEW"
"1959-01-01",92,"Cinderella","NEW"
"1959-01-01",93,"Funny","The Mills Brothers"
"1959-01-01",94,"Forget Me Not","NEW"
"1959-01-01",95,"That's Why I Cry","NEW"
"1959-01-01",96,"Heartbeat","Johnny Mathis"
"1959-01-01",97,"Call Me","NEW"
"1959-01-01",98,"Tall Paul","NEW"
"1959-01-01",99,"Sermonette","The Four Lads"
"1959-01-01",100,"Gazachstahagen","NEW"
"1959-01-08",1,"The Chipmunk Song","The Chipmunks With David Seville"
"1959-01-08",2,"Smoke Gets In Your Eyes","The Platters"
"1959-01-08",3,"My Happiness","Connie Francis"
"1959-01-08",4,"Gotta Travel On","Billy Grammer"
"1959-01-08",5,"To Know Him, Is To Love Him","The Teddy Bears"
"1959-01-08",6,"Whole Lotta Loving","Fats Domino"
"1959-01-08",7,"A Lover's Question","Clyde McPhatter"
"1959-01-08",8,"One Night","Elvis Presley"
"1959-01-08",9,"Problems","The Everly Brothers"
"1959-01-08",10,"Lonesome Town","Ricky Nelson"
"1959-01-08",11,"Tom Dooley","The Kingston Trio"
"1959-01-08",12,"16 Candles","The Crests"
"1959-01-08",13,"The Little Drummer Boy","The Harry Simeone Chorale"
"1959-01-08",14,"Bimbombey","Jimmie Rodgers"
"1959-01-08",15,"Donna","Ritchie Valens"
"1959-01-08",16,"Beep Beep","The Playmates"
"1959-01-08",17,"Lonely Teardrops","Jackie Wilson"
"1959-01-08",18,"I Got Stung","Elvis Presley"
"1959-01-08",19,"Goodbye Baby","Jack Scott"
"1959-01-08",20,"Manhattan Spiritual","Reg Owen & His Orchestra"
"1959-01-08",21,"Stagger Lee","Lloyd Price"
"1959-01-08",22,"It's Only Make Believe","Conway Twitty"
"1959-01-08",23,"The Diary","Neil Sedaka"
"1959-01-08",24,"Lucky Ladybug","Billy & Lillie"
"1959-01-08",25,"(All of a Sudden) My Heart Sings","Paul Anka"
"1959-01-08",26,"The All American Boy","Bill Parsons"
"1959-01-08",27,"Love You Most Of All","Sam Cooke"
"1959-01-08",28,"I Cried A Tear","LaVern Baker"
"1959-01-08",29,"Queen Of The Hop","Bobby Darin"
"1959-01-08",30,"Love Is All We Need","Tommy Edwards"
"1959-01-08",31,"Philadelphia U.S.A.","The Nu Tornados"
"1959-01-08",32,"I'll Wait For You","Frankie Avalon"
"1959-01-08",33,"Nobody But You","Dee Clark"
"1959-01-08",34,"The Hawaiian Wedding Song (Ke Kali Nei Au)","Andy Williams"
"1959-01-08",35,"Cannonball","Duane Eddy His Twangy Guitar And The Rebels"
"1959-01-08",36,"Peek-A-Boo","The Cadillacs"
"1959-01-08",37,"Poor Boy","The Royaltones"
"1959-01-08",38,"I Got A Feeling","Ricky Nelson"
"1959-01-08",39,"The Teen Commandments","Paul Anka-Geo. Hamilton IV-Johnny Nash"
"1959-01-08",40,"Rocka-Conga","The Applejacks"
"1959-01-08",41,"Red River Rose","The Ames Brothers"
"1959-01-08",42,"C'mon Everybody","Eddie Cochran"
"1959-01-08",43,"The Wedding","June Valli"
"1959-01-08",44,"Peter Gunn","Ray Anthony and His Orchestra"
