"date","rank","song","artist"
"1996-01-01",1,"One Sweet Day","Mariah Carey & Boyz II Men"
"1996-01-01",2,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")","Whitney Houston"
"1996-01-01",3,"Hey Lover","LL Cool J"
"1996-01-01",4,"Gangsta's Paradise (From ""Dangerous Minds"")","Coolio Featuring L.V."
"1996-01-01",5,"Diggin' On You","TLC"
"1996-01-01",6,"Free As A Bird","The Beatles"
"1996-01-01",7,"Breakfast At Tiffany's","Deep Blue Something"
"1996-01-01",8,"Fantasy","Mariah Carey"
"1996-01-01",9,"Before You Walk Out Of My Life/Like This And Like That","Monica"
"1996-01-01",10,"Name","Goo Goo Dolls"
"1996-01-01",11,"Missing","Everything But The Girl"
"1996-01-01",12,"You'll See","Madonna"
"1996-01-01",13,"One Of Us","Joan Osborne"
"1996-01-01",14,"I Got Id/Long Road","Pearl Jam"
"1996-01-01",15,"You Remind Me Of Something","R. Kelly"
"1996-01-01",16,"Runaway","Janet Jackson"
"1996-01-01",17,"Beautiful Life","Ace Of Base"
"1996-01-01",18,"Tell Me","Groove Theory"
"1996-01-01",19,"Tonite's Tha Night","Kris Kross"
"1996-01-01",20,"Anything","Faith Evans"
"1996-01-01",21,"Soon As I Get Home","The Smashing Pumpkins"
"1996-01-01",22,"Bullet With Butterfly Wings","Take That"
"1996-01-01",23,"Back For Good","Coolio"
"1996-01-01",24,"Too Hot","Sophie B. Hawkins"
"1996-01-01",25,"As I Lay Me Down","La Bouche"
"1996-01-01",26,"Be My Lover","Hootie & The Blowfish"
"1996-01-01",27,"Time","Hootie & The Blowfish"
"1996-01-01",28,"Only Wanna Be With You","Xscape"
"1996-01-01",29,"Who Can I Run To","Seal"
"1996-01-01",30,"Kiss From A Rose","Jodeci"
"1996-01-01",31,"Love U 4 Life","Selena"
"1996-01-01",32,"Dreaming Of You","Planet Soul"
"1996-01-01",33,"Set U Free","Brandy"
"1996-01-01",34,"Sittin' Up In My Room (From ""Waiting To Exhale"")","Natalie Merchant"
"1996-01-01",35,"Carnival","Del Amitri"
"1996-01-01",36,"Roll To Me","Total"
"1996-01-01",37,"No One Else","Elton John"
"1996-01-01",38,"Blessed","Blues Traveler"
"1996-01-01",39,"Hook","Collective Soul"
"1996-01-01",40,"The World I Know","Natalie Merchant"
"1996-01-01",41,"Wonder","Folk Implosion"
"1996-01-01",42,"Natural One (From ""Kids"")","Blues Traveler"
"1996-01-01",43,"Run-Around","Meat Loaf"
"1996-01-01",44,"I'd Lie For You (And That's The Truth)","Eazy-E"
"1996-01-01",45,"Just Tah Let U Know","Boyz II Men"
"1996-01-01",46,"I Remember","The Tony Rich Project"
"1996-01-01",47,"Nobody Knows","TLC"
"1996-01-01",48,"Waterfalls","Collective Soul"
"1996-01-01",49,"December","Big Mountain"
"1996-01-01",50,"Get Together","Goodie Mob"
"1996-01-01",51,"Cell Therapy","Immature (Featuring Smooth)"
"1996-01-01",52,"We Got It","D'Angelo"
"1996-01-01",53,"Cruisin'","Blahzay Blahzay"
"1996-01-01",54,"Danger","Tim McGraw"
"1996-01-01",55,"I Like It, I Love It","Michael Jackson"
"1996-01-01",56,"You Are Not Alone","Jon B"
"1996-01-01",57,"Pretty Girl","Terry Ellis"
"1996-01-01",58,"Where Ever You Are","L.A.D."
"1996-01-01",59,"Ridin' Low","Bush"
"1996-01-01",60,"Comedown","Brandy"
"1996-01-01",61,"Brokenhearted","The Rembrandts"
"1996-01-01",62,"I'll Be There For You/This House Is Not A Home","NEW"
"1996-01-01",63,"Let's Play House","NEW"
"1996-01-01",64,"East 1999","Tha Dogg Pound Featuring Michel'le"
"1996-01-01",65,"Do You Sleep?","Bone Thugs-N-Harmony"
"1996-01-01",66,"I Will Remember You","Lisa Loeb & Nine Stories"
