"date","rank","song","artist"
"1964-01-01",1,"There! I've Said It Again","Bobby Vinton"
"1964-01-01",2,"Louie Louie","The Kingsmen"
"1964-01-01",3,"Dominique","The Singing Nun (Soeur Sourire)"
"1964-01-01",4,"Since I Fell For You","Lenny Welch"
"1964-01-01",5,"Forget Him","Bobby Rydell"
"1964-01-01",6,"Popsicles And Icicles","The Murmaids"
"1964-01-01",7,"Talk Back Trembling Lips","Johnny Tillotson"
"1964-01-01",8,"Quicksand","Martha & The Vandellas"
"1964-01-01",9,"The Nitty Gritty","Shirley Ellis"
"1964-01-01",10,"Midnight Mary","Joey Powers"
"1964-01-01",11,"You Don't Have To Be A Baby To Cry","The Caravelles"
"1964-01-01",12,"Drip Drop","Dion Di Muci"
"1964-01-01",13,"Surfin' Bird","The Trashmen"
"1964-01-01",14,"As Usual","Brenda Lee"
"1964-01-01",15,"Wives And Lovers","Jack Jones"
"1964-01-01",16,"Pretty Paper","Roy Orbison"
"1964-01-01",17,"Drag City","Jan & Dean"
"1964-01-01",18,"Be True To Your School","The Beach Boys"
"1964-01-01",19,"Whispering","Nino Tempo & April Stevens"
"1964-01-01",20,"The Boy Next Door","The Secrets"
"1964-01-01",21,"I'm Leaving It Up To You","Dale & Grace"
"1964-01-01",22,"Loddy Lo","Chubby Checker"
"1964-01-01",23,"Kansas City","Trini Lopez"
"1964-01-01",24,"Can I Get A Witness","Marvin Gaye"
"1964-01-01",25,"Everybody","Tommy Roe"
"1964-01-01",26,"That Lucky Old Sun","Ray Charles"
"1964-01-01",27,"Turn Around","Dick and DeeDee"
"1964-01-01",28,"When The Lovelight Starts Shining Through His Eyes","The Supremes"
"1964-01-01",29,"For Your Precious Love","Garnet Mimms & The Enchanters"
"1964-01-01",30,"Have You Heard","The Duprees featuring Joey Vann"
"1964-01-01",31,"Somewhere","The Tymes"
"1964-01-01",32,"Anyone Who Had A Heart","Dionne Warwick"
"1964-01-01",33,"Out Of Limits","The Marketts"
"1964-01-01",34,"Need To Belong","Jerry Butler"
"1964-01-01",35,"Hey Little Cobra","The Rip Chords"
"1964-01-01",36,"I Have A Boyfriend","The Chiffons"
"1964-01-01",37,"In My Room","The Beach Boys"
"1964-01-01",38,"Stewball","Peter, Paul & Mary"
"1964-01-01",39,"I Gotta Dance To Keep From Crying","The Miracles"
"1964-01-01",40,"Daisy Petal Pickin'","Jimmy Gilmer And The Fireballs"
"1964-01-01",41,"For You","Rick Nelson"
"1964-01-01",42,"Baby, I Love You","The Ronettes"
"1964-01-01",43,"Wonderful Summer","Robin Ward"
"1964-01-01",44,"Hooka Tooka","Chubby Checker"
"1964-01-01",45,"Tra La La La Suzy","Dean And Jean"
"1964-01-01",46,"Baby Don't You Weep","Garnet Mimms & The Enchanters"
"1964-01-01",47,"The Marvelous Toy","The Chad Mitchell Trio"
"1964-01-01",48,"Girls Grow Up Faster Than Boys","The Cookies"
"1964-01-01",49,"You Don't Own Me","Lesley Gore"
"1964-01-01",50,"Walking The Dog","Rufus Thomas"
"1964-01-01",51,"As Long As I Know He's Mine","The Marvelettes"
"1964-01-01",52,"Bad Girl","Neil Sedaka"
"1964-01-01",53,"Long Tall Texan","Murry Kellum"
"1964-01-01",54,"She's A Fool","Lesley Gore"
"1964-01-01",55,"I Can't Stop Talking About You","Steve & Eydie"
"1964-01-01",56,"It's All In The Game","Cliff Richard"
"1964-01-01",57,"Today's Teardrops","Rick Nelson"
"1964-01-01",58,"Um, Um, Um, Um, Um, Um","NEW"
"1964-01-01",59,"Misery","NEW"
"1964-01-01",60,"What's Easy For Two Is So Hard For One","Major Lance"
