"date","rank","song","artist"
"1968-01-01",1,"Hello Goodbye","The Beatles"
"1968-01-01",2,"Daydream Believer","The Monkees"
"1968-01-01",3,"Judy In Disguise (With Glasses)","John Fred And The Playboys"
"1968-01-01",4,"I Heard It Through The Grapevine","Gladys Knight And The Pips"
"1968-01-01",5,"Woman, Woman","The Union Gap Featuring Gary Puckett"
"1968-01-01",6,"I Second That Emotion","Smokey Robinson & The Miracles"
"1968-01-01",7,"Chain Of Fools","Aretha Franklin"
"1968-01-01",8,"Bend Me, Shape Me","The American Breed"
"1968-01-01",9,"Boogaloo Down Broadway","The Fantastic Johnny C"
"1968-01-01",10,"Skinny Legs And All","Joe Tex"
"1968-01-01",11,"Honey Chile","Martha Reeves & The Vandellas"
"1968-01-01",12,"Green Tambourine","The Lemon Pipers"
"1968-01-01",13,"If I Could Build My Whole World Around You","Marvin Gaye & Tammi Terrell"
"1968-01-01",14,"Summer Rain","Johnny Rivers"
"1968-01-01",15,"Incense And Peppermints","Strawberry Alarm Clock"
"1968-01-01",16,"You Better Sit Down Kids","Cher"
"1968-01-01",17,"Next Plane To London","The Rose Garden"
"1968-01-01",18,"Different Drum","Stone Poneys Featuring Linda Ronstadt"
"1968-01-01",19,"The Rain, The Park & Other Things","The Cowsills"
"1968-01-01",20,"I Say A Little Prayer","Dionne Warwick"
"1968-01-01",21,"Susan","The Buckinghams"
"1968-01-01",22,"And Get Away","The Esquires"
"1968-01-01",23,"Wear Your Love Like Heaven","Donovan"
"1968-01-01",24,"Monterey","Eric Burdon & The Animals"
"1968-01-01",25,"It's Wonderful","The Young Rascals"
"1968-01-01",26,"She's My Girl","The Turtles"
"1968-01-01",27,"Who Will Answer?","Ed Ames"
"1968-01-01",28,"Tell Mama","Etta James"
"1968-01-01",29,"Come See About Me","Jr. Walker & The All Stars"
"1968-01-01",30,"Love Me Two Times","The Doors"
"1968-01-01",31,"The Other Man's Grass Is Always Greener","Petula Clark"
"1968-01-01",32,"Love Power","The Sandpebbles"
"1968-01-01",33,"I Can't Stand Myself (When You Touch Me)","James Brown And The Famous Flames"
"1968-01-01",34,"Keep The Ball Rollin'","Jay And The Techniques"
"1968-01-01",35,"Nobody But Me","The Human Beinz"
"1968-01-01",36,"By The Time I Get To Phoenix","Glen Campbell"
"1968-01-01",37,"Best Of Both Worlds","Lulu"
"1968-01-01",38,"Goin' Out Of My Head/Can't Take My Eyes Off You","The Lettermen"
"1968-01-01",39,"Am I That Easy To Forget","Engelbert Humperdinck"
"1968-01-01",40,"My Baby Must Be A Magician","The Marvelettes"
"1968-01-01",41,"Two Little Kids","Peaches & Herb"
"1968-01-01",42,"Cover Me","Percy Sledge"
"1968-01-01",43,"Itchycoo Park","Small Faces"
"1968-01-01",44,"Windy","Wes Montgomery"
"1968-01-01",45,"I'm In Love","Wilson Pickett"
"1968-01-01",46,"In The Misty Moonlight","Dean Martin"
"1968-01-01",47,"Spooky","Classics IV"
"1968-01-01",48,"She's A Rainbow","The Rolling Stones"
"1968-01-01",49,"Everybody Knows","The Dave Clark Five"
"1968-01-01",50,"Dear Eloise","The Hollies"
"1968-01-01",51,"Dancing Bear","The Mamas & The Papas"
"1968-01-01",52,"Baby, Now That I've Found You","The Foundations"
"1968-01-01",53,"Darlin'","The Beach Boys"
"1968-01-01",54,"Explosion (In Your Soul)","Soul Survivors"
"1968-01-01",55,"Neon Rainbow","The Box Tops"
"1968-01-01",56,"Storybook Children","Billy Vera & Judy Clay"
"1968-01-01",57,"Skip A Rope","Henson Cargill"
"1968-01-01",58,"Good Combination","Sonny & Cher"
"1968-01-01",59,"The Lesson","Vikki Carr"
"1968-01-01",60,"I Wonder What She's Doing Tonite","Tommy Boyce & Bobby Hart"
"1968-01-01",61,"Too Much Of Nothing","Peter, Paul & Mary"
"1968-01-01",62,"To Give (The Reason I Live)","Frankie Valli"
"1968-01-01",63,"Tomorrow","Strawberry Alarm Clock"
