"date","rank","song","artist"
"2002-01-01",1,"How You Remind Me","Nickelback"
"2002-01-01",2,"U Got It Bad","Usher"
"2002-01-01",3,"Family Affair","Mary J. Blige"
"2002-01-01",4,"Get The Party Started","P!nk"
"2002-01-01",5,"Always On Time","Ja Rule Featuring Ashanti"
"2002-01-01",6,"My Sacrifice","Creed"
"2002-01-01",7,"Whenever, Wherever","Shakira"
"2002-01-01",8,"Hero","Enrique Iglesias"
"2002-01-01",9,"Differences","Ginuwine"
"2002-01-01",10,"A Woman's Worth","Alicia Keys"
"2002-01-01",11,"Livin' It Up","Ja Rule Featuring Case"
"2002-01-01",12,"Gone","*NSYNC"
"2002-01-01",13,"Wherever You Will Go","The Calling"
"2002-01-01",14,"Rock The Boat","Aaliyah"
"2002-01-01",15,"In The End","Linkin Park"
"2002-01-01",16,"I Do!!","Toya"
"2002-01-01",17,"Turn Off The Light","Nelly Furtado"
"2002-01-01",18,"We Thuggin'","Fat Joe Featuring R. Kelly"
"2002-01-01",19,"Butterflies","Michael Jackson"
"2002-01-01",20,"Hey Baby","No Doubt Featuring Bounty Killer"
"2002-01-01",21,"Superman (It's Not Easy)","Five For Fighting"
"2002-01-01",22,"Caramel","City High Featuring Eve"
"2002-01-01",23,"Only Time","Enya"
"2002-01-01",24,"Where The Stars And Stripes And The Eagle Fly","Aaron Tippin"
"2002-01-01",25,"#1","Nelly"
"2002-01-01",26,"I'm Real","Jennifer Lopez Featuring Ja Rule"
"2002-01-01",27,"7 Days","Craig David"
"2002-01-01",28,"Roll Out (My Business)","Ludacris"
"2002-01-01",29,"Fallin'","Alicia Keys"
"2002-01-01",30,"Break Ya Neck","Busta Rhymes"
"2002-01-01",31,"Son Of A Gun","Janet Featuring Missy Elliott, P. Diddy & Carly Simon"
"2002-01-01",32,"Emotion","Destiny's Child"
"2002-01-01",33,"It's Been Awhile","Staind"
"2002-01-01",34,"Standing Still","Jewel"
"2002-01-01",35,"Lights, Camera, Action!","Mr. Cheeks"
"2002-01-01",36,"Dig In","Lenny Kravitz"
"2002-01-01",37,"Hanging By A Moment","Lifehouse"
"2002-01-01",38,"Where Were You (When The World Stopped Turning)","Alan Jackson"
"2002-01-01",39,"The Whole World","OutKast Featuring Killer Mike"
"2002-01-01",40,"Bouncin' Back (Bumpin' Me Against The Wall)","Mystikal"
"2002-01-01",41,"Alive","P.O.D."
"2002-01-01",42,"Drops Of Jupiter (Tell Me)","Train"
"2002-01-01",43,"Uh Huh","NEW"
"2002-01-01",44,"I Wanna Talk About Me","NEW"
"2002-01-01",45,"Good Morning Beautiful","B2K"
"2002-01-01",46,"Run","Toby Keith"
"2002-01-01",47,"Blurry","Steve Holy"
"2002-01-01",48,"No More Drama","George Strait"
"2002-01-01",49,"Can't Fight The Moonlight","Puddle Of Mudd"
"2002-01-01",50,"Take Away","Mary J. Blige"
"2002-01-01",51,"The World's Greatest","LeAnn Rimes"
"2002-01-01",52,"Brotha","Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet"
"2002-01-01",53,"Ain't It Funny","R. Kelly"
"2002-01-01",54,"You Gets No Love","Angie Stone"
"2002-01-01",55,"Young'n (Holla Back)","Jennifer Lopez Featuring Ja Rule"
"2002-01-01",56,"I'm Tryin'","Faith Evans"
"2002-01-01",57,"Lifetime","Fabolous"
