"date","rank","song","artist"
"1967-01-01",1,"I'm A Believer","The Monkees"
"1967-01-01",2,"Snoopy Vs. The Red Baron","The Royal Guardsmen"
"1967-01-01",3,"Tell It Like It Is","Aaron Neville"
"1967-01-01",4,"Winchester Cathedral","The New Vaudeville Band"
"1967-01-01",5,"Sugar Town","Nancy Sinatra"
"1967-01-01",6,"That's Life","Frank Sinatra"
"1967-01-01",7,"Good Thing","Paul Revere & The Raiders Featuring Mark Lindsay"
"1967-01-01",8,"Words Of Love","The Mamas & The Papas"
"1967-01-01",9,"Standing In The Shadows Of Love","Four Tops"
"1967-01-01",10,"Mellow Yellow","Donovan"
"1967-01-01",11,"Coming Home Soldier","Bobby Vinton"
"1967-01-01",12,"Single Girl","Sandy Posey"
"1967-01-01",13,"(I Know) I'm Losing You","The Temptations"
"1967-01-01",14,"Devil With A Blue Dress On & Good Golly Miss Molly","Mitch Ryder And The Detroit Wheels"
"1967-01-01",15,"Tell It To The Rain","The 4 Seasons Featuring the ""Sound of Frankie Valli"""
"1967-01-01",16,"Talk Talk","The Music Machine"
"1967-01-01",17,"Good Vibrations","The Beach Boys"
"1967-01-01",18,"Cry","Ronnie Dove"
"1967-01-01",19,"A Place In The Sun","Stevie Wonder"
"1967-01-01",20,"Georgy Girl","The Seekers"
"1967-01-01",21,"You Keep Me Hangin' On","The Supremes"
"1967-01-01",22,"Born Free","Roger Williams"
"1967-01-01",23,"I've Passed This Way Before","Jimmy Ruffin"
"1967-01-01",24,"Nashville Cats","The Lovin' Spoonful"
"1967-01-01",25,"I Need Somebody","? (Question Mark) & The Mysterians"
"1967-01-01",26,"Mustang Sally","Wilson Pickett"
"1967-01-01",27,"East West","Herman's Hermits"
"1967-01-01",28,"Color My World","Petula Clark"
"1967-01-01",29,"Help Me Girl","Eric Burdon & The Animals"
"1967-01-01",30,"Happenings Ten Years Time Ago","The Yardbirds"
"1967-01-01",31,"(We Ain't Got) Nothin' Yet","Blues Magoos"
"1967-01-01",32,"(I'm Not Your) Steppin' Stone","The Monkees"
"1967-01-01",33,"Gallant Men","Senator Everett McKinley Dirksen"
"1967-01-01",34,"Try A Little Tenderness","Otis Redding"
"1967-01-01",35,"Lady Godiva","Peter And Gordon"
"1967-01-01",36,"There's Got To Be A Word!","The Innocence"
"1967-01-01",37,"98.6","Keith"
"1967-01-01",38,"Whispers (Gettin' Louder)","Jackie Wilson"
"1967-01-01",39,"Where Will The Words Come From","Gary Lewis And The Playboys"
"1967-01-01",40,"Mame","Herb Alpert & The Tijuana Brass"
"1967-01-01",41,"Knight In Rusty Armour","Peter And Gordon"
"1967-01-01",42,"Blue Autumn","Bobby Goldsboro"
"1967-01-01",43,"Stand By Me","Spyder Turner"
"1967-01-01",44,"Pandora's Golden Heebie Jeebies","The Association"
"1967-01-01",45,"I Fooled You This Time","Gene Chandler"
"1967-01-01",46,"I (Who Have Nothing)","Terry Knight and The Pack"
"1967-01-01",47,"I Had Too Much To Dream (Last Night)","The Electric Prunes"
"1967-01-01",48,"Look What You've Done","Pozo Seco Singers"
"1967-01-01",49,"Papa Was Too","Joe Tex"
"1967-01-01",50,"How Do You Catch A Girl","Sam The Sham and the Pharaohs"
"1967-01-01",51,"Green, Green Grass Of Home","Tom Jones"
"1967-01-01",52,"Goodnight My Love","The Happenings"
"1967-01-01",53,"Wack Wack","The Young Holt Trio"
"1967-01-01",54,"The Eggplant That Ate Chicago","Dr. West's Medicine Show and Junk Band"
"1967-01-01",55,"You Can Bring Me All Your Heartaches","Lou Rawls"
"1967-01-01",56,"Bad Misunderstanding","The Critters"
