"date","rank","song","artist"
"1972-01-01",1,"Brand New Key","Melanie"
"1972-01-01",2,"American Pie (Parts I & II)","Don McLean"
"1972-01-01",3,"Family Affair","Sly & The Family Stone"
"1972-01-01",4,"An Old Fashioned Love Song","Three Dog Night"
"1972-01-01",5,"Got To Be There","Michael Jackson"
"1972-01-01",6,"Have You Seen Her","The Chi-lites"
"1972-01-01",7,"Scorpio","Dennis Coffey & The Detroit Guitar Band"
"1972-01-01",8,"Sunshine","Jonathan Edwards"
"1972-01-01",9,"Cherish","David Cassidy"
"1972-01-01",10,"Hey Girl/I Knew You When","Donny Osmond"
"1972-01-01",11,"All I Ever Need Is You","Sonny & Cher"
"1972-01-01",12,"I'd Like To Teach The World To Sing (In Perfect Harmony)","The New Seekers"
"1972-01-01",13,"You Are Everything","The Stylistics"
"1972-01-01",14,"Let's Stay Together","Al Green"
"1972-01-01",15,"Respect Yourself","The Staple Singers"
"1972-01-01",16,"I'd Like To Teach The World To Sing (In Perfect Harmony)","The Hillside Singers"
"1972-01-01",17,"Day After Day","Badfinger"
"1972-01-01",18,"Drowning In The Sea Of Love","Joe Simon"
"1972-01-01",19,"Clean Up Woman","Betty Wright"
"1972-01-01",20,"One Monkey Don't Stop No Show Part I","The Honey Cone"
"1972-01-01",21,"Sugar Daddy","Jackson 5"
"1972-01-01",22,"Where Did Our Love Go","Donnie Elbert"
"1972-01-01",23,"Theme From Shaft","Isaac Hayes"
"1972-01-01",24,"Baby I'm - A Want You","Bread"
"1972-01-01",25,"Gypsys, Tramps & Thieves","Cher"
"1972-01-01",26,"An American Trilogy","Mickey Newbury"
"1972-01-01",27,"Stones/Crunchy Granola Suite","Neil Diamond"
"1972-01-01",28,"Hey Big Brother","Rare Earth"
"1972-01-01",29,"(I Know) I'm Losing You","Rod Stewart With Faces"
"1972-01-01",30,"Superstar (Remember How You Got Where You Are)","The Temptations"
"1972-01-01",31,"Theme From ""Summer Of '42""","Peter Nero"
"1972-01-01",32,"Once You Understand","Think"
"1972-01-01",33,"Kiss An Angel Good Mornin'","Charley Pride"
"1972-01-01",34,"Hallelujah","Sweathog"
"1972-01-01",35,"George Jackson","Bob Dylan"
"1972-01-01",36,"Anticipation","Carly Simon"
"1972-01-01",37,"It's One Of Those Nights (Yes Love)","The Partridge Family Starring Shirley Jones Featuring David Cassidy"
"1972-01-01",38,"White Lies, Blue Eyes","Bullet"
"1972-01-01",39,"Behind Blue Eyes","The Who"
"1972-01-01",40,"Levon","Elton John"
"1972-01-01",41,"Nothing To Hide","Tommy James"
"1972-01-01",42,"Can I Get A Witness","Lee Michaels"
"1972-01-01",43,"Never Been To Spain","Three Dog Night"
"1972-01-01",44,"Me And Bobby McGee","Jerry Lee Lewis"
"1972-01-01",45,"The Witch Queen Of New Orleans","Redbone"
"1972-01-01",46,"Make Me The Woman That You Go Home To","Gladys Knight And The Pips"
"1972-01-01",47,"I'm A Greedy Man - Part I","James Brown"
"1972-01-01",48,"That's The Way I Feel About Cha","Bobby Womack & Peace"
"1972-01-01",49,"Satisfaction","Smokey Robinson & The Miracles"
"1972-01-01",50,"My Boy","Richard Harris"
"1972-01-01",51,"Looking For A Love","The J. Geils Band"
"1972-01-01",52,"Sour Suite","The Guess Who"
"1972-01-01",53,"Friends With You","John Denver"
"1972-01-01",54,"Ain't Nobody Home","B.B. King"
"1972-01-01",55,"Black Dog","Led Zeppelin"
"1972-01-01",56,"Stay With Me","NEW"
"1972-01-01",57,"Let It Be","NEW"
"1972-01-01",58,"Those Were The Days","Faces"
"1972-01-01",59,"Carolyn","Joan Baez"
"1972-01-01",60,"Pretty As You Feel","Carroll O'Connor And Jean Stapleton (As The Bunkers)"
"1972-01-01",61,"Devil You","Merle Haggard And The Strangers"
"1972-01-01",62,"Daisy Mae","Jefferson Airplane"
"1972-01-01",63,"No Sad Song","Stampeders"
"1972-01-01",64,"Everybody Knows About My Good Thing Pt. 1","Hamilton, Joe Frank & Reynolds"
"1972-01-01",65,"Take It Slow (Out In The Country)","Helen Reddy"
"1972-01-01",66,"Fire And Water","Little Johnny Taylor"
