"date","rank","song","artist"
"1956-01-01",1,"Poor Little Fool","NEW"
"1956-01-01",2,"Patricia","NEW"
"1956-01-01",3,"Splish Splash","Ricky Nelson"
"1956-01-01",4,"Hard Headed Woman","NEW"
"1956-01-01",5,"When","NEW"
"1956-01-01",6,"Rebel-'rouser","Perez Prado And His Orchestra"
"1956-01-01",7,"Yakety Yak","NEW"
"1956-01-01",8,"My True Love","NEW"
"1956-01-01",9,"Willie And The Hand Jive","Bobby Darin"
"1956-01-01",10,"Fever","NEW"
"1956-01-01",11,"Ginger Bread","NEW"
"1956-01-01",12,"Just A Dream","Elvis Presley With The Jordanaires"
"1956-01-01",13,"Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)","NEW"
"1956-01-01",14,"If Dreams Came True","NEW"
"1956-01-01",15,"For Your Precious Love","Kalin Twins"
"1956-01-01",16,"One Summer Night","NEW"
"1956-01-01",17,"Endless Sleep","NEW"
"1956-01-01",18,"Little Star","Duane Eddy His Twangy Guitar And The Rebels"
"1956-01-01",19,"Everybody Loves A Lover","NEW"
"1956-01-01",20,"Do You Want To Dance","NEW"
"1956-01-01",21,"Guess Things Happen That Way","The Coasters"
"1956-01-01",22,"A Certain Smile","NEW"
"1956-01-01",23,"Western Movies","NEW"
"1956-01-01",24,"The Purple People Eater","Jack Scott"
"1956-01-01",25,"What Am I Living For","NEW"
"1956-01-01",26,"Born Too Late","NEW"
"1956-01-01",27,"Think It Over","The Johnny Otis Show"
"1956-01-01",28,"Secretly","NEW"
"1956-01-01",29,"Enchanted Island","NEW"
"1956-01-01",30,"Angel Baby","Peggy Lee"
"1956-01-01",31,"Chantilly Lace","NEW"
"1956-01-01",32,"Blue Blue Day","NEW"
"1956-01-01",33,"The Freeze","Frankie Avalon"
"1956-01-01",34,"Don't Ask Me Why","NEW"
"1956-01-01",35,"Rock-in Robin","NEW"
"1956-01-01",36,"No Chemise, Please","Jimmy Clanton And His Rockets"
"1956-01-01",37,"Moon Talk","NEW"
"1956-01-01",38,"Somebody Touched Me","NEW"
"1956-01-01",39,"That's How Much I Love You","Patti Page"
"1956-01-01",40,"Crazy Eyes For You","NEW"
"1956-01-01",41,"Early In The Morning","NEW"
"1956-01-01",42,"You Cheated","Pat Boone"
"1956-01-01",43,"Come What May","NEW"
"1956-01-01",44,"Jennie Lee","NEW"
"1956-01-01",45,"Kathy-O","Jerry Butler and The Impressions"
"1956-01-01",46,"(It's Been A Long Time) Pretty Baby","NEW"
"1956-01-01",47,"I Wonder Why","NEW"
"1956-01-01",48,"Return To Me","The Danleers"
"1956-01-01",49,"All I Have To Do Is Dream","NEW"
"1956-01-01",50,"By The Light Of The Silvery Moon","NEW"
"1956-01-01",51,"Baubles, Bangles And Beads","Jody Reynolds"
"1956-01-01",52,"Early In The Morning","NEW"
"1956-01-01",53,"Come Closer To Me (Acercate Mas)","NEW"
"1956-01-01",54,"Nel Blu Dipinto Di Blu (Volare)","The Elegants"
"1956-01-01",55,"Let's Go Steady For The Summer","NEW"
"1956-01-01",56,"Leroy","NEW"
"1956-01-01",57,"You Need Hands","Doris Day"
"1956-01-01",58,"Fool's Paradise","NEW"
"1956-01-01",59,"Young And Warm And Wonderful","NEW"
"1956-01-01",60,"Over And Over","Bobby Freeman"
"1956-01-01",61,"Itchy Twitchy Feeling","NEW"
"1956-01-01",62,"For Your Love","NEW"
"1956-01-01",63,"Padre","Johnny Cash And The Tennessee Two"
"1956-01-01",64,"High School Confidential","NEW"
"1956-01-01",65,"You're Making A Mistake","NEW"
"1956-01-01",66,"Delicious!","Johnny Mathis"
"1956-01-01",67,"Big Man","NEW"
"1956-01-01",68,"Volare (Nel Blu Dipinto Di Blu)","NEW"
"1956-01-01",69,"Op","The Olympics"
"1956-01-01",70,"Don't Go Home","NEW"
"1956-01-01",71,"Got A Match?","NEW"
"1956-01-01",72,"Stupid Cupid","Sheb Wooley"
"1956-01-01",73,"Hey Girl - Hey Boy","NEW"
"1956-01-01",74,"Win Your Love For Me","NEW"
"1956-01-01",75,"Gotta Have Rain","Chuck Willis"
"1956-01-01",76,"Midnight","NEW"
