"date","rank","song","artist"
"1974-01-01",1,"Time In A Bottle","Jim Croce"
"1974-01-01",2,"The Joker","The Steve Miller Band"
"1974-01-01",3,"Leave Me Alone (ruby Red Dress)","Helen Reddy"
"1974-01-01",4,"The Most Beautiful Girl","Charlie Rich"
"1974-01-01",5,"Show And Tell","Al Wilson"
"1974-01-01",6,"Smokin' In The Boy's Room","Brownsville Station"
"1974-01-01",7,"Goodbye Yellow Brick Road","Elton John"
"1974-01-01",8,"Never, Never Gonna Give Ya Up","Barry White"
"1974-01-01",9,"Living For The City","Stevie Wonder"
"1974-01-01",10,"I've Got To Use My Imagination","Gladys Knight And The Pips"
"1974-01-01",11,"Top Of The World","Carpenters"
"1974-01-01",12,"Helen Wheels","Paul McCartney And Wings"
"1974-01-01",13,"Let Me Be There","Olivia Newton-John"
"1974-01-01",14,"Hello It's Me","Todd Rundgren"
"1974-01-01",15,"The Way We Were","Barbra Streisand"
"1974-01-01",16,"You're Sixteen","Ringo Starr"
"1974-01-01",17,"Love's Theme","Love Unlimited Orchestra"
"1974-01-01",18,"Until You Come Back To Me (That's What I'm Gonna Do)","Aretha Franklin"
"1974-01-01",19,"When I Fall In Love/Are You Lonesome Tonight","Donny Osmond"
"1974-01-01",20,"Me And Baby Brother","War"
"1974-01-01",21,"If You're Ready (Come Go With Me)","The Staple Singers"
"1974-01-01",22,"Rockin' Roll Baby","The Stylistics"
"1974-01-01",23,"Just You 'n' Me","Chicago"
"1974-01-01",24,"Livin' For You","Al Green"
"1974-01-01",25,"Mind Games","John Lennon"
"1974-01-01",26,"D'yer Mak'er","Led Zeppelin"
"1974-01-01",27,"The Love I Lost (Part 1)","Harold Melvin And The Blue Notes"
"1974-01-01",28,"My Music","Loggins & Messina"
"1974-01-01",29,"Sister Mary Elephant (Shudd-Up!)","Cheech & Chong"
"1974-01-01",30,"Spiders & Snakes","Jim Stafford"
"1974-01-01",31,"Walk Like A Man","Grand Funk"
"1974-01-01",32,"Photograph","Ringo Starr"
"1974-01-01",33,"Who's In The Strawberry Patch With Sally","Tony Orlando & Dawn"
"1974-01-01",34,"Come Get To This","Marvin Gaye"
"1974-01-01",35,"Space Race","Billy Preston"
"1974-01-01",36,"Painted Ladies","Ian Thomas"
"1974-01-01",37,"Jungle Boogie","Kool & The Gang"
"1974-01-01",38,"I Got A Name","Jim Croce"
"1974-01-01",39,"American Tune","Paul Simon"
"1974-01-01",40,"If We Make It Through December","Merle Haggard"
"1974-01-01",41,"I Can't Stand The Rain","Ann Peebles"
"1974-01-01",42,"This Time I'm Gone For Good","Bobby ""Blue"" Bland"
"1974-01-01",43,"Midnight Train To Georgia","Gladys Knight And The Pips"
"1974-01-01",44,"""Joy"" Pt. I","Isaac Hayes"
"1974-01-01",45,"Tell Her She's Lovely","El Chicano"
"1974-01-01",46,"Let Your Hair Down","The Temptations"
"1974-01-01",47,"I Love","Tom T. Hall"
"1974-01-01",48,"Rock On","David Essex"
"1974-01-01",49,"Let Me Serenade You","Three Dog Night"
"1974-01-01",50,"Put Your Hands Together","The O'Jays"
