"date","rank","song","artist"
"2015-01-01",1,"Blank Space","Taylor Swift"
"2015-01-01",2,"Take Me To Church","Hozier"
"2015-01-01",3,"Uptown Funk!","Mark Ronson Featuring Bruno Mars"
"2015-01-01",4,"Thinking Out Loud","Ed Sheeran"
"2015-01-01",5,"Lips Are Movin","Meghan Trainor"
"2015-01-01",6,"I'm Not The Only One","Sam Smith"
"2015-01-01",7,"Love Me Harder","Ariana Grande & The Weeknd"
"2015-01-01",8,"Jealous","Nick Jonas"
"2015-01-01",9,"Animals","Maroon 5"
"2015-01-01",10,"All About That Bass","Meghan Trainor"
"2015-01-01",11,"Shake It Off","Taylor Swift"
"2015-01-01",12,"I Don't F**k With You","Big Sean Featuring E-40"
"2015-01-01",13,"The Heart Wants What It Wants","Selena Gomez"
"2015-01-01",14,"Wasted Love","NEW"
"2015-01-01",15,"Only","NEW"
"2015-01-01",16,"Habits (Stay High)","Matt McAndrew"
"2015-01-01",17,"Tuesday","Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown"
"2015-01-01",18,"Waves","Tove Lo"
"2015-01-01",19,"Don't","I LOVE MAKONNEN Featuring Drake"
"2015-01-01",20,"Centuries","Mr. Probz"
"2015-01-01",21,"The Hanging Tree","Ed Sheeran"
"2015-01-01",22,"Bang Bang","Fall Out Boy"
"2015-01-01",23,"No Type","James Newton Howard Featuring Jennifer Lawrence"
"2015-01-01",24,"7/11","Jessie J, Ariana Grande & Nicki Minaj"
"2015-01-01",25,"Hot Boy","Rae Sremmurd"
"2015-01-01",26,"Blame","Beyonce"
"2015-01-01",27,"Stay With Me","Bobby Shmurda"
"2015-01-01",28,"CoCo","Calvin Harris Featuring John Newman"
"2015-01-01",29,"Beg For It","Sam Smith"
"2015-01-01",30,"Don't Tell 'Em","O.T. Genasis"
"2015-01-01",31,"I Don't Mind","Iggy Azalea Featuring M0"
"2015-01-01",32,"Riptide","Jeremih Featuring YG"
"2015-01-01",33,"Black Widow","Usher Featuring Juicy J"
