"date","rank","song","artist"
"2021-01-01",1,"All I Want For Christmas Is You","Mariah Carey"
"2021-01-01",2,"Rockin' Around The Christmas Tree","Brenda Lee"
"2021-01-01",3,"Jingle Bell Rock","Bobby Helms"
"2021-01-01",4,"A Holly Jolly Christmas","Burl Ives"
"2021-01-01",5,"It's The Most Wonderful Time Of The Year","Andy Williams"
"2021-01-01",6,"Feliz Navidad","Jose Feliciano"
"2021-01-01",7,"Mood","24kGoldn Featuring iann dior"
"2021-01-01",8,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin"
"2021-01-01",9,"Last Christmas","Wham!"
"2021-01-01",10,"Run Rudolph Run","Chuck Berry"
"2021-01-01",11,"The Christmas Song (Merry Christmas To You)","Nat ""King"" Cole"
"2021-01-01",12,"Underneath The Tree","Kelly Clarkson"
"2021-01-01",13,"Sleigh Ride","The Ronettes"
"2021-01-01",14,"Positions","Ariana Grande"
"2021-01-01",15,"It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra"
"2021-01-01",16,"Rudolph The Red-Nosed Reindeer","Gene Autry & The Pinafores"
"2021-01-01",17,"Santa Tell Me","Ariana Grande"
"2021-01-01",18,"Happy Holiday / The Holiday Season","Andy Williams"
"2021-01-01",19,"Christmas (Baby Please Come Home)","Darlene Love"
"2021-01-01",20,"White Christmas (1947)","Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra"
"2021-01-01",21,"Holy","Justin Bieber Featuring Chance The Rapper"
"2021-01-01",22,"(There's No Place Like) Home For The Holidays (1959)","Perry Como With Mitchell Ayers And His Orchestra"
"2021-01-01",23,"It's Beginning To Look A Lot Like Christmas","Michael Buble"
"2021-01-01",24,"Go Crazy","Chris Brown & Young Thug"
"2021-01-01",25,"Laugh Now Cry Later","Drake Featuring Lil Durk"
"2021-01-01",26,"Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry"
"2021-01-01",27,"Levitating","Dua Lipa"
"2021-01-01",28,"Wonderful Christmastime","Paul McCartney"
"2021-01-01",29,"For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
"2021-01-01",30,"I Hope","Gabby Barrett Featuring Charlie Puth"
"2021-01-01",31,"Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV"
"2021-01-01",32,"You're A Mean One, Mr. Grinch","RE- ENTRY"
"2021-01-01",33,"Blue Christmas","RE- ENTRY"
"2021-01-01",34,"Dakiti","Thurl Ravenscroft"
"2021-01-01",35,"Body","RE- ENTRY"
"2021-01-01",36,"Mele Kalikimaka (Merry Christmas)","RE- ENTRY"
